country,species,area,environment,unit,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australia,Aquatic invertebrates nei,"Indian Ocean, Eastern",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,22205.46,37321.07,26804.67,19780.17,27960.26,24027.61,52889.97,20710.41
Australia,Atlantic salmon,"Pacific, Southwest",Marine,USD 1000,...,...,134.17,612.9,2634.98,19416.98,19141.6,24775.38,29106,33320,35136,41350.18,53888.41,43535.21,40043.06,46162.9,49415.82,51331.85,60982.27,75939.64,102062.86,110484.57,172712.81,241989.34,257362.73,256816.27,338177.44,439054.2,530050.44,479002.1,487618.06
Australia,Australian mussel,"Indian Ocean, Eastern",Marine,USD 1000,55.41,172.68,299.88,322.75,1115.16,1196.09,1253.03,904.92,1232.37,1114.18,1988.04,1909.17,2130.54,2137.29,2574.45,3583.12,3065.68,3166.35,3853.02,4906.39,5226.48,5825.81,6702.79,7263.28,7399.85,7009.35,9294.29,9596,10498.11,9871.9,8678.95
Australia,Barramundi(=Giant seaperch),"Pacific, Western Central",Brackishwater,USD 1000,...,...,...,...,183.19,103.03,152.35,437.95,808.5,1489.2,2238.16,1971.79,4666.68,3779.59,4324.6,5046.08,4882.62,4365.89,5397.94,10483.86,9888.92,11876.95,14028.67,20062.46,29085.82,25054.3,29449.71,36885.1,42270.91,31737.58,30563.42
Australia,Brine shrimp,"Pacific, Southwest",Brackishwater,USD 1000,...,...,...,...,...,...,...,257.1,294,272,261.47,265.04,319.46,0,0,0,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...
Australia,Brown tiger prawn,"Pacific, Southwest",Brackishwater,USD 1000,...,...,...,...,...,...,52.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Brown tiger prawn,"Pacific, Southwest",Marine,USD 1000,...,7.71,12.08,0,232.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Chinook(=Spring=King) salmon,"Pacific, Southwest",Marine,USD 1000,...,...,...,...,...,...,...,109.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Cupped oysters nei,"Indian Ocean, Eastern",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2956.93,10573.61,15272.98,17970.97,31721.07,...,...,...,...,...,...,...
Australia,Cupped oysters nei,"Pacific, Southwest",Brackishwater,USD 1000,...,...,...,...,27.45,62.02,90.48,168.08,109.15,97.92,74.3,...,71.8,50.69,42.87,45.65,0,0,283.92,...,...,...,...,...,...,...,...,...,...,...,...
Australia,Eastern king prawn,"Pacific, Southwest",Brackishwater,USD 1000,...,7.71,18.11,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Eastern king prawn,"Pacific, Southwest",Marine,USD 1000,...,...,6.04,42.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Eastern school shrimp,"Pacific, Southwest",Brackishwater,USD 1000,...,95.66,12.08,17.07,164.69,79.25,78.13,16.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Flat and cupped oysters nei,"Indian Ocean, Eastern",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,92794.6,100459.74,93297.75,91554.67,81510.15
Australia,Flat oysters nei,"Pacific, Western Central",Marine,USD 1000,0,0,0,0,0,0,0,94.27,177.87,117.3,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Australia,Freshwater fishes nei,"Indian Ocean, Eastern",Brackishwater,USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,502.21,216.92,588.51,0,0,1400.43,25962.88,34079.09,40509.03,40314.11,42685.54,...,...,...,...,...,...,...
Australia,Giant tiger prawn,"Pacific, Southwest",Brackishwater,USD 1000,...,...,93.92,...,717.72,1268.05,4846.15,1559.7,7260.33,9026.12,16502.43,19628.28,14372.75,13351.48,11293.4,27355.12,26316.33,23324.99,32622.94,...,...,3404.47,2550.88,...,...,...,...,...,...,...,...
Australia,Giant tiger prawn,"Pacific, Western Central",Marine,USD 1000,...,...,103.31,162.19,880.84,2377.59,0,5289.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,...,...,...,...,...,...
Australia,Indo-Pacific swamp crab,"Indian Ocean, Eastern",Brackishwater,USD 1000,0,0,0,0,0,0,0,0,5.88,0,0,0,0,1162.94,983.68,0,0,0,...,0,0,0,0,...,...,...,...,...,...,...,...
Australia,Kuruma prawn,"Pacific, Southwest",Brackishwater,USD 1000,...,...,...,...,12.55,0,0,0,44.1,209,297,901.16,10485.94,4278.58,3619.05,4917.14,3536.08,2300.95,3004.91,...,...,0,0,...,...,...,...,...,...,...,...
Australia,Marine crustaceans nei,"Pacific, Southwest",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,41.91,...,...,...,...,...,...
Australia,Marine fishes nei,"Indian Ocean, Eastern",Marine,USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,507.55,212.4,1182.19,382.02,962.01,4.9,222.37,27.84,55.82,89.9,...,15117.12,25549.42,29063.29,28807.91,16698.07,10904.56,7230.49
Australia,Marine fishes nei,"Pacific, Southwest",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4115.31,2032.1,1848.04,2289.26,1895.04
Australia,Pacific cupped oyster,"Indian Ocean, Eastern",Brackishwater,USD 1000,...,...,...,63.01,93.32,15.79,0,0,0,0,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Australia,Pacific cupped oyster,"Indian Ocean, Eastern",Marine,USD 1000,789.5,46.6,865.42,1119.9,4117.16,6551.69,8450.43,8294.49,8766.93,7702.02,9942.61,14420.92,19285.29,19167.58,11588.86,12447.62,14511.96,12861.41,14595.99,15469.41,16661.44,15366.13,14093.79,17804.32,50889.23,47989.78,...,...,...,...,...
Australia,Penaeus shrimps nei,"Pacific, Southwest",Brackishwater,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,36544.98,42532.88,35069.7,35028.52,37837.66,37793.54,44979.31,69328.77,59177.54,62617.43,58165.41,57339.39
Australia,Rainbow trout,"Pacific, Southwest",Marine,USD 1000,...,...,277.74,1549.43,4885.69,6241.17,5924.13,2073.44,1825.74,1612.96,0,0,0,0,0,0,0,0,0,0,0,0,0,...,...,...,...,...,...,...,...
Australia,Short-finned eel,"Indian Ocean, Eastern",Brackishwater,USD 1000,88,112.5,117.4,192.74,235.27,257.57,350.02,1168.65,1440.6,1387.2,1939.8,1484,1573.83,2458.77,2079.76,564.11,269.87,367.59,238.12,217.36,63.82,70.95,68.1,1792.47,1667.19,...,...,866,852.26,...,...
Australia,Southern Australia scallop,"Pacific, Southwest",Marine,USD 1000,...,...,...,...,...,...,...,85.7,83.79,276.76,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,Southern bluefin tuna,"Indian Ocean, Eastern",Marine,USD 1000,...,...,...,...,...,...,...,...,3447.15,10379.52,17732.7,28167.73,31523.58,29907.14,17644.88,23204.26,86248.7,105721.16,103220.7,53275.62,85369.11,31986.46,48122.94,32985.8,74187.8,53277.12,93947.7,129195.84,155373.55,148585.19,110491.19
Australia,Sydney cupped oyster,"Indian Ocean, Eastern",Marine,USD 1000,1637.64,2037.23,2468.8,2523.1,3705.44,4477.99,3708.39,2729.19,620.12,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Australia,Sydney cupped oyster,"Pacific, Southwest",Marine,USD 1000,16451.83,15431.62,20367.62,20784.01,28898.31,21259.9,19684.99,20072.73,24080.59,24279.4,21291.24,20370.87,20279.7,18950.62,16029.46,16761.07,16525.19,15649.76,16079.92,21269.52,26564.02,25867.9,24535.1,26833.94,25770.65,25757.79,...,...,...,...,...
Bahamas,Brine shrimp,"Atlantic, Western Central",Marine,USD 1000,...,...,...,...,...,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...
Bahamas,Cobia,"Atlantic, Western Central",Marine,USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,160,240,240,240,400,300,...,...,...,...,...
Bahamas,Florida pompano,"Atlantic, Western Central",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7.32,17.08,48.18,0,0,0,0,0,0,0,...
Bahamas,Red drum,"Atlantic, Western Central",Marine,USD 1000,...,...,...,...,...,14.4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...
Bahamas,Whiteleg shrimp,"Atlantic, Western Central",Brackishwater,USD 1000,70,48,72,120,120,70,21,13,25,24,12,60,15,15,15,15,28,182,250,420,48.02,329.28,0,0,0,37.4,0,0,0,0,...
Bahrain,Barramundi(=Giant seaperch),"Indian Ocean, Western",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,...
Bahrain,Gilthead seabream,"Indian Ocean, Western",Marine,USD 1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,5.3,5.43,25.06,7.88,0,22.39
Bahrain,Mangrove red snapper,"Indian Ocean, Western",Marine,USD 1000,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2.6,0,0,0,...,...,...,...,...,0,...
