,(table of contents),V_3.7 - Per capita food supply variability,,,,,,,,,,,,,,,,,,,,,
,(home),(kcal/caput/day),,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
159,Nigeria,77,71,43,65,76,59,30,33,34,14,16,23,31,37,30,18,35,47,44,26,18,19
187,"Saint Helena, Ascension and Tristan da Cunha",,,,,,,,,,,,,,,,,,,,,,
195,Senegal,97,94,110,91,82,53,52,52,51,36,32,13,13,27,27,25,25,29,22,44,49,31
197,Sierra Leone,42,47,35,18,24,51,54,59,57,30,54,93,101,72,35,18,25,52,58,54,34,14
217,Togo,106,110,107,85,88,87,43,54,43,27,27,24,32,28,27,23,16,19,13,12,16,11
5853,Asia,12,18,32,31,29,29,38,23,22,12,2,2,14,24,29,26,14,6,15,22,21,18
5857,Caucasus and Central Asia,520,476,440,835,990,1004,853,252,216,210,195,179,139,88,51,31,50,56,55,43,27,22
1,Armenia,439,408,385,710,823,849,726,160,135,180,201,228,182,142,84,69,98,114,85,70,40,28
52,Azerbaijan,395,375,362,763,891,880,751,313,281,239,201,164,31,27,34,64,79,59,45,59,58,37
73,Georgia,415,401,391,601,640,665,620,192,151,124,170,250,229,147,103,103,72,85,98,94,86,87
108,Kazakhstan,583,535,498,926,1122,1142,967,290,276,272,246,208,139,37,9,11,11,22,90,92,81,61
113,Kyrgyzstan,512,469,435,885,1001,1001,853,327,151,147,146,207,204,123,86,79,89,76,37,30,34,41
208,Tajikistan,423,384,353,675,813,823,696,240,228,183,132,89,61,56,44,33,37,47,47,37,19,19
213,Turkmenistan,519,479,447,837,1001,1013,860,290,258,208,159,116,99,72,47,26,29,24,31,24,24,29
235,Uzbekistan,577,517,467,901,1082,1100,930,270,255,235,211,190,179,147,94,51,74,104,101,88,52,28
5834,Eastern Asia,39,33,42,40,39,45,60,56,35,21,14,10,15,18,22,26,20,20,13,16,17,24
351,China,43,36,44,42,41,47,64,60,37,22,16,12,16,21,23,27,21,21,13,16,17,25
116,Democratic People's Republic of Korea,47,83,100,99,71,70,93,82,82,60,28,37,19,44,54,57,55,20,29,36,29,16
141,Mongolia,110,73,59,147,180,182,142,100,93,80,23,30,33,15,23,36,42,32,15,13,31,28
117,Republic of Korea,60,56,66,62,49,21,27,35,42,44,44,45,44,41,30,26,19,13,7,9,10,26
5854,Eastern Asia (excluding China),50,22,14,22,28,19,17,8,14,24,28,31,31,32,12,13,11,11,13,13,8,15
5303,Southern Asia,48,55,53,50,56,28,23,24,25,20,25,20,23,41,47,39,22,18,39,48,41,23
2,Afghanistan,254,173,126,158,155,117,40,42,47,64,43,43,67,65,52,70,71,38,29,24,22,20
16,Bangladesh,52,39,13,13,52,72,70,56,12,27,57,58,53,35,21,19,24,23,23,29,19,17
18,Bhutan,,,,,,,,,,,,,,,,,,,,,,
100,India,58,71,70,65,70,40,29,30,33,27,25,19,24,45,54,51,32,26,52,65,54,28
102,Iran (Islamic Republic of),67,50,49,59,54,50,44,40,40,25,19,25,27,23,24,26,32,32,26,16,14,16
132,Maldives,61,72,64,62,61,71,54,51,49,49,28,29,31,26,54,64,64,65,37,50,54,69
149,Nepal,131,127,85,78,83,28,28,30,26,25,27,29,26,25,28,31,35,31,19,22,26,26
165,Pakistan,61,62,79,78,70,57,55,24,16,16,19,19,42,67,68,51,39,48,38,31,24,14
38,Sri Lanka,22,29,22,28,40,69,70,71,70,30,44,40,35,40,49,28,32,15,11,17,18,17
5855,Southern Asia (excluding India),37,37,32,31,31,21,13,14,8,8,27,24,22,33,34,22,21,21,15,11,11,11
5304,South-Eastern Asia,23,39,50,49,40,33,41,35,28,21,23,23,14,13,10,7,7,5,8,9,11,10
26,Brunei Darussalam,100,84,89,67,67,60,59,37,46,46,50,60,32,43,66,71,43,25,47,56,52,43
