,(table of contents),V_3.5 - Domestic food price volatility index,,,,,,,,,,,,,,,,,,,,,,,,
,(home),(index),,,,,,,,,,,,,,,,,,,,,,,,
193,Sao Tome and Principe,,,,,,,,,,,,11,8.4,4.5,9.8,15.8,17.7,7.6,9,7.3,5,50.5,,,
5104,Southern Africa,,,,,,,,,,,7.1,7.5,5.9,4.4,6,5.5,5.1,2.5,12.9,54.6,4.9,5.7,5.4,6.6,5.3
20,Botswana,,,,,,,,,,,5.5,4.3,3.8,5.4,6.4,7.5,8.6,8.8,10.2,11.7,4.9,5.8,5.1,5.6,3.6
122,Lesotho,,,,,,,,,,,,,15.5,12.2,6.2,4.4,11,8.8,5,6.8,76,1.6,4.4,5.1,6.4
147,Namibia,,,,,,,,,,,7.3,8.3,6.1,5.6,7.1,7.3,7.5,7.1,6.2,7.9,5.2,6,5.8,7.2,
202,South Africa,,,,,,,,,,,7.1,6,6.5,4.7,6.6,5.8,5.2,2.5,14.3,60,5.5,6.3,6,7.3,6.2
209,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,
5105,Western Africa,,,,,,,,,,,9.1,13,11.2,8.9,14.3,14.6,11.4,13,12.3,8.5,5.2,10.1,8.2,3.8,
53,Benin,,,,,,,,,,,14.6,16.6,20.4,18.1,9.7,11.9,26.8,17.6,24.8,20.2,19.2,16.4,25.4,14,21.8
233,Burkina Faso,,,,,,,,,,,19.3,23.5,21.2,27.8,27.8,24.4,28.7,20,36.2,24.4,13.4,8,12.5,14.6,11.8
35,Cabo Verde,,,,,,,,,,,,,,,,9.8,13.3,8.3,8.2,12,4.9,5.8,7.4,7.5,5.4
107,Côte d'Ivoire,,,,,,,,,,,20.3,14.8,11.2,8.6,10.4,11.5,11.4,13,15.1,15.7,13.5,32,9.7,5.9,8.8
75,Gambia,,,,,,,,,,,3.7,3.5,5.2,6.3,5.4,4.1,6,9,5.4,7,2.9,2.6,3.4,4.3,2.7
81,Ghana,,,,,,,,,,,9.8,8.4,12.4,16.8,11,6.6,10.3,15.7,12.4,14.1,7.6,7.4,11.3,12.9,18.3
90,Guinea,,,,,,,,,,,13.2,17.7,16.9,15,17.6,14.4,10.6,10.5,11.3,14.5,5.6,8.2,5.1,7.3,
175,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,
123,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,
133,Mali,,,,,,,,,,,10.2,10.8,8.7,11.1,13.6,16.2,18.8,13.2,12.8,16,14.2,9,7.7,6.7,9.4
136,Mauritania,,,,,,,,,,,6.4,4.1,4.8,4,8.4,6.9,7.8,5,6.6,7.7,3.9,3.7,4.1,5.5,3.1
158,Niger,,,,,,,,,,,16.5,12,13.9,16.6,10.5,18.8,46.3,11.2,15.6,16.7,22.9,15.9,11.9,11.1,9.4
159,Nigeria,,,,,,,,,,,11.5,17.8,14.2,13,19,19.7,14.3,16.6,14.5,8.1,6,12.1,9.7,4,
187,"Saint Helena, Ascension and Tristan da Cunha",,,,,,,,,,,,,,,,,,,,,,,,,
195,Senegal,,,,,,,,,,,14.9,11.7,10.8,10.1,11.8,9.8,16.4,13.3,10,13.7,9.9,4.5,6.6,7,8.7
197,Sierra Leone,,,,,,,,,,,13.7,84.5,14.9,8.4,16.7,21.4,14.2,12.6,9.7,10.6,10.9,9,5.5,4.4,3.3
217,Togo,,,,,,,,,,,26.1,26.4,26.1,23.4,19.4,25,27.4,29.5,33.7,29.9,29.8,20.7,16.9,10.9,15.5
5853,Asia,,,,,,,,,,,5.3,4,5.4,4.6,4.3,9.1,6.9,18,5.6,7.3,3.9,3.5,4.7,7,9.3
5857,Caucasus and Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,
1,Armenia,,,,,,,,,,,8.5,13,12.7,15.9,12.3,11.5,14.1,15.9,15,12.3,10.3,13.6,14.3,10.6,11.9
52,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,
73,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,
108,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,
113,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,
208,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,
213,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,
235,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,
5834,Eastern Asia,,,,,,,,,,,9.2,7.9,9.5,12.3,8.7,13.8,11.7,8.9,12.1,11.9,9.3,8.6,9.8,11.9,8
351,China,,,,,,,,,,,10.8,9.1,10,12.9,8.9,13.7,11,9,12.9,11.5,9.4,8.4,9.5,11.9,8.1
116,Democratic People's Republic of Korea,,,,,,,,,,,,,,,,,,,,,,,,,
141,Mongolia,,,,,,,,,,,47.6,35.1,19.5,23.4,22,20.3,36.3,18.4,26,24.3,22.3,18.7,16.7,,
117,Republic of Korea,,,,,,,,,,,9,8.6,9.3,10.8,9.4,52.5,17.3,14,9.8,13.5,13.5,17.4,12.8,14.2,9.1
5854,Eastern Asia (excluding China),,,,,,,,,,,8.7,8.5,9.2,10.6,9.2,51.3,17.2,13.7,9.4,13.4,13.2,17,12.6,14.2,9.1
5303,Southern Asia,,,,,,,,,,,6.7,5.1,5.9,4.8,4.2,9.2,6.8,41.4,6.7,8.6,3.5,3.2,4.8,5.4,13.7
2,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,
16,Bangladesh,,,,,,,,,,,3.3,4.1,4.8,3.2,4.7,6.9,8.7,5.7,9.9,9,4.5,3.2,5.3,16.4,4.5
18,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,6.8,6.4
100,India,,,,,,,,,,,3.9,4.6,5.8,5.5,5.7,6.2,7.6,4.7,6.8,7.7,3.5,3,5,6.4,8.4
102,Iran (Islamic Republic of),,,,,,,,,,,15.9,14.9,15.2,13.9,9.7,23.7,13.9,210.4,16.8,18.9,12.1,11.4,14.1,19.9,13
132,Maldives,,,,,,,,,,,57.6,45.2,26.5,32.4,43.4,42.6,18.3,23.4,30.8,32.9,20.8,26.5,28.9,14.2,
149,Nepal,,,,,,,,,,,10,10,10.9,9.1,9.4,11,13.2,8,11.8,11.4,9.8,8.6,11.9,8.6,10.2
