,(table of contents),V_1.5 - Average supply of protein of animal origin,,,,,,,,,,,,,,,,,,,,,,,,,,
,(home),(gr/caput/day),,,,,,,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990-92,1991-93,1992-94,1993-95,1994-96,1995-97,1996-98,1997-99,1998-00,1999-01,2000-02,2001-03,2002-04,2003-05,2004-06,2005-07,2006-08,2007-09,2008-10,2009-11,,,,,,,
123,Liberia,7,7,7,7,7,7,7,7,7,6,6,5,5,6,6,6,6,6,6,6,,,,,,,
133,Mali,18,17,16,16,17,17,17,17,17,17,17,18,19,20,21,23,25,26,26,27,,,,,,,
136,Mauritania,31,30,29,28,28,28,29,29,29,30,31,32,32,33,32,32,32,32,32,32,,,,,,,
158,Niger,13,14,14,14,14,15,15,15,15,16,16,16,17,18,18,18,18,17,16,15,,,,,,,
159,Nigeria,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,10,10,10,10,10,,,,,,,
187,"Saint Helena, Ascension and Tristan da Cunha",,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Senegal,19,20,20,18,17,17,17,17,17,17,17,16,16,17,16,16,16,17,17,17,,,,,,,
197,Sierra Leone,8,8,8,7,7,7,7,7,7,7,7,8,9,10,11,11,12,13,14,15,,,,,,,
217,Togo,8,7,7,7,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,
5853,Asia,14,14,15,16,17,17,18,18,19,19,19,20,20,21,21,22,23,23,24,25,,,,,,,
5857,Caucasus and Central Asia,27,26,26,26,26,26,26,26,26,26,26,27,28,29,30,31,31,32,32,33,,,,,,,
1,Armenia,19,14,17,16,18,17,18,19,19,20,21,23,25,27,29,32,35,37,39,39,,,,,,,
52,Azerbaijan,20,18,18,16,16,16,16,17,18,18,18,18,19,20,21,22,22,24,26,28,,,,,,,
73,Georgia,18,16,16,17,20,23,24,25,25,25,26,28,30,32,31,30,28,27,27,26,,,,,,,
108,Kazakhstan,38,37,37,36,36,37,37,37,38,39,40,42,44,46,48,51,52,53,54,55,,,,,,,
113,Kyrgyzstan,35,33,34,33,33,33,34,34,35,36,36,36,36,36,35,34,33,34,35,36,,,,,,,
208,Tajikistan,16,13,14,12,11,9,8,8,8,9,9,9,10,10,10,11,11,11,11,11,,,,,,,
213,Turkmenistan,28,28,28,27,26,26,25,25,26,28,30,32,33,34,34,36,37,39,39,39,,,,,,,
235,Uzbekistan,26,26,27,27,27,26,26,25,24,23,23,23,24,25,25,26,26,26,27,27,,,,,,,
5834,Eastern Asia,16,17,18,20,22,23,24,25,27,27,28,29,30,31,32,33,34,35,36,37,,,,,,,
351,China,15,16,18,20,22,23,24,25,27,27,28,29,30,31,32,33,34,35,36,37,,,,,,,
116,Democratic People's Republic of Korea,15,13,11,10,9,8,7,7,8,9,10,10,10,10,10,10,10,10,10,10,,,,,,,
141,Mongolia,51,51,49,48,49,51,53,57,57,55,50,46,45,44,44,44,45,48,47,46,,,,,,,
117,Republic of Korea,28,30,32,33,34,34,34,35,35,36,37,38,38,38,39,41,42,43,43,44,,,,,,,
5854,Eastern Asia (excluding China),25,25,26,26,26,26,26,27,27,28,29,29,29,29,30,31,32,32,33,33,,,,,,,
5303,Southern Asia,10,10,10,10,11,11,11,11,11,11,11,11,11,12,12,12,13,13,13,14,,,,,,,
2,Afghanistan,16,15,15,15,15,16,17,18,17,15,13,13,14,13,13,12,12,12,12,12,,,,,,,
16,Bangladesh,5,5,5,5,6,6,6,6,7,7,7,7,7,8,8,8,8,9,9,10,,,,,,,
18,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,India,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,12,12,,,,,,,
102,Iran (Islamic Republic of),17,18,18,19,19,19,19,19,19,19,19,20,21,22,23,23,23,23,23,24,,,,,,,
132,Maldives,42,50,60,61,59,56,59,64,67,70,71,66,57,55,54,60,58,64,67,71,,,,,,,
149,Nepal,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,11,,,,,,,
165,Pakistan,19,19,20,20,21,22,22,22,22,22,22,23,23,23,24,24,25,25,26,26,,,,,,,
38,Sri Lanka,11,11,11,11,12,13,13,13,14,13,14,14,14,13,13,13,14,14,14,15,,,,,,,
5855,Southern Asia (excluding India),13,13,13,14,14,15,15,15,15,15,15,16,16,16,16,17,17,17,18,18,,,,,,,
5304,South-Eastern Asia,14,14,15,15,16,16,16,16,16,17,17,18,18,19,19,20,21,22,23,23,,,,,,,
26,Brunei Darussalam,38,39,44,48,51,49,48,46,44,45,46,48,49,48,47,46,46,45,45,45,,,,,,,
115,Cambodia,9,9,9,9,9,9,9,10,12,15,16,16,15,15,16,17,18,18,18,18,,,,,,,
101,Indonesia,10,10,11,12,12,12,12,11,12,12,13,13,13,13,14,14,15,15,16,17,,,,,,,
120,Lao People's Democratic Republic,7,7,7,8,8,9,8,9,10,10,11,12,12,12,12,12,12,13,13,13,,,,,,,
131,Malaysia,37,39,41,42,43,44,43,43,42,42,42,42,42,42,42,43,42,42,42,43,,,,,,,
28,Myanmar,8,7,8,8,8,8,8,9,9,10,11,12,14,16,19,21,24,26,29,32,,,,,,,
171,Philippines,20,20,20,20,20,21,20,21,21,22,22,23,23,23,23,24,25,25,25,25,,,,,,,
200,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Thailand,21,23,24,25,25,25,25,24,24,23,23,23,23,23,24,24,24,23,23,23,,,,,,,
176,Timor-Leste,20,19,19,17,16,16,16,17,17,17,17,18,18,17,15,15,15,16,16,17,,,,,,,
237,Viet Nam,9,9,10,11,12,12,12,13,14,15,16,17,19,20,22,23,24,27,28,30,,,,,,,
5856,Western Asia,22,21,21,22,22,22,22,23,23,23,22,22,23,24,24,24,24,25,25,26,,,,,,,
13,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Iraq,9,6,6,6,5,5,5,6,7,8,8,7,7,6,7,7,8,10,11,12,,,,,,,
112,Jordan,23,25,24,24,22,21,21,22,23,23,24,25,26,27,27,27,29,29,29,29,,,,,,,
118,Kuwait,23,27,38,46,51,53,53,53,53,54,52,52,52,58,60,61,59,61,60,57,,,,,,,
121,Lebanon,26,28,28,29,28,31,33,35,35,35,35,35,36,35,34,34,34,34,33,32,,,,,,,
221,Oman,31,32,32,33,33,34,35,37,37,38,38,41,40,39,38,40,43,46,47,46,,,,,,,
179,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Saudi Arabia,28,26,23,25,27,29,30,32,33,33,32,32,31,32,32,31,30,30,31,34,,,,,,,
212,Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Turkey,27,27,27,28,28,27,27,27,27,26,25,25,25,27,27,28,28,28,29,31,,,,,,,
225,United Arab Emirates,55,54,55,56,58,56,54,52,52,51,53,56,56,51,46,47,49,49,46,41,,,,,,,
299,West Bank and Gaza Strip,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Yemen,11,11,10,10,9,9,9,10,10,10,11,12,13,14,13,13,12,13,13,13,,,,,,,
5205,Latin America and the Caribbean,30,31,31,33,34,34,35,35,36,36,37,37,37,37,37,38,40,40,41,41,,,,,,,
5206,Caribbean,22,21,20,20,20,20,20,21,21,21,21,21,21,21,22,23,24,25,26,26,,,,,,,
258,Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Barbados,54,49,46,47,47,48,48,49,48,48,48,48,48,50,51,54,53,53,52,52,,,,,,,
239,British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Cuba,29,25,22,22,22,21,22,22,23,23,22,21,22,22,22,23,26,29,31,30,,,,,,,
55,Dominica,42,43,44,46,48,49,49,49,50,51,52,51,50,48,48,49,52,52,51,49,,,,,,,
56,Dominican Republic,20,21,22,22,22,23,23,23,23,22,23,22,21,22,25,27,28,29,29,28,,,,,,,
86,Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Haiti,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,9,9,9,9,10,,,,,,,
109,Jamaica,33,33,33,32,32,34,36,36,36,36,37,38,39,39,39,40,40,40,39,38,,,,,,,
135,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Netherlands Antilles,51,52,53,56,55,56,56,59,64,66,64,62,59,58,57,56,55,55,57,,,,,,,,
177,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Saint Kitts and Nevis,38,36,35,38,41,43,41,40,44,46,49,48,49,48,47,46,46,46,47,47,,,,,,,
189,Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Saint Vincent and the Grenadines,33,34,33,33,33,34,35,35,35,34,37,39,43,43,45,46,48,49,50,50,,,,,,,
220,Trinidad and Tobago,25,25,24,24,24,24,24,25,27,28,31,33,35,35,36,36,36,36,37,38,,,,,,,
224,Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,United States Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Latin America,31,31,32,33,34,35,36,36,37,38,38,38,38,38,38,39,41,41,42,42,,,,,,,
5204,Central America,27,27,28,28,28,28,29,30,31,33,34,34,34,35,35,36,36,37,37,36,,,,,,,
23,Belize,26,25,26,26,26,26,26,27,28,29,31,32,32,31,30,29,28,28,27,28,,,,,,,
48,Costa Rica,34,34,35,35,35,35,34,35,35,36,35,35,35,35,35,36,38,39,40,39,,,,,,,
60,El Salvador,14,15,15,15,16,16,16,17,18,19,21,22,22,23,24,25,25,25,25,24,,,,,,,
89,Guatemala,11,11,12,12,13,14,14,14,14,15,16,18,18,18,18,18,18,18,18,18,,,,,,,
95,Honduras,16,16,17,18,20,21,22,22,22,22,22,23,23,24,25,27,27,26,25,25,,,,,,,
138,Mexico,30,31,32,32,31,31,32,34,35,37,38,38,38,39,39,40,41,41,41,41,,,,,,,
157,Nicaragua,13,13,12,12,11,11,12,13,14,15,15,16,16,16,17,18,19,19,19,20,,,,,,,
166,Panama,32,33,33,32,33,33,34,35,35,36,36,36,35,35,35,37,38,39,39,40,,,,,,,
5207,South America,32,33,34,35,37,38,38,39,39,39,39,39,39,39,40,41,42,43,44,45,,,,,,,
9,Argentina,61,64,65,66,65,64,65,67,68,67,62,59,56,58,60,62,63,63,64,64,,,,,,,
19,Bolivia (Plurinational State of),19,19,20,21,22,22,22,22,22,22,22,23,23,24,25,27,29,29,29,29,,,,,,,
21,Brazil,30,31,32,34,37,39,39,39,40,41,41,41,42,42,42,42,44,45,47,49,,,,,,,
40,Chile,30,32,34,36,37,38,38,38,38,38,38,39,41,42,42,44,44,44,43,43,,,,,,,
44,Colombia,26,26,27,28,29,30,30,29,29,29,30,30,30,30,31,32,33,32,32,32,,,,,,,
58,Ecuador,21,22,22,24,26,28,28,28,28,29,31,33,34,34,36,37,39,40,40,41,,,,,,,
69,French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Guyana,24,27,30,31,32,34,35,37,37,36,34,35,37,36,34,32,31,32,32,33,,,,,,,
169,Paraguay,37,40,41,41,42,43,43,43,42,40,40,39,37,34,32,31,30,29,30,31,,,,,,,
170,Peru,19,19,19,21,22,22,22,21,21,22,22,22,22,23,23,24,25,25,26,26,,,,,,,
207,Suriname,28,27,25,24,24,26,26,27,26,25,25,24,24,24,24,25,25,26,27,28,,,,,,,
234,Uruguay,50,53,55,56,57,55,55,56,57,57,54,49,44,43,41,43,43,43,44,45,,,,,,,
236,Venezuela (Bolivarian Republic of),30,31,32,32,32,32,33,34,34,35,36,36,36,35,36,39,43,45,45,45,,,,,,,
5500,Oceania,39,39,39,39,39,39,38,37,36,36,36,37,38,38,39,39,39,39,39,38,,,,,,,
5,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Fiji,31,31,30,31,29,29,28,29,29,30,30,31,32,33,33,33,32,31,31,31,,,,,,,
70,French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,
