,(table of contents),V_3.6 - Per capita food production variability,,,,,,,,,,,,,,,,,,,,,,,
,(home),(constant 2004-2006 thousand int$ per capita),,,,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
215,United Republic of Tanzania,3.2,4.0,4.3,4.0,3.2,4.9,4.1,2.6,4.2,4.1,4.0,4.2,4.2,10.0,10.4,10.9,10.1,8.7,6.0,6.7,8.6,8.6,6.5,6.4
251,Zambia,6.6,6.6,6.3,9.1,9.3,8.6,9.4,9.8,7.3,5.1,5.8,3.8,3.3,3.3,2.9,2.7,2.9,3.0,4.9,6.1,6.4,9.2,9.7,9.8
181,Zimbabwe,11.6,12.1,12.1,19.3,17.4,17.5,16.8,17.9,12.6,12.3,12.0,5.7,5.8,9.6,9.8,10.0,9.3,7.7,6.4,7.6,5.1,5.0,6.1,7.4
5102,Middle Africa,1.3,1.6,2.5,2.3,1.8,1.8,3.9,4.3,4.4,4.2,2.0,1.7,1.9,1.2,0.9,0.7,1.4,1.6,1.5,1.3,1.6,1.7,1.8,4.3
7,Angola,3.0,1.0,0.5,1.1,1.3,2.5,2.7,3.0,4.1,4.1,4.6,4.4,4.4,5.7,5.9,3.5,2.3,5.2,4.7,3.8,11.9,13.7,13.0,21.4
32,Cameroon,7.7,7.4,3.7,2.7,2.2,2.3,3.6,4.5,4.2,4.3,4.4,4.4,2.4,4.1,4.7,4.1,5.7,7.8,8.2,6.9,1.7,2.0,3.0,5.2
37,Central African Republic,4.1,2.6,3.2,3.4,3.0,2.4,1.9,7.0,7.2,6.8,6.8,6.7,5.7,5.7,6.8,5.4,5.2,3.8,2.8,2.3,2.7,2.4,1.9,1.9
39,Chad,3.9,4.9,6.8,6.1,10.5,10.5,10.4,8.2,7.8,9.9,9.7,11.0,10.2,10.3,6.3,6.6,4.6,4.2,5.7,5.3,4.9,3.7,4.9,8.2
46,Congo,1.6,1.5,2.5,2.9,2.1,1.8,3.3,3.8,3.2,2.4,2.1,2.1,1.8,1.7,2.4,1.6,1.8,2.4,2.5,1.5,0.7,0.8,1.5,1.5
250,Democratic Republic of the Congo,1.0,2.3,3.3,3.6,2.9,2.1,7.4,8.9,8.9,7.5,3.1,3.0,2.6,0.9,1.3,1.7,1.8,1.7,1.0,0.5,1.0,1.4,1.9,2.3
61,Equatorial Guinea,4.3,8.0,8.6,8.6,8.5,6.0,3.9,1.9,0.8,1.6,1.8,1.7,1.6,2.0,1.6,1.5,2.1,2.4,2.2,1.5,1.3,1.9,2.8,3.1
74,Gabon,1.4,1.5,6.8,6.5,6.9,7.1,9.5,6.0,4.0,5.2,5.4,4.1,3.0,1.7,1.8,1.6,1.5,2.4,2.5,2.0,2.2,3.4,3.3,3.1
193,Sao Tome and Principe,6.4,12.0,12.6,12.2,10.7,11.6,10.7,7.9,10.5,12.1,13.0,7.5,1.2,1.2,3.8,9.2,10.5,9.3,5.5,0.7,2.4,3.7,5.3,9.4
5104,Southern Africa,8.7,7.9,4.7,13.5,13.6,12.7,15.3,13.8,11.8,12.5,11.0,8.9,8.7,9.3,7.0,6.3,4.1,5.5,5.4,10.2,10.5,10.6,9.8,9.1
20,Botswana,12.1,8.8,11.0,9.0,6.9,6.2,9.1,8.9,9.4,10.5,13.7,9.5,8.0,7.6,7.9,5.4,4.5,4.7,5.1,5.0,3.8,2.8,7.4,9.4
122,Lesotho,5.3,5.2,8.7,9.7,8.2,7.7,6.4,5.9,5.3,5.6,5.9,3.5,4.9,5.3,5.9,5.9,5.9,2.4,2.5,1.8,2.4,4.0,4.5,4.6
147,Namibia,11.8,9.2,7.5,7.5,7.0,8.7,6.1,9.5,38.5,38.2,35.6,34.2,25.9,4.6,4.3,11.2,19.0,19.8,14.7,13.3,16.0,15.3,13.3,3.4
202,South Africa,9.6,8.8,5.0,15.4,15.5,14.5,17.4,15.4,13.5,14.3,12.8,10.1,10.3,10.8,8.2,7.7,4.7,6.9,6.3,12.1,12.7,12.7,11.5,10.3
209,Swaziland,12.0,6.1,6.7,8.4,7.8,6.6,11.8,10.6,7.3,7.5,6.7,5.9,6.9,9.9,10.1,11.1,13.2,5.9,7.3,8.0,9.6,6.2,3.0,3.3
5105,Western Africa,3.6,3.4,4.6,4.2,4.4,4.3,2.5,2.0,2.3,1.7,2.2,2.7,3.7,4.0,3.7,3.8,5.2,4.9,5.4,5.6,8.7,8.4,8.0,8.6
53,Benin,8.9,8.4,7.3,3.0,3.4,3.4,3.3,2.9,5.5,5.4,5.2,3.0,2.8,2.8,2.9,3.2,5.1,12.4,14.7,13.5,10.8,11.0,9.6,4.5
233,Burkina Faso,5.7,6.4,7.2,7.6,8.0,6.9,5.5,4.8,7.1,6.1,6.1,9.9,11.3,10.5,13.1,13.1,6.5,6.5,12.9,10.9,11.4,11.6,11.6,8.3
35,Cabo Verde,14.5,10.2,6.9,6.5,5.5,7.2,6.7,9.3,8.0,5.6,6.7,8.9,8.0,5.4,3.3,3.4,2.5,1.1,2.1,3.7,4.6,4.1,9.2,10.5
107,Côte d'Ivoire,3.6,3.6,5.3,5.9,5.3,5.7,7.2,11.2,11.5,9.3,4.3,5.1,6.7,6.8,7.7,7.7,2.9,5.3,5.9,5.9,9.6,9.6,8.2,10.4
75,Gambia,13.5,10.2,10.3,12.8,12.8,6.1,5.8,7.0,6.4,6.3,11.5,15.5,14.7,17.8,16.6,16.4,15.3,10.1,13.6,13.6,12.9,17.1,18.2,12.9
81,Ghana,5.4,17.9,20.1,20.4,21.1,21.6,10.8,9.1,9.4,8.9,5.5,6.8,6.3,6.6,6.6,5.6,5.0,5.0,11.0,9.9,9.8,9.7,10.4,4.7
90,Guinea,1.3,2.1,2.3,2.8,2.0,1.9,3.3,3.3,2.5,4.2,3.4,3.5,3.2,2.3,3.2,4.6,4.8,3.0,2.6,2.6,2.7,2.1,2.5,2.5
175,Guinea-Bissau,4.3,4.5,4.7,4.7,3.6,4.3,3.2,3.2,3.7,3.8,4.1,4.1,1.9,2.6,5.3,5.0,4.2,2.6,3.6,6.0,6.5,6.6,6.6,4.6
123,Liberia,8.1,7.1,9.8,10.3,9.4,3.5,2.5,2.9,7.4,9.3,8.5,4.9,4.7,5.8,4.8,3.9,2.1,3.0,3.1,3.7,3.6,3.4,1.8,1.4
133,Mali,9.6,8.1,10.0,9.1,9.9,9.6,9.9,3.6,3.2,3.3,5.2,7.9,8.0,9.2,10.1,7.9,7.6,7.6,7.3,10.6,12.0,11.3,15.1,19.5
136,Mauritania,3.5,5.3,5.1,4.6,7.0,8.3,6.7,4.5,4.0,3.7,2.3,1.9,1.5,2.2,2.5,2.2,2.1,1.3,1.5,3.2,4.8,4.7,4.0,5.0
158,Niger,9.1,8.9,9.3,4.5,7.8,7.8,11.3,10.8,12.1,15.8,15.2,15.2,14.8,11.7,9.3,11.8,9.7,9.6,9.2,15.6,16.5,17.5,19.8,20.0
159,Nigeria,6.1,3.6,5.3,5.6,6.0,5.4,3.5,4.5,4.5,2.5,1.7,2.4,4.9,5.2,4.6,6.6,9.2,9.5,8.2,6.7,14.6,13.8,11.5,13.6
187,"Saint Helena, Ascension and Tristan da Cunha",,,,,,,,,,,,,,,,,,,,,,,,
