,(table of contents),V_3.6 - Per capita food production variability,,,,,,,,,,,,,,,,,,,,,,,
,(home),(constant 2004-2006 thousand int$ per capita),,,,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
55,Dominica,63.1,39.7,39.5,44.0,11.7,25.7,34.8,38.0,42.8,43.4,39.9,6.6,8.1,8.6,13.0,12.9,10.6,11.3,16.5,15.0,21.2,14.3,18.8,22.2
56,Dominican Republic,9.6,10.8,10.4,10.4,10.2,6.4,3.7,3.7,3.7,4.0,5.8,5.8,8.6,10.2,9.4,8.1,7.9,7.2,6.4,9.6,9.2,11.9,12.3,12.4
86,Grenada,12.1,11.1,11.4,3.0,3.7,4.9,5.3,5.7,6.7,8.2,5.5,7.4,7.6,17.2,15.7,17.2,30.2,32.4,30.5,26.8,10.8,5.5,8.0,9.4
87,Guadeloupe,19.1,29.6,28.4,28.4,25.9,25.4,23.0,24.3,27.9,23.2,28.1,22.1,16.0,14.8,9.5,7.7,5.4,14.1,15.6,12.5,9.1,6.5,9.8,12.2
93,Haiti,4.1,2.5,1.7,2.2,5.3,4.3,4.1,3.4,3.3,1.8,2.4,3.5,3.4,3.3,3.5,3.7,0.8,1.0,2.9,3.8,4.0,4.1,3.9,3.3
109,Jamaica,17.7,14.2,12.7,13.5,14.3,4.0,4.4,6.9,7.3,8.4,8.4,10.9,5.7,5.5,7.3,6.8,7.6,7.6,7.5,6.2,5.3,3.4,4.5,6.3
135,Martinique,18.2,17.4,12.5,12.6,14.3,24.4,18.7,28.3,38.5,39.1,30.8,13.3,14.2,15.3,12.1,14.9,18.6,24.2,42.6,39.2,31.8,30.8,43.4,44.7
142,Montserrat,33.4,19.2,9.3,15.9,30.8,38.3,41.9,36.4,21.4,19.3,48.2,78.0,90.4,73.3,41.0,45.0,79.5,85.7,71.8,40.9,18.4,24.9,40.9,60.5
151,Netherlands Antilles,,,,,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.4,0.3,0.5,0.5,0.4,0.2,0.2,0.1,0.1,0.1,0.1
177,Puerto Rico,6.5,3.9,2.3,2.5,2.8,3.4,4.3,3.4,2.5,2.1,3.0,4.6,4.6,4.5,4.6,2.7,2.8,2.8,2.8,2.8,1.5,1.4,1.6,2.8
188,Saint Kitts and Nevis,6.2,33.7,34.7,40.0,36.8,36.3,29.5,28.2,43.7,45.8,40.1,32.7,29.8,12.6,11.8,33.2,36.7,58.1,64.2,61.9,24.7,27.4,29.5,31.4
189,Saint Lucia,45.4,43.7,47.4,37.4,35.0,38.7,39.9,29.0,30.0,30.6,34.0,36.8,26.8,24.1,27.4,32.4,26.9,11.1,15.6,22.9,23.6,18.1,32.9,44.6
191,Saint Vincent and the Grenadines,36.2,42.8,41.7,23.2,23.0,49.7,46.9,47.3,38.3,27.2,17.0,16.9,16.3,16.0,14.2,12.4,13.4,8.7,8.3,6.5,8.2,7.8,12.5,12.0
220,Trinidad and Tobago,1.4,2.8,3.0,2.9,2.9,1.5,1.2,0.9,3.0,8.6,8.4,8.9,8.4,15.9,12.5,9.7,10.2,10.1,3.4,7.6,7.9,8.0,8.0,7.8
224,Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,
240,United States Virgin Islands,3.9,3.7,3.0,1.1,0.9,0.9,0.3,0.1,0.1,0.2,0.4,0.5,0.6,1.1,1.1,1.2,1.4,1.3,0.6,0.6,0.6,0.3,0.4,0.4
348,Latin America,3.2,3.1,2.2,2.3,2.6,3.2,6.0,6.0,5.9,5.6,5.6,4.0,4.5,4.6,5.0,3.6,3.8,4.2,6.2,7.3,10.2,10.0,10.0,11.1
5204,Central America,6.4,6.5,6.0,5.5,5.6,1.4,3.2,3.8,3.9,4.1,4.2,1.9,2.0,2.4,2.6,2.1,2.3,3.4,3.8,3.4,4.0,3.9,3.6,3.8
23,Belize,24.4,22.7,28.2,27.5,44.1,41.2,41.2,30.4,30.4,23.9,22.9,24.5,21.9,27.6,28.9,38.7,37.5,44.7,36.2,30.8,29.9,30.8,13.2,40.4
48,Costa Rica,23.7,18.2,19.8,20.0,7.9,6.6,6.6,6.9,7.1,3.9,6.0,6.9,9.1,21.5,22.3,16.4,13.9,35.3,33.2,29.5,24.6,22.8,10.9,5.5
60,El Salvador,4.5,3.5,4.8,5.6,5.0,3.9,4.7,4.7,3.0,3.1,3.5,2.4,4.8,5.2,5.8,4.2,2.7,4.6,5.3,7.2,6.5,6.7,9.7,9.9
89,Guatemala,4.8,3.7,3.8,4.7,4.6,4.6,7.3,9.5,8.3,6.4,5.8,8.2,7.7,6.3,3.6,3.8,4.8,5.1,11.0,12.7,11.8,8.4,11.5,9.9
95,Honduras,6.6,6.7,1.0,1.5,2.1,2.4,2.1,7.0,6.7,7.1,18.6,20.5,16.0,12.2,15.0,16.4,16.5,10.4,3.9,2.2,9.4,10.4,10.5,8.7
138,Mexico,8.9,8.8,7.9,6.9,7.2,2.1,3.8,5.4,5.7,5.8,6.2,4.0,4.0,3.7,3.4,3.0,3.6,3.0,3.1,3.0,3.9,3.8,2.9,4.7
157,Nicaragua,5.9,7.8,7.8,6.5,3.3,3.8,2.2,3.0,5.7,5.1,4.2,9.0,9.3,7.8,7.0,6.1,5.0,5.5,6.4,6.0,6.1,4.4,5.3,5.7
166,Panama,12.4,13.1,11.3,10.1,10.3,9.4,6.0,4.4,3.0,1.8,4.1,3.5,3.8,4.2,5.6,4.2,2.7,4.2,8.4,8.6,9.3,9.3,9.4,7.1
5207,South America,6.0,6.0,4.4,4.4,4.8,4.5,7.5,7.4,7.3,6.4,6.4,5.5,6.3,5.8,6.6,5.0,5.4,5.1,7.8,9.5,13.2,13.3,13.1,16.0
9,Argentina,28.2,30.8,29.9,29.8,30.8,16.9,16.2,14.7,14.6,10.2,15.3,16.7,23.3,40.9,38.8,25.3,33.5,38.4,52.2,47.2,71.2,73.1,73.9,69.2
19,Bolivia (Plurinational State of),2.3,4.9,4.3,8.3,9.8,9.7,10.0,10.8,8.7,4.5,6.4,5.8,6.5,4.9,5.2,5.6,5.7,5.4,7.2,7.5,6.4,7.0,8.6,6.9
21,Brazil,14.1,14.5,10.8,10.8,10.6,6.6,10.0,9.5,9.9,12.6,12.4,7.7,6.8,5.5,12.0,13.5,11.0,9.8,9.6,10.6,11.2,10.7,8.4,16.2
40,Chile,6.1,3.3,3.4,4.0,3.9,6.8,10.6,11.3,8.5,7.2,12.2,12.6,9.3,8.5,7.8,7.1,6.3,11.8,11.6,10.7,13.3,13.0,9.4,9.4
44,Colombia,6.6,8.5,7.8,6.5,7.5,7.6,5.3,2.8,2.8,4.8,4.8,3.8,3.9,3.4,2.2,3.4,3.7,5.5,6.0,6.5,6.6,9.8,11.4,10.2
58,Ecuador,15.9,10.3,6.1,6.0,4.0,12.7,13.2,13.3,27.5,28.9,28.8,28.1,28.6,16.2,16.6,12.7,12.7,7.1,7.1,10.3,13.8,16.3,15.2,14.8
69,French Guiana,12.5,8.5,7.6,8.6,8.6,8.9,8.8,12.6,8.0,7.8,8.7,9.3,8.6,9.4,9.3,9.2,9.8,4.3,4.2,4.2,1.3,3.3,4.4,5.3
91,Guyana,39.1,52.1,38.4,30.0,33.4,41.3,42.4,37.8,34.3,30.4,25.1,33.0,30.5,20.3,20.7,11.0,27.6,30.5,32.0,23.1,16.4,20.2,29.6,30.3
169,Paraguay,29.5,32.3,24.4,13.5,12.0,22.6,17.5,16.6,16.8,17.5,9.5,16.2,15.6,16.1,17.8,19.6,20.9,20.1,32.3,36.3,56.3,68.5,74.6,98.1
170,Peru,10.2,10.2,10.5,13.6,9.9,6.0,7.6,9.7,9.0,5.4,5.8,5.9,6.7,6.5,5.9,8.5,6.1,5.9,4.7,6.2,4.6,3.8,3.8,2.5
207,Suriname,11.5,12.0,10.5,17.5,17.5,17.7,13.5,12.7,11.3,15.3,15.7,10.3,11.8,13.3,13.2,12.8,12.9,10.7,9.3,7.9,7.4,12.3,12.4,17.5
234,Uruguay,34.0,35.2,40.6,37.7,40.4,23.3,26.3,40.5,56.2,42.0,37.2,30.3,91.9,100.8,92.8,69.5,86.1,90.2,70.9,40.9,44.5,38.6,19.5,20.0
236,Venezuela (Bolivarian Republic of),4.6,4.7,4.6,4.0,2.6,2.0,4.6,4.4,5.4,5.1,6.0,6.3,6.2,6.1,8.8,14.6,13.2,11.1,13.2,12.7,8.3,10.6,10.9,8.4
5500,Oceania,3.4,3.6,3.0,3.1,3.7,3.7,4.3,4.1,4.1,4.4,4.4,3.8,4.2,4.2,4.9,4.2,1.8,3.8,6.8,6.8,6.0,6.5,6.6,6.6
5,American Samoa,2.1,2.9,2.8,2.1,2.1,2.4,1.2,1.1,1.6,6.5,6.5,6.3,6.2,5.8,2.1,2.1,2.8,2.7,3.8,3.4,3.4,3.4,3.4,2.2
47,Cook Islands,15.9,18.6,18.5,18.0,11.6,13.3,17.2,16.1,33.5,57.4,53.6,41.5,19.5,26.2,35.0,46.2,43.0,23.7,12.8,17.3,14.5,13.2,10.7,12.3
66,Fiji,30.3,32.5,29.0,23.5,18.6,16.4,10.1,8.9,9.8,29.2,28.2,26.1,23.9,24.3,9.8,11.3,14.1,18.0,17.4,10.4,14.8,19.8,13.4,12.4
70,French Polynesia,2.9,5.0,5.0,5.1,4.4,4.4,3.4,7.5,6.9,10.9,11.8,11.3,6.5,6.4,3.5,1.5,3.4,2.7,2.9,2.5,3.2,3.3,3.3,2.6
88,Guam,3.7,3.9,4.0,3.8,1.4,1.8,2.1,3.6,4.1,4.2,3.4,1.4,0.9,0.7,2.1,2.2,2.0,1.4,1.6,1.8,2.6,2.5,2.5,2.8
83,Kiribati,35.1,40.6,41.1,37.7,19.9,20.4,5.1,11.6,12.0,13.4,11.9,12.4,16.0,18.3,17.4,13.8,14.0,21.2,22.8,11.9,11.4,8.8,11.4,9.3
127,Marshall Islands,,,,,,,23.2,19.2,18.7,16.0,18.8,26.4,27.4,19.0,23.4,22.9,20.5,14.2,13.7,20.3,18.6,13.5,22.2,27.6
145,Micronesia (Federated States of),,,,,,,,,,,5.4,4.9,4.4,3.6,1.5,2.9,3.6,3.7,3.5,2.7,3.0,2.2,1.8,2.6
148,Nauru,0.8,0.9,1.6,1.3,1.1,1.1,1.1,2.0,2.4,2.4,1.9,0.3,2.1,2.6,3.3,2.9,2.0,2.1,2.3,1.6,1.9,2.0,2.0,0.9
153,New Caledonia,9.0,5.4,2.0,4.1,5.7,6.3,4.8,3.2,2.9,3.1,1.7,2.8,2.2,2.0,1.4,3.1,2.8,3.5,3.9,3.9,1.7,2.0,2.3,3.3
160,Niue,78.3,109.5,119.6,118.2,103.1,61.5,32.4,18.5,14.1,24.4,20.3,17.0,22.1,23.2,16.9,14.2,18.6,18.1,29.3,38.4,38.6,38.4,43.7,38.3
163,Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,
180,Palau,,,,,,,,,,,,,,,,,,,,,,,,
168,Papua New Guinea,1.9,1.9,2.0,3.5,5.3,5.1,5.6,5.8,5.8,4.7,4.9,3.5,3.8,4.2,4.8,4.3,2.4,3.0,7.5,9.0,8.7,7.8,7.4,7.5
244,Samoa,18.5,9.5,20.5,27.3,24.4,14.6,10.4,20.5,25.0,23.1,14.5,8.9,15.6,14.1,13.3,13.2,11.7,11.2,12.3,9.9,9.0,5.9,5.5,9.2
25,Solomon Islands,24.3,18.6,12.6,13.6,10.5,8.8,6.2,4.9,5.7,4.5,10.2,11.7,15.4,15.1,9.6,9.3,14.4,16.7,17.3,10.9,9.5,11.3,12.4,10.2
218,Tokelau,3.4,4.9,4.8,4.5,7.5,15.3,16.6,21.4,23.2,22.7,16.4,14.6,35.7,35.7,31.7,31.2,38.4,34.9,32.5,17.2,15.7,17.2,25.2,39.3
219,Tonga,18.7,19.6,7.0,2.8,46.9,45.4,44.1,42.0,38.2,8.3,5.8,6.2,7.8,6.5,8.3,8.6,10.1,9.0,32.8,39.5,37.1,26.8,26.3,31.9
227,Tuvalu,6.8,6.0,11.6,17.5,16.9,16.7,14.6,13.5,3.1,3.8,3.4,1.6,2.1,2.5,2.2,2.0,1.5,1.5,1.8,2.0,3.0,3.5,3.4,2.8
155,Vanuatu,34.7,41.1,40.5,37.9,37.9,29.5,7.4,11.4,32.9,44.3,38.2,36.1,35.7,38.9,15.5,11.3,10.0,6.6,1.8,1.5,7.0,23.3,23.5,22.8
243,Wallis and Futuna Islands,3.1,4.6,5.2,5.2,4.5,4.1,3.7,4.4,4.8,4.9,4.8,4.2,14.5,13.8,14.7,13.9,13.7,14.0,13.4,13.4,12.6,14.2,13.2,9.0
5851,Developed countries,7.6,10.1,10.0,10.0,10.1,10.9,10.1,9.5,7.4,6.9,7.6,3.7,3.6,4.5,6.0,8.0,7.4,7.9,7.9,7.9,7.4,7.6,6.4,7.2
3,Albania,7.2,5.9,15.8,15.9,16.4,18.9,25.8,21.5,13.5,11.3,14.0,10.3,3.4,4.1,3.3,4.7,5.7,5.9,6.9,6.9,2.4,3.4,5.1,7.8
6,Andorra,,,,,,,,,,,,,,,,,,,,,,,,
10,Australia,39.4,34.2,29.3,25.4,22.5,34.1,34.9,52.7,57.9,68.1,54.4,32.4,35.0,79.3,79.2,77.3,72.9,79.4,82.3,67.3,67.5,47.7,40.1,71.4
11,Austria,11.5,9.7,9.9,12.2,8.2,8.7,8.8,7.8,7.9,12.6,22.9,20.7,17.0,14.7,17.9,6.5,7.3,10.3,8.8,12.6,12.6,12.5,11.3,11.6
57,Belarus,,,27.0,21.4,18.7,40.8,38.6,38.0,35.9,10.8,8.5,9.8,9.8,10.1,13.4,21.4,22.1,25.0,18.1,10.9,8.2,10.1,31.2,42.1
255,Belgium,,,,,,,,,,,,,,,,15.6,15.0,10.6,10.2,16.7,10.7,15.1,19.3,21.0
17,Bermuda,1.3,2.0,1.9,1.4,1.0,1.3,1.3,1.6,1.3,1.0,1.0,1.1,1.1,1.1,0.8,0.8,1.1,0.9,1.0,1.2,1.3,0.9,0.9,1.3
80,Bosnia and Herzegovina,,,,,,,,4.5,14.4,20.5,18.3,26.4,29.9,29.5,19.9,18.2,18.8,18.7,15.8,5.8,6.6,6.1,6.4,13.5
27,Bulgaria,38.2,23.5,31.0,31.4,52.3,44.5,34.9,35.4,33.9,27.8,28.5,29.9,17.2,12.4,22.0,22.9,29.6,26.9,42.7,47.5,41.0,42.0,42.9,20.3
33,Canada,39.0,42.5,37.5,36.7,21.2,19.1,11.7,17.0,17.2,15.3,23.1,18.8,35.7,53.2,53.5,41.0,40.4,40.6,26.7,23.9,23.9,23.2,24.0,19.5
98,Croatia,,,,,,,,7.9,7.2,14.4,15.3,17.1,16.4,17.5,25.6,22.8,23.4,22.9,15.5,12.7,17.0,11.1,10.0,16.3
50,Cyprus,25.8,25.6,42.4,43.3,41.8,32.6,37.9,28.5,28.3,28.0,17.4,13.8,13.4,6.5,6.9,10.3,13.9,18.5,18.5,18.7,4.0,4.1,14.1,16.3
167,Czech Republic,,,,,,,,,26.3,19.7,11.9,7.8,8.0,10.2,21.6,22.7,22.6,20.6,20.6,14.0,10.5,12.6,12.4,12.0
54,Denmark,26.2,28.1,29.5,26.9,27.8,28.8,25.3,24.8,20.0,12.5,9.8,9.1,7.8,7.9,3.0,5.9,6.0,20.5,20.5,23.0,23.5,23.2,14.1,13.5
63,Estonia,,,22.4,15.9,19.0,31.1,27.7,28.3,15.3,7.8,7.8,9.2,12.5,11.1,12.0,9.9,12.4,13.7,12.6,8.0,6.4,14.9,18.6,19.5
64,Faroe Islands,1.6,1.3,1.0,0.8,1.4,1.5,1.4,0.9,0.6,0.6,0.6,0.7,0.8,0.5,0.6,0.5,0.4,0.4,0.4,0.7,0.8,0.7,0.2,0.1
67,Finland,18.1,26.8,26.8,23.7,21.9,21.0,9.0,7.8,6.5,16.1,16.1,17.2,17.3,17.2,11.2,5.7,7.4,7.2,7.0,5.9,2.6,9.8,9.6,9.6
68,France,11.8,10.6,13.2,17.7,20.1,23.1,23.0,26.9,26.0,26.7,19.5,5.8,16.9,17.2,24.2,21.4,20.5,23.4,20.2,19.9,12.7,14.3,17.8,14.5
79,Germany,18.1,11.2,11.0,15.0,20.2,22.0,13.2,7.8,9.0,11.3,13.4,13.5,12.1,9.5,14.9,14.5,13.2,12.5,12.0,11.1,8.8,8.8,5.4,3.8
82,Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,
84,Greece,36.4,42.2,49.1,45.5,45.8,42.9,16.2,11.5,19.5,25.7,26.6,29.2,30.7,26.2,39.2,37.1,38.1,36.6,37.0,18.9,19.7,17.6,17.5,15.9
85,Greenland,0.1,0.2,0.6,0.9,0.9,0.8,0.8,0.9,1.2,0.9,0.8,0.8,0.3,1.5,1.6,1.6,1.4,0.6,0.5,0.5,0.5,0.7,0.8,0.9
94,Holy See,,,,,,,,,,,,,,,,,,,,,,,,
97,Hungary,60.6,45.1,35.9,49.4,73.0,77.2,69.5,20.6,30.3,31.2,25.9,12.6,33.2,34.3,42.8,65.0,62.2,58.4,68.3,66.2,52.3,58.7,58.6,48.9
99,Iceland,16.8,16.9,14.6,12.2,11.3,6.7,4.7,5.5,5.0,4.7,5.3,7.4,6.4,4.7,3.3,5.7,8.1,8.4,7.5,7.4,7.4,5.3,3.9,5.9
104,Ireland,60.1,53.0,46.2,55.8,54.5,30.2,36.2,35.9,31.6,26.6,57.1,52.4,52.3,54.5,59.6,35.9,16.2,10.4,17.2,19.6,25.3,31.3,39.9,38.8
105,Israel,11.7,22.9,20.7,20.5,19.8,20.8,7.2,6.7,9.3,11.6,13.2,11.6,10.8,15.3,13.1,10.6,10.6,9.0,8.4,8.6,6.3,6.5,6.7,7.7
106,Italy,13.6,22.2,24.5,24.1,23.2,23.2,13.8,12.2,5.7,5.4,17.4,16.0,16.0,19.2,25.0,22.9,21.9,22.2,22.3,17.7,15.7,15.3,13.7,9.3
110,Japan,1.5,1.1,2.0,2.6,4.0,4.6,4.6,4.4,4.1,3.1,2.1,1.9,1.9,1.7,1.4,1.4,1.8,1.7,2.1,1.9,1.5,2.1,2.9,2.7
119,Latvia,,,33.7,22.9,15.2,55.1,59.9,63.3,44.1,20.1,19.0,19.0,8.7,16.6,21.4,20.2,22.2,16.3,15.6,14.0,9.4,20.7,40.1,43.7
125,Liechtenstein,4.2,2.0,2.0,2.2,3.2,3.0,2.5,1.9,2.0,2.1,2.2,2.1,2.7,2.7,2.7,2.3,1.5,1.9,2.4,2.4,1.3,0.7,1.8,1.6
126,Lithuania,,,36.0,24.5,34.5,74.0,70.5,60.8,45.2,43.2,29.2,15.3,29.0,27.1,34.4,41.4,49.2,26.1,23.1,24.0,24.1,45.1,52.6,47.9
256,Luxembourg,,,,,,,,,,,,,,,,18.7,16.3,5.7,9.1,8.9,9.3,14.1,13.4,13.1
134,Malta,4.0,4.5,3.7,3.1,3.7,2.1,2.0,16.7,16.5,16.4,14.3,9.9,7.3,8.8,7.4,5.8,7.3,5.6,4.8,9.1,8.9,7.1,7.2,4.8
140,Monaco,,,,,,,,,,,,,,,,,,,,,,,,
273,Montenegro,,,,,,,,,,,,,,,,,,,,,,8.5,13.0,13.5
150,Netherlands,22.2,21.1,13.8,26.5,29.2,21.3,20.1,10.5,25.6,25.3,29.4,31.1,29.1,21.9,27.9,22.5,14.4,13.7,15.6,8.2,13.4,14.2,9.1,23.7
156,New Zealand,32.7,54.5,54.4,54.4,35.8,42.9,16.9,15.7,33.5,27.9,71.1,71.7,72.0,59.2,57.6,46.0,44.6,52.2,51.6,54.4,18.0,14.8,15.0,55.7
162,Norway,5.2,8.6,9.3,10.7,10.9,10.7,4.6,6.0,5.0,3.7,3.4,6.0,7.8,7.8,7.7,5.2,5.5,4.9,4.7,2.8,3.2,2.8,5.9,5.6
173,Poland,22.6,22.0,21.4,24.2,24.2,35.8,27.3,23.8,23.6,23.2,12.5,9.9,9.8,8.8,6.7,10.4,7.1,7.0,6.4,6.6,5.4,9.3,11.5,11.5
174,Portugal,32.9,37.5,42.4,42.3,28.8,31.7,27.6,15.6,15.7,13.8,18.1,18.2,17.6,16.4,15.9,14.4,14.4,14.0,15.5,13.7,9.1,12.8,13.0,11.1
146,Republic of Moldova,,,22.3,19.5,42.8,55.6,54.7,59.0,62.6,32.3,39.1,24.6,20.8,38.3,44.9,49.1,41.2,19.0,40.1,43.0,40.2,38.0,37.4,55.3
183,Romania,11.1,11.8,7.3,19.7,24.9,25.4,27.9,28.1,11.5,20.8,21.2,27.1,26.5,17.1,20.3,38.6,33.2,33.0,41.6,41.5,26.0,26.4,32.1,18.1
185,Russian Federation,,,18.1,14.1,14.8,22.9,20.4,19.7,14.2,10.7,11.2,11.6,15.5,22.0,18.3,13.4,7.3,5.8,8.4,6.0,5.4,20.4,20.7,22.7
190,Saint Pierre and Miquelon,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.3,0.1,0.2,0.2,0.4,0.5,0.6,0.5,0.3,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.1
192,San Marino,,,,,,,,,,,,,,,,,,,,,,,,
272,Serbia,,,,,,,,,,,,,,,,,,,,,,9.7,10.5,10.3
186,Serbia and Montenegro,,,,,,,,23.7,22.3,23.2,22.2,24.0,22.5,20.5,9.5,20.0,19.0,,,,,,,
199,Slovakia,,,,,,,,,16.1,16.9,15.4,22.5,24.3,19.2,14.7,16.8,16.3,14.4,16.2,19.9,19.9,23.2,23.2,21.4
198,Slovenia,,,,,,,,15.2,10.0,11.7,13.0,14.3,6.4,15.3,16.2,17.0,13.7,10.7,12.1,11.9,6.2,8.6,9.0,6.9
203,Spain,28.9,30.4,25.2,20.5,21.1,38.5,53.9,54.3,61.5,63.0,59.8,21.8,21.4,18.1,27.2,27.9,46.3,45.8,47.4,19.6,16.8,18.9,34.1,31.6
210,Sweden,19.7,24.8,26.8,27.2,26.9,25.5,15.2,15.9,9.8,10.2,8.8,5.8,6.7,5.0,2.4,3.0,3.1,5.3,7.0,7.2,5.1,4.7,6.5,6.1
211,Switzerland,10.3,10.1,9.9,7.7,8.0,11.6,12.0,11.9,7.9,13.6,12.9,13.2,13.3,10.2,6.3,6.0,5.5,5.0,4.7,3.2,3.0,3.4,5.1,7.9
154,The former Yugoslav Republic of Macedonia,,,,,,,,26.4,24.0,9.5,7.2,4.1,16.3,30.6,29.9,26.3,19.0,20.5,10.6,9.8,9.9,8.5,8.5,16.7
230,Ukraine,,,23.3,18.3,15.9,31.9,26.2,29.4,25.5,15.4,17.1,16.1,25.2,32.2,25.6,17.9,18.0,17.9,23.4,22.3,22.5,32.2,31.2,33.8
229,United Kingdom,7.2,5.4,5.2,7.1,5.2,3.8,3.4,3.4,2.9,2.5,1.7,2.1,12.4,12.1,11.4,9.7,9.3,2.2,2.6,4.8,4.7,4.8,5.8,7.8
231,United States of America,31.4,21.1,19.8,28.3,22.9,31.3,31.7,30.1,29.0,18.0,9.9,4.1,12.3,16.1,16.9,15.0,9.0,9.3,11.0,12.1,14.8,13.2,6.4,8.5
5801,Least developed countries,2.9,2.8,2.6,1.3,2.7,3.7,3.6,2.5,1.2,1.1,1.9,1.8,1.8,1.3,0.5,1.1,1.2,1.3,1.3,1.5,0.7,1.5,1.9,3.1
5802,Landlocked developing countries,14.2,12.9,10.2,5.4,13.3,17.5,16.3,12.1,2.3,2.4,4.6,4.4,5.5,5.4,4.5,4.0,2.0,1.5,1.2,1.0,1.5,2.0,2.7,6.0
5803,Small island developing States,9.3,7.1,5.2,4.1,11.2,12.7,11.5,8.5,6.4,6.0,6.2,6.9,8.1,8.0,3.7,1.8,6.2,6.8,5.8,5.1,3.5,3.0,2.5,2.5
5858,Low income economies,3.5,3.3,3.4,1.6,3.1,4.3,4.8,3.3,1.2,0.8,2.1,2.0,2.1,1.5,0.9,1.0,1.2,1.4,1.4,1.5,0.8,1.1,1.9,3.0
5859,Lower-middle-income economies,2.8,3.0,3.0,1.5,1.3,1.3,1.0,1.4,1.4,1.6,1.4,1.6,0.9,3.0,3.0,2.6,2.8,3.7,2.9,3.5,3.2,3.4,3.5,3.4
5816,Low-income food-deficit countries,3.1,3.1,3.1,1.1,1.2,1.3,1.4,1.3,0.9,1.0,2.1,1.7,1.7,3.7,3.7,3.2,3.0,3.1,2.7,3.2,3.3,3.2,3.3,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
