,(table of contents),V_2.4 - Gross domestic product per capita (in purchasing power equivalent),,,,,,,,,,,,,,,,,,,,,,,,,
,(home),(constant 2011 international $),,,,,,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
196,Seychelles,14116.4,14351.3,15185.5,15892.7,15506.9,15097.2,15608.9,17272.1,18361.0,18340.9,18453.2,18018.3,17692.5,16831.9,16411.6,17803.3,19086.5,20967.6,20065.0,19765.1,20363.6,22556.4,23685.3,24805.2,25172.4,
201,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,
277,South Sudan,,,,,,,,,,,,,,,,,,,3739.0,3758.3,3794.0,3461.8,1786.5,1937.6,1926.1,
206,Sudan (former),,,,,,,,,,,,,,,,,,,,,,,,,,
226,Uganda,773.4,789.6,790.2,829.0,854.7,924.2,977.9,997.5,1015.7,1064.6,1064.3,1084.0,1140.5,1174.4,1212.8,1247.0,1335.8,1400.3,1472.1,1527.0,1553.5,1648.5,1665.8,1665.1,1689.4,
215,United Republic of Tanzania,1472.7,1454.7,1415.1,1385.5,1363.3,1370.8,1394.5,1407.1,1423.7,1456.2,1489.7,1538.0,1604.4,1667.9,1747.9,1836.1,1864.8,1961.3,2006.6,2048.9,2111.2,2206.9,2247.9,2336.0,2421.2,
251,Zambia,2318.3,2257.0,2162.2,2252.2,2006.7,2012.4,2081.6,2103.1,2038.5,2076.4,2101.1,2156.6,2197.3,2291.1,2389.6,2494.8,2618.5,2757.7,2886.9,3061.3,3277.2,3381.4,3500.8,3623.2,3724.5,
181,Zimbabwe,2526.1,2596.9,2307.7,2282.9,2445.9,2406.5,2612.3,2641.8,2681.0,2627.4,2521.3,2536.5,2295.0,1892.6,1769.7,1653.7,1579.0,1501.9,1218.4,1270.1,1389.0,1523.6,1648.8,1684.2,1709.1,
5102,Middle Africa,1983.1,1867.1,1724.3,1545.2,1498.1,1499.6,1501.1,1513.7,1529.6,1477.9,1455.5,1504.0,1530.6,1563.2,1665.9,1734.3,1740.1,1775.2,1794.6,1770.8,1815.1,2640.9,1889.5,1901.8,1956.9,
7,Angola,,,,,,,,,,,,,,,,,,,,,,6949.0,,,,
32,Cameroon,2768.3,2585.8,2433.9,2177.5,2160.4,2187.8,2233.1,2289.0,2337.7,2369.1,2403.9,2447.6,2480.5,2514.6,2541.5,2533.9,2549.5,2566.1,2573.7,2557.6,2575.0,2614.5,2666.2,2744.6,2835.6,
37,Central African Republic,935.8,908.0,828.2,809.5,827.6,865.3,810.9,834.2,854.1,866.4,828.3,849.6,865.5,805.5,840.0,833.5,848.8,872.1,873.7,872.2,881.8,893.7,912.6,572.3,566.8,
39,Chad,1110.2,1167.1,1221.0,996.8,1062.8,1040.8,1028.5,1050.1,1084.6,1039.4,993.1,1067.9,1115.0,1231.1,1584.6,1793.2,1743.3,1740.9,1736.0,1750.9,1923.7,1862.4,1961.3,2005.2,2081.7,
46,Congo,5256.7,5242.8,5241.1,5056.3,4654.7,4713.4,4784.4,4625.9,4669.8,4430.8,4648.0,4711.6,4817.1,4747.4,4795.8,5034.2,5197.6,4962.4,5078.9,5295.2,5595.3,5632.4,5698.1,5749.1,5988.2,
250,Democratic Republic of the Congo,1267.7,1117.9,961.5,799.6,740.3,721.1,693.4,637.8,612.4,572.0,518.5,493.2,492.6,504.0,521.0,535.4,546.0,561.7,577.6,575.2,596.3,617.1,640.6,673.4,711.5,
61,Equatorial Guinea,1056.0,1010.4,1315.3,1410.4,1589.3,1804.2,2904.9,7019.4,8399.5,10205.3,11665.3,18430.0,21293.4,23474.7,31356.6,35458.1,37016.0,40298.2,42972.8,39809.7,37154.5,36754.8,37726.0,34235.7,33141.9,
74,Gabon,19184.9,19816.9,18700.9,18934.6,19131.8,19569.0,19761.3,20366.2,20548.6,18257.1,17489.6,17453.6,17021.8,17022.7,16765.7,17037.2,16055.1,16717.0,15849.3,15309.8,16334.5,17100.7,17595.0,18171.9,18536.8,
193,Sao Tome and Principe,,,,,,,,,,,2080.0,2102.8,2106.4,2194.7,2227.4,2332.3,2489.0,2514.1,2661.2,2708.5,2768.8,2839.9,2906.4,2963.2,3030.2,
5104,Southern Africa,9705.5,9449.9,9097.1,9014.3,9103.0,9197.0,9381.8,9428.0,9265.4,9289.5,9437.7,9489.7,9713.6,9887.7,10217.3,10603.0,11057.4,11503.2,11715.2,11353.6,11557.4,11762.2,11859.0,11974.5,11993.7,
20,Botswana,8099.3,8456.5,8462.7,8395.4,8480.8,8863.1,9173.0,9704.5,9586.6,10327.1,10361.3,10234.3,10708.8,11057.1,11199.7,11532.6,12288.4,13066.3,13617.8,12329.2,13119.6,13634.3,14004.1,15002.3,15359.1,
122,Lesotho,1300.5,1326.1,1394.5,1412.8,1461.0,1465.8,1520.2,1562.6,1572.4,1563.3,1629.0,1684.0,1680.4,1746.9,1774.6,1809.5,1873.3,1946.7,2041.0,2090.2,2232.6,2297.4,2383.5,2459.1,2517.0,
147,Namibia,5716.2,5969.2,6197.4,5920.4,5849.0,5899.3,5905.0,5969.5,5989.5,6033.3,6110.3,6076.5,6280.5,6471.4,7184.9,7278.3,7691.1,8084.9,8171.5,8056.1,8381.9,8625.7,8858.9,9142.9,9497.8,
202,South Africa,10363.8,10049.0,9631.2,9546.3,9643.4,9729.7,9924.8,9952.5,9769.8,9765.7,9926.9,9988.4,10213.2,10382.0,10715.3,11132.8,11597.1,12051.8,12263.1,11902.9,12086.9,12290.9,12374.5,12454.2,12446.4,
209,Swaziland,6315.7,6249.2,6303.8,6371.3,6399.9,6575.0,6681.5,6736.5,6764.6,6834.9,6853.4,6861.5,6935.5,7053.4,7213.1,7324.8,7474.9,7623.3,7676.4,7641.4,7642.1,7620.2,7728.3,7835.7,7910.8,
5105,Western Africa,2391.0,2340.6,2280.8,2264.0,2232.1,2204.7,2260.9,2276.3,2294.1,2273.7,2302.1,2333.7,2349.4,2470.6,2977.7,3008.0,3140.8,3241.8,3346.5,3448.5,3596.1,3671.0,3754.1,3860.6,3999.6,
53,Benin,1456.0,1464.5,1452.9,1481.5,1458.0,1494.8,1511.3,1551.5,1567.3,1603.5,1646.5,1679.7,1700.9,1701.9,1719.6,1693.5,1705.9,1753.2,1784.5,1773.0,1759.4,1761.6,1793.8,1866.6,1936.8,
233,Burkina Faso,821.2,872.1,850.9,856.8,844.7,868.8,938.2,970.0,1012.1,1056.8,1046.0,1083.8,1099.0,1151.0,1167.8,1231.7,1269.7,1301.1,1353.8,1351.9,1422.3,1470.4,1519.7,1529.6,1545.1,
35,Cabo Verde,1660.0,1644.4,1777.7,1880.3,2179.8,2423.1,2628.1,2847.0,3126.4,3398.8,3803.3,3813.2,3942.6,4042.6,4394.9,4646.8,4975.4,5694.3,6041.1,5929.4,5970.9,6148.0,6143.6,6129.7,6219.8,
