,(table of contents),V_2.4 - Gross domestic product per capita (in purchasing power equivalent),,,,,,,,,,,,,,,,,,,,,,,,,
,(home),(constant 2011 international $),,,,,,,,,,,,,,,,,,,,,,,,,
FAOST_CODE,Regions/Subregions/Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
176,Timor-Leste,,,,,,,,,,1211.0,1412.8,1608.6,1453.0,1366.5,1326.1,1385.0,1283.7,1406.5,1579.0,1753.5,1885.4,1965.5,2038.4,2039.4,2124.6,
237,Viet Nam,1501.1,1561.6,1666.7,1770.4,1894.7,2041.8,2197.0,2339.3,2436.5,2514.8,2649.7,2778.4,2919.9,3085.3,3278.4,3484.9,3687.0,3907.3,4084.8,4260.0,4486.3,4717.0,4912.3,5124.6,5370.1,
5856,Western Asia,15709.7,14804.4,15320.0,15682.7,15056.7,16099.8,16543.1,17176.6,17623.1,17377.4,18316.3,17774.0,17707.0,17763.1,19479.4,20368.6,21385.0,21952.8,22502.4,21801.3,22510.2,23660.4,24357.6,24724.9,27819.7,
13,Bahrain,35398.4,38314.5,39853.8,43896.0,42713.1,43243.7,43769.1,43765.8,44361.8,44619.7,45156.1,44413.6,44085.6,44517.7,44890.9,44666.6,43825.7,43495.1,42516.7,40646.0,40237.6,39676.7,40251.1,41931.5,43408.2,
103,Iraq,11515.5,4030.7,5195.2,6571.9,6621.6,6557.7,7057.8,8292.7,10840.1,12363.0,12172.0,12101.5,10957.0,7133.8,10709.0,10891.7,11695.4,11561.8,12195.7,12268.2,12674.2,13226.9,14624.0,15123.6,14364.8,
112,Jordan,7057.5,6426.0,7241.8,7241.7,7312.5,7516.4,7442.5,7481.4,7503.0,7566.4,7694.8,7902.8,8159.7,8292.1,8787.7,9292.6,9817.8,10386.0,10896.6,11242.7,11256.1,11292.2,11340.2,11404.7,11496.3,
118,Kuwait,,,,,,79711.6,80151.1,79778.5,78954.6,73905.7,74314.8,72578.9,72845.7,83269.8,89236.3,94007.1,95751.3,95528.0,91864.5,80151.0,73695.1,76308.6,77072.7,74181.3,69878.0,
121,Lebanon,7734.4,10496.9,10699.5,11136.5,11729.4,12253.9,12725.7,12347.4,12703.6,12475.0,12335.0,12347.6,12173.7,11961.3,12317.4,12258.1,12239.2,13297.1,14422.3,15632.7,16277.7,16409.3,16573.5,16526.5,16659.3,
221,Oman,35036.5,35589.8,36877.8,37472.0,37591.3,38527.4,39201.9,41421.0,42566.6,42502.8,44520.0,45837.2,44344.3,42041.1,41486.4,41524.1,42958.2,44172.5,46739.8,47625.3,46832.3,42479.2,41186.3,38835.4,36854.5,
179,Qatar,,,,,,,,,,,109415.1,109926.2,113982.8,112246.5,122133.2,114840.4,122682.9,121358.4,121204.5,118453.3,127670.6,134117.4,132972.3,133395.4,134182.4,
194,Saudi Arabia,35342.6,37352.2,37940.1,36906.3,36175.5,35324.9,35617.9,35659.0,35780.1,34619.2,35342.2,34541.6,33578.5,35082.8,37217.8,38805.7,39882.3,41196.8,43567.3,43285.2,44246.8,47474.0,48830.0,48963.5,49537.0,
212,Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Turkey,10670.2,10568.0,10920.8,11570.6,10857.9,11530.4,12187.8,12906.7,13000.0,12370.8,13011.5,12090.0,12649.4,13127.0,14160.3,15149.4,15994.7,16546.2,16458.9,15463.1,16634.2,17873.7,18032.3,18560.1,18869.0,
225,United Arab Emirates,114518.8,109362.0,107096.3,102899.5,104569.3,106250.4,107057.3,110135.6,104859.1,102274.9,107206.5,103039.9,100068.0,101916.0,101831.7,94720.4,90171.1,80056.3,71955.6,61057.3,57406.7,57594.1,60066.5,62056.2,64562.6,
299,West Bank and Gaza Strip,,,,,2722.4,2788.5,2860.1,3391.6,4163.4,4787.6,4205.7,3836.4,3684.5,3922.2,4162.9,4506.1,4192.9,4014.6,3563.8,4187.3,4162.7,4358.7,4834.4,4497.3,4301.7,
249,Yemen,3392.1,3430.6,3523.3,3479.6,3539.7,3585.3,3616.7,3686.0,3796.0,3831.3,3955.9,3991.7,4033.0,4067.1,4110.4,4219.0,4231.1,4250.0,4297.5,4352.1,4374.9,3616.2,3609.1,3663.3,,
5205,Latin America and the Caribbean,9930.5,10025.9,10058.3,10230.7,10513.6,10521.8,10703.0,11048.2,10945.2,10841.5,11137.6,11112.2,11102.8,11102.8,11579.3,11907.4,12372.8,12865.8,13188.1,12839.0,13363.0,13776.1,14051.7,14288.5,14088.0,
5206,Caribbean,12284.2,11641.7,11248.4,10816.2,10961.3,11244.4,11714.1,12043.6,9992.1,10338.2,10648.2,11038.7,11223.7,11414.1,11668.9,12272.3,13037.1,13443.1,13607.8,13449.5,13572.6,13790.7,13779.5,14007.1,8943.9,
258,Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Antigua and Barbuda,17153.7,17361.1,17226.3,17753.5,18399.8,17167.2,17829.6,18186.3,18482.8,18780.1,19318.7,18388.1,18675.6,19566.3,20395.5,21414.2,24016.3,26007.8,25735.7,22389.0,20567.4,19987.9,20577.3,20297.3,21061.9,
22,Aruba,,,,,,,,,,,,,,,,,,,,,,36015.1,,,,
12,Bahamas,24280.6,22839.5,21551.7,21216.9,21509.2,22110.6,22748.8,22960.9,23788.1,25182.1,25846.7,26066.2,26248.9,25376.3,25062.0,25385.3,25516.0,25396.7,24356.1,22931.8,22894.3,22665.2,22814.5,22490.2,22411.1,
14,Barbados,13296.5,12726.9,11967.7,12015.5,12210.3,12417.3,12871.2,13423.0,13868.5,13862.0,14437.5,14045.8,14119.9,14380.8,14537.4,15073.1,15869.3,16074.1,16077.3,15365.3,15346.8,15401.5,15389.7,15339.4,15319.5,
239,British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,49902.1,,,,
49,Cuba,13694.4,12135.5,10659.0,9021.2,9039.1,9216.5,9894.2,10128.1,10105.8,10694.1,11289.8,11612.8,11743.9,12156.2,12828.2,14239.3,15937.4,17081.4,17774.9,18020.9,18433.9,18924.8,19462.5,19950.3,,
55,Dominica,6722.4,6770.8,6896.9,6990.5,7073.9,7214.1,7427.7,7580.0,8009.5,8109.6,8166.1,8206.9,8046.2,8633.6,8880.3,8845.2,9085.3,9648.5,10315.9,10179.1,10223.0,10189.4,10021.7,10036.4,10377.2,
56,Dominican Republic,5323.3,5269.4,5711.9,6009.5,6035.6,6254.7,6586.7,6996.8,7367.4,7738.4,8048.6,8067.5,8403.9,8255.9,8240.0,8872.1,9678.7,10352.0,10531.0,10486.7,11207.9,11375.6,11527.7,11930.0,12652.5,
86,Grenada,7488.8,7647.4,7566.2,7284.0,7401.7,7522.7,7785.7,8118.1,8634.0,9490.7,9651.4,9434.8,9735.1,10628.2,10530.0,11893.6,11381.7,12043.5,12117.2,11276.3,11178.0,11221.4,11049.0,11263.4,11853.7,
87,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Haiti,,,,,,,,,1738.3,1754.1,1739.5,1693.0,1661.4,1641.1,1558.7,1561.9,1572.3,1599.8,1588.7,1613.1,1502.0,1562.3,1584.9,1629.7,1652.2,
109,Jamaica,7386.7,7692.4,7787.8,8458.4,8509.3,8639.0,8526.3,8348.8,8081.4,8110.5,8134.1,8192.3,8325.0,8599.2,8681.7,8728.0,8949.1,9045.0,8947.9,8521.8,8365.5,8481.2,8405.3,8429.7,8467.4,
135,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Puerto Rico,25275.2,25311.3,26169.3,26949.4,27763.7,28629.5,29129.2,29770.4,31596.5,32088.3,32483.7,35606.8,36191.5,36600.4,37237.3,37503.0,37327.2,36297.7,35854.5,35199.4,34453.7,34121.1,33580.3,33817.6,,
188,Saint Kitts and Nevis,14340.9,13972.5,14446.5,15282.7,15894.5,16603.1,17376.6,18365.8,18035.3,18419.5,19086.5,19745.4,19800.3,18993.8,19563.6,21063.9,21999.6,22332.7,22968.9,21421.4,20478.7,20572.0,20072.9,20986.5,22171.0,
189,Saint Lucia,8012.3,8110.7,8571.7,8690.7,8712.9,8890.5,9251.2,9163.6,9613.8,9713.2,10021.4,9593.8,9504.3,9863.5,10563.2,10356.8,11058.0,10963.9,11101.6,10895.7,10575.7,10538.2,10334.0,10268.0,10239.6,
191,Saint Vincent and the Grenadines,5576.9,5624.4,5972.5,6220.9,6141.5,6618.9,6706.8,6946.9,7236.2,7435.4,7555.9,7678.6,8151.9,8762.3,9108.9,9319.6,10018.9,9844.2,10495.7,10266.9,9915.9,9871.6,10008.6,10176.4,10234.1,
220,Trinidad and Tobago,12127.9,12372.2,12093.8,11851.8,12216.4,12652.3,13506.9,14518.5,15673.7,16901.5,18133.6,18824.0,20231.2,23040.7,24747.5,26154.7,29467.8,30724.6,31618.6,30087.6,29913.1,29765.0,30019.1,30390.3,30497.4,
224,Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
240,United States Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Latin America,9768.8,9915.7,9977.9,10191.4,10483.8,10474.1,10636.7,10983.5,11024.7,10883.2,11178.0,11118.3,11093.0,11077.5,11572.0,11878.2,12319.7,12820.0,13154.9,12791.0,13346.6,13775.0,14072.8,14310.2,14340.7,
5204,Central America,10595.8,10814.1,11010.7,11242.8,11528.8,10792.8,11169.6,11700.2,12042.7,12178.7,12589.6,12366.0,12253.2,12294.0,12643.7,12864.4,13313.0,13585.9,13592.3,12821.0,13244.9,13578.7,13934.3,13984.9,14135.8,
23,Belize,5165.9,5601.4,6172.4,6450.4,6330.5,6208.6,6099.5,6089.6,6079.3,6371.4,6960.8,7089.8,7247.7,7719.8,7875.2,7873.0,8022.2,7902.9,7951.2,7810.0,7876.8,7857.2,7975.7,7921.3,8029.8,
48,Costa Rica,7291.2,7291.1,7758.6,8125.4,8299.3,8415.3,8287.4,8545.4,9054.9,9592.2,9574.1,9504.4,9620.4,10080.8,10356.9,10809.6,11592.3,12338.5,12503.7,12214.7,12659.0,13072.1,13589.1,13900.1,14232.2,
60,El Salvador,4532.3,4633.1,4917.4,5212.4,5461.6,5747.8,5789.2,5983.2,6160.1,6328.9,6424.9,6497.9,6616.5,6738.2,6834.9,7052.1,7303.0,7559.5,7633.1,7372.9,7452.6,7596.5,7717.7,7837.8,7967.1,
89,Guatemala,5159.4,5219.1,5338.4,5412.5,5493.6,5625.8,5653.0,5758.9,5902.6,5983.5,6051.0,6043.2,6125.8,6130.4,6174.1,6227.6,6413.5,6665.8,6733.7,6622.9,6667.6,6798.8,6855.2,6962.8,7111.6,
95,Honduras,3205.3,3219.1,3309.3,3423.9,3294.1,3344.8,3384.3,3473.6,3496.9,3358.5,3478.4,3501.2,3561.3,3651.7,3806.3,3962.2,4146.0,4324.4,4429.3,4249.2,4336.8,4433.7,4548.3,4608.0,4683.0,
138,Mexico,12538.1,12807.5,13009.7,13273.4,13634.3,12609.2,13106.4,13769.3,14169.8,14313.0,14845.0,14552.6,14387.0,14412.8,14841.8,15084.3,15597.8,15850.8,15813.3,14825.5,15359.4,15729.6,16136.3,16140.7,16284.2,
157,Nicaragua,3019.9,2948.5,2895.3,2821.9,2855.4,2964.2,3092.9,3157.9,3219.3,3390.0,3474.9,3525.9,3503.8,3544.7,3684.6,3792.7,3898.8,4051.5,4113.1,3948.7,4024.2,4223.4,4387.8,4532.8,4692.1,
166,Panama,7510.3,8048.6,8531.5,8814.9,8882.9,8855.7,8919.8,9303.4,9785.2,9967.2,10039.9,9907.4,9941.9,10173.1,10743.5,11312.4,12061.6,13287.5,14253.0,14566.6,15158.8,16511.1,17902.6,19082.2,19934.0,
5207,South America,9406.9,9521.5,9523.0,9726.5,10020.0,10332.2,10398.9,10663.0,10568.8,10302.3,10544.7,10558.4,10572.6,10532.0,11091.4,11435.5,11873.3,12474.9,12957.3,12777.4,13392.8,13864.4,14136.1,14459.4,14435.2,
9,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Bolivia (Plurinational State of),3707.2,3826.4,3813.5,3898.6,4000.8,4106.2,4201.6,4323.8,4453.3,4386.8,4412.3,4403.7,4431.3,4470.3,4575.2,4694.9,4836.4,4972.5,5191.1,5278.0,5407.5,5598.6,5793.1,6090.9,6325.0,
21,Brazil,10279.9,10263.1,10053.3,10360.0,10746.0,11048.6,11116.6,11315.9,11181.4,11065.1,11377.1,11352.6,11531.5,11508.5,11997.3,12220.0,12560.8,13171.1,13691.2,13524.7,14408.7,14830.9,14951.8,15222.3,15109.8,
40,Chile,9244.2,9821.8,10854.7,11434.6,11906.4,12980.6,13747.3,14456.5,14727.2,14428.0,14887.9,15198.0,15341.4,15761.1,16520.2,17239.9,17796.8,18507.2,18906.1,18505.6,19357.5,20266.0,21142.0,21800.5,21979.8,
44,Colombia,7533.5,7562.7,7799.9,7844.0,8160.1,8442.9,8479.0,8634.5,8553.4,8073.4,8308.2,8327.1,8415.8,8625.2,8963.6,9263.7,9760.1,10306.9,10547.2,10599.9,10900.5,11496.5,11840.4,12303.8,12743.0,
58,Ecuador,7472.0,7611.7,7595.0,7571.2,7720.7,7726.2,7696.6,7867.1,7964.5,7443.3,7387.6,7550.3,7727.7,7808.2,8311.7,8607.8,8837.4,8879.6,9285.8,9183.5,9352.3,9927.0,10322.3,10625.7,10848.8,
69,French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Guyana,2928.1,3115.3,3358.7,3623.1,3913.8,4089.4,4390.6,4640.8,4540.1,4656.8,4580.1,4677.2,4726.7,4682.8,4839.5,4742.6,4977.8,5313.4,5400.7,5560.2,5783.1,6077.2,6348.7,6657.1,,
169,Paraguay,6036.5,6088.9,6039.5,6185.3,6361.1,6638.6,6591.0,6719.4,6580.0,6355.7,6084.8,5918.1,5807.2,5950.9,6088.3,6119.8,6318.7,6568.3,6892.4,6531.9,7289.5,7504.7,7312.5,8227.3,8501.6,
170,Peru,5266.5,5273.1,5139.9,5305.1,5848.3,6172.1,6240.4,6541.2,6419.3,6423.1,6506.2,6460.0,6725.2,6917.9,7171.6,7529.2,7997.7,8573.9,9243.7,9224.9,9877.7,10378.6,10850.7,11324.1,11437.7,
207,Suriname,10583.6,10674.3,10464.1,9539.9,9683.9,9624.3,9578.8,9954.6,9947.8,9725.8,9615.8,9981.8,10366.8,10959.0,11932.5,12409.8,12783.8,13303.1,13698.4,13949.7,14510.1,15119.7,15433.8,15725.6,15872.6,
234,Uruguay,9840.7,10117.2,10840.7,11047.2,11764.8,11511.1,12066.2,13005.6,13506.1,13175.4,12874.8,12358.0,11400.2,11499.4,12080.5,12975.8,13485.6,14330.3,15307.8,15900.8,17082.4,17904.8,18439.1,19315.8,19924.1,
236,Venezuela (Bolivarian Republic of),14450.7,15489.9,16059.7,15752.1,15054.3,15323.5,14982.2,15620.3,15361.9,14169.6,14417.1,14632.3,13095.5,11865.8,13791.9,14956.5,16160.1,17289.2,17913.0,17071.1,16563.4,17001.9,17701.8,17689.6,16750.9,
5500,Oceania,2338.5,2420.5,2591.9,2803.8,2890.3,2818.5,2918.5,2773.1,2677.3,2712.0,2603.9,2564.9,2537.8,2534.1,2570.2,2619.3,2621.6,2672.2,2728.9,2741.2,2836.8,2955.7,3061.0,3142.8,3304.7,
5,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Fiji,6241.1,6016.0,6305.3,6350.1,6581.2,6660.2,6900.0,6676.9,6700.7,7234.5,7070.1,7185.0,7401.5,7466.9,7846.0,7867.7,7959.5,7822.4,7823.7,7636.9,7788.5,7486.8,7549.7,7896.6,8388.1,
70,French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Guam,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Kiribati,1425.7,1340.3,1363.1,1392.8,1442.8,1409.5,1473.3,1530.5,1670.1,1644.1,1769.8,1752.1,1732.3,1770.7,1793.5,1755.8,1642.3,1728.1,1737.4,1689.3,1646.7,1659.3,1674.6,1693.8,1725.9,
127,Marshall Islands,3020.6,2949.6,3102.6,3244.9,3400.0,3647.3,3247.5,3020.6,2921.9,2843.5,3006.1,3165.9,3250.1,3258.5,3259.3,3350.0,3413.0,3536.7,3464.2,3375.9,3507.5,3505.3,3595.6,3671.2,3627.8,
145,Micronesia (Federated States of),2763.1,2894.1,2932.6,3094.3,3016.2,3184.8,3063.4,2873.2,2965.5,3018.5,3167.3,3230.5,3255.5,3320.2,3220.1,3301.4,3312.2,3262.5,3197.4,3244.1,3337.1,3410.3,3428.2,3299.7,3177.4,
148,Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,
153,New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Niue,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Palau,,15886.3,14473.8,12343.3,12881.8,13913.3,14978.4,14961.0,14929.9,13858.8,12893.9,13411.6,14241.6,13488.8,14362.5,14644.2,14298.3,14230.9,13492.2,11973.5,12112.8,13033.7,13530.6,13152.1,14078.2,
168,Papua New Guinea,1606.7,1717.1,1906.9,2198.0,2270.1,2139.2,2245.4,2101.8,1970.0,1954.8,1857.3,1808.4,1760.6,1754.6,1758.5,1825.0,1822.1,1906.2,1984.7,2058.3,2166.5,2345.1,2480.3,2562.5,2723.5,
244,Samoa,3648.5,3538.3,3499.3,3607.1,3482.5,3685.0,3923.7,3928.0,3995.9,4065.0,4324.9,4599.9,4771.9,4956.9,5153.8,5334.1,5404.8,5709.8,5729.6,5416.9,5404.0,5671.1,5651.8,5499.3,5522.9,
25,Solomon Islands,1792.6,1847.4,2023.7,2045.2,2170.8,2284.1,2256.6,2163.1,2141.8,2073.9,1730.5,1550.3,1467.6,1522.8,1557.4,1601.7,1672.3,1753.3,1835.4,1710.0,1788.3,1976.4,2025.1,2043.3,2032.5,
218,Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Tonga,3572.4,3795.5,3800.4,3937.9,4126.6,4270.4,4258.2,4237.1,4333.8,4480.7,4608.1,4748.0,4881.9,4957.1,4964.1,5010.8,4925.2,4669.6,4754.2,4778.6,4952.2,5030.7,5040.0,4887.9,4971.5,
227,Tuvalu,2369.3,2440.7,2495.8,2585.6,2839.1,2685.6,2515.4,2756.9,3172.0,3109.1,3064.2,3097.2,3320.7,3190.0,3128.6,2995.4,3047.5,3230.4,3479.8,3318.7,3221.9,3488.2,3488.7,3528.2,3592.2,
155,Vanuatu,2549.3,2557.0,2547.9,2493.6,2646.6,2609.4,2614.8,2693.0,2760.4,2719.7,2823.0,2663.6,2466.6,2507.8,2541.6,2609.5,2761.0,2833.6,2944.3,2970.1,2948.0,2915.2,2899.0,2889.9,2891.2,
243,Wallis and Futuna Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
5851,Developed countries,27138.5,26878.1,26672.4,26570.0,26798.0,27103.0,27648.0,28427.4,29038.8,29931.7,31068.9,31511.4,31948.3,32600.1,33605.7,34438.2,35239.1,36159.2,36228.4,34637.4,35449.4,35963.3,36333.9,36672.2,37094.0,
3,Albania,4303.4,3048.4,2846.1,3138.4,3419.8,3898.7,4280.0,3840.1,4212.4,4811.5,5165.1,5627.8,5883.6,6246.6,6630.9,7046.2,7475.9,7977.0,8643.8,8993.7,9373.8,9640.1,9791.5,9910.8,10136.0,
6,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Australia,28572.1,28103.0,27874.9,28724.2,29569.5,30347.6,31134.4,32003.3,33077.1,34338.8,35244.5,35443.4,36363.7,37020.7,38112.4,38818.8,39391.3,40617.0,41286.8,41180.5,41363.2,41763.1,42541.0,42829.7,43218.5,
11,Austria,31112.9,31864.0,32175.0,32078.9,32723.3,33544.9,34303.1,35019.8,36226.7,37454.3,38622.9,38995.0,39446.1,39551.3,40370.2,40954.4,42117.8,43501.9,44036.9,42253.1,42964.6,44022.4,44154.0,44037.9,43908.1,
57,Belarus,8083.6,7982.7,7200.8,6638.6,5868.8,5275.4,5441.3,6087.4,6630.2,6878.8,7299.6,7703.8,8144.2,8778.3,9850.8,10851.5,12009.9,13102.8,14487.8,14548.8,15703.1,16603.4,16906.9,17084.8,17348.8,
255,Belgium,30411.0,30853.6,31199.0,30778.4,31673.9,32361.4,32812.8,33948.1,34544.8,35693.8,36901.2,37073.0,37564.3,37697.1,38898.6,39495.3,40216.4,41278.5,41259.6,39993.8,40606.0,40858.7,40624.5,40433.0,40823.4,
17,Bermuda,40553.3,39322.1,39584.3,40557.2,40518.4,41999.3,42817.0,44514.1,45911.7,47199.8,51140.2,54245.1,53096.9,54549.8,55452.6,56017.2,58784.6,60117.5,60676.0,57151.9,56395.0,54984.5,52137.3,50669.3,,
80,Bosnia and Herzegovina,,,,,1442.4,1793.2,3449.4,4674.0,5408.0,5913.9,6225.2,6487.4,6815.8,7071.8,7486.3,7845.3,8346.0,8840.6,9336.7,9087.6,9170.1,9265.0,9162.5,9401.7,9490.1,
27,Bulgaria,9284.1,8584.6,8046.3,7990.6,8163.6,8434.6,8613.8,8571.1,8930.5,8476.9,8945.7,9500.0,10266.1,10849.3,11623.5,12531.0,13448.3,14775.4,15719.8,15153.7,15262.2,15603.0,15731.3,16022.1,16363.2,
33,Canada,31163.1,30090.2,29977.0,30423.9,31505.1,32100.9,32290.4,33309.8,34389.3,35810.3,37314.0,37562.8,38270.4,38620.6,39435.6,40283.9,41012.0,41431.8,41467.6,39884.0,40773.1,41567.4,41865.0,42213.1,42777.9,
98,Croatia,,,,,,12543.4,13797.3,14463.1,14964.8,14652.3,15644.0,16130.3,16976.6,17920.1,18655.9,19419.6,20358.0,21425.8,21873.1,20282.9,19988.8,20571.2,20182.9,20023.8,20033.1,
50,Cyprus,23802.4,23365.7,24891.0,24467.2,25380.4,26444.8,26449.5,26703.8,27721.4,28697.6,30004.8,30744.6,31373.2,31858.4,32811.7,33592.0,34528.4,35455.0,35827.7,34166.4,33747.3,32983.1,31709.8,30081.0,29673.2,
167,Czech Republic,19838.7,17576.6,17469.7,17462.3,17963.9,19093.2,19934.1,19821.0,19777.1,20082.0,21003.2,21725.6,22126.1,22929.6,24056.7,25571.1,27255.6,28595.2,29127.9,27560.1,28110.6,28604.2,28307.1,28148.2,28715.1,
54,Denmark,33255.9,33601.0,34151.7,34007.6,35765.7,36670.4,37520.9,38583.8,39296.7,40321.5,41692.7,41885.6,41946.6,41995.9,42992.9,43919.5,45437.4,45609.3,45016.6,42498.1,42997.4,43314.1,42868.6,42482.7,42757.5,
63,Estonia,,,,,,11069.0,11831.5,13379.3,14064.6,14000.0,15298.2,16370.3,17475.4,18889.6,20199.1,22219.3,24646.5,26677.6,25299.5,21616.0,22198.9,23954.9,25286.7,25774.7,26611.7,
64,Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Finland,28598.5,26760.5,25725.9,25413.7,26301.2,27303.3,28209.6,29884.2,31422.9,32743.3,34516.6,35326.9,35833.5,36461.0,37782.6,38700.3,40115.4,42016.2,42122.4,38454.9,39424.9,40251.4,39489.0,38866.7,38535.0,
68,France,29423.9,29706.1,30031.6,29718.5,30302.5,30822.8,31140.2,31755.5,32763.8,33706.3,34773.4,35196.0,35331.7,35369.7,36088.6,36393.4,36998.9,37639.0,37502.3,36212.5,36742.3,37325.3,37224.2,37306.3,37214.4,
79,Germany,31469.8,32837.3,33215.5,32682.3,33369.5,33849.7,34027.9,34606.5,35286.2,35964.2,36979.3,37543.1,37480.0,37193.4,37636.7,37924.2,39371.8,40710.0,41228.9,39011.0,40664.9,42142.5,43035.1,43045.6,43602.4,
82,Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Greece,21153.4,21597.8,21510.8,20973.2,21215.2,21495.0,21955.8,22797.0,23557.3,24174.7,25110.8,25994.2,26935.4,28406.6,29743.3,29821.2,31407.7,32334.0,32158.1,30773.3,29174.9,26582.6,24709.6,24060.8,24372.4,
85,Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Hungary,,14967.8,14514.8,14447.6,14893.8,15136.7,15169.3,15720.5,16420.4,17001.2,17766.0,18492.3,19376.0,20178.5,21221.8,22190.0,23070.5,23204.7,23440.4,21936.9,22150.0,22603.2,22336.5,22821.4,23734.8,
99,Iceland,28712.5,28318.1,27021.0,27099.0,27834.6,27716.3,28886.1,30058.1,31676.9,32599.1,33674.7,34480.3,34328.9,35026.7,37574.7,39189.0,39890.0,42585.5,42419.0,40295.6,38905.5,39557.9,39813.5,40975.2,41236.5,
104,Ireland,21291.5,21578.0,22147.8,22630.7,23839.1,26002.3,28188.5,31026.7,33441.5,36625.3,39837.0,41494.9,43223.8,44159.3,45269.3,47099.3,48739.2,49974.9,47907.5,44749.5,44683.7,45673.5,45641.8,46181.7,48430.9,
105,Israel,17321.1,17565.4,17923.8,18423.5,19197.0,22771.7,23549.6,23906.1,24359.1,24634.1,26137.0,25589.8,25062.5,24903.7,25718.7,26378.6,27420.0,28589.9,28945.7,28620.6,29652.9,30574.3,30879.4,31293.9,31484.6,
106,Italy,30746.2,31197.6,31436.5,31149.4,31812.9,32730.8,33142.7,33733.3,34268.9,34798.1,36072.8,36691.7,36728.9,36621.9,36961.7,37129.8,37761.1,38124.8,37475.4,35260.2,35753.2,35901.3,34795.7,33793.6,33038.9,
110,Japan,29549.5,30437.2,30610.4,30587.2,30746.4,31224.2,31958.1,32390.8,31655.8,31535.1,32193.1,32229.8,32248.0,32721.4,33482.6,33915.6,34467.9,35183.0,34799.7,32880.4,34403.8,34315.8,34987.6,35614.3,35635.0,
119,Latvia,,,,,,8145.6,8431.7,9282.1,9982.2,10327.6,10990.8,11852.6,12843.9,14061.1,15401.2,17234.6,19463.6,21577.7,21021.2,18304.6,17983.0,19451.0,20482.5,21328.7,22076.4,
125,Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Lithuania,,,,,,9229.2,9778.6,10668.0,11547.9,11498.2,12023.0,12913.4,13897.6,15487.5,16688.3,18273.0,19942.2,22417.9,23244.9,20022.5,20782.0,22541.7,23722.3,24813.1,25813.1,
256,Luxembourg,56437.3,60499.9,60787.9,62496.8,64007.1,64018.2,64109.6,67070.2,70541.0,75454.8,80732.2,81494.3,83564.9,83709.4,86168.4,87589.5,90609.0,96711.1,94196.8,87496.5,90790.8,91073.3,88159.1,89889.4,91408.4,
134,Malta,16596.3,17459.3,18099.6,18732.0,19616.4,20720.3,21372.9,22343.6,23347.0,24330.2,25840.9,24685.3,25190.9,25058.8,24765.8,25510.5,25983.0,27000.5,27871.6,26887.7,27906.5,28177.5,28271.0,28821.6,,
140,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Montenegro,,,,,,,,10073.2,10581.7,9596.1,9896.4,9965.1,10113.8,10325.3,10760.6,11195.2,12139.1,13414.3,14317.5,13478.6,13785.4,14215.5,13816.7,14293.1,14534.2,
150,Netherlands,32314.3,32842.6,33151.3,33335.1,34115.9,35005.6,36087.2,37445.7,38899.7,40593.7,42013.0,42582.8,42355.7,42276.0,42984.9,43811.1,45279.8,46852.5,47463.4,45440.9,45842.5,46388.3,45728.4,45367.9,45691.4,
156,New Zealand,24021.4,22636.3,22651.2,23830.1,24716.1,25475.6,25983.8,26151.8,26077.0,27371.1,27962.7,28751.8,29636.9,30403.6,31098.3,31798.1,32280.9,32927.7,32122.1,31722.6,31824.1,32283.0,32805.7,33360.3,,
