country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88395044692,94520597790,1.02E+11,1.09E+11,1.16E+11,1.24E+11,1.32E+11,1.41E+11,1.50E+11,1.59E+11,1.71E+11,1.84E+11,1.94E+11,2.07E+11,2.24E+11,2.46E+11,2.71E+11,2.98E+11,3.22E+11,3.41E+11,3.64E+11,3.96E+11,4.29E+11,4.62E+11,4.99E+11,5.38E+11,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45228533255,42787121040,40579898159,40930438874,42561448840,44691870840,47039286253,47251686007,49600149953,47223085883,52048554046,55697079591,60865248219,65151458359,70820549109,78696095092,86482983437,97319054459,1.08E+11,1.05E+11,1.11E+11,1.15E+11,1.18E+11,1.21E+11,1.26E+11,1.31E+11,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11255153710,12935807460,14115818393,16311601596,16617087069,17630336404,18690023624,19597880352,20759494302,21983499967,23675375852,24818115843,26109837859,28234689998,31036312327,34203374940,37534635196,41728931761,45204637114,46704750804,49324277705,51341141015,54236182520,58097434924,61710354187,64160057505,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4022809290,3982884404,3917834413,4023396228,4238409024,4516268720,4792943784,4975508855,5266721201,5729338405,6102844468,6405811848,6680062175,6727095953,6973097931,7441842066,7863530715,8189580648,8156174407,7874987620,8093827393,8311566260,8725944887,8867783428,8979207945,8924827793,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3746234285,4619837312,8888899060,12150205641,14198068429,15799217627,17047462281,17883753581,19310551062,20213831698,22093035682,24402765425,27908070415,30795338339,33876565225,33746612805,34678810241,36495497235,37103872110,39010595697,39980164560,41349562291,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53234467478,54346307087,50248983416,47534753226,42866432291,39209396763,41043090437,46504536491,50958005164,53496912776,57887671868,62004580534,66132748189,72202209560,82681854927,93364430161,1.06E+11,1.18E+11,1.33E+11,1.34E+11,1.46E+11,1.57E+11,1.63E+11,1.67E+11,1.73E+11,1.68E+11,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626505414.3,715312249.8,819673944.1,891847555.3,912265804.9,937289998.7,968036468,1019510436,1069128090,1180799174,1365133515,1466274427,1564987838,1745064267,1876433824,1986756027,2141635886,2222911752,2339691041,2376292697,2485218937,2589828755,2736189326,2816900905,2984420749,3048017325,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1554988500,1549957914,1584342982,1670838771,1716628217,1829523585,1911367369,2033508194,2135744470,2241778545,2506413532,2748681686,2749634057,2900115311,3049030896,3199827285,3480978666,3675320494,3804672577,3630994134,3598375440,3550019929,3440624524,3408396102,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16428616811,17869461061,18577732057,19831753869,21199098715,22653680698,24073276390,25698343840,27283724100,27819505511,29166079839,30333035731,31564207199,33066493565,35393637574,38147735826,41205907186,44233343218,47874385956,49856620044,52549057419,56423836722,60406670765,65555356380,70371756185,74577744269,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.96E+11,1.04E+12,1.06E+12,1.14E+12,1.23E+12,1.31E+12,1.36E+12,1.43E+12,1.45E+12,1.48E+12,1.58E+12,1.64E+12,1.71E+12,1.77E+12,1.92E+12,2.05E+12,2.19E+12,2.39E+12,2.56E+12,2.58E+12,2.80E+12,2.97E+12,3.09E+12,3.23E+12,3.29E+12,3.20E+12,
