country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.73E+12,1.00E+13,1.01E+13,1.02E+13,1.04E+13,1.08E+13,1.12E+13,1.17E+13,1.21E+13,1.26E+13,1.36E+13,1.44E+13,1.51E+13,1.57E+13,1.67E+13,1.76E+13,1.96E+13,2.10E+13,2.26E+13,2.20E+13,2.31E+13,2.46E+13,2.52E+13,2.60E+13,2.69E+13,2.75E+13,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49347419556,53178108422,55540310861,57983766615,61739377828,64446776916,66759716909,70841032129,73948995263,71522291125,73948445631,78670825175,83150964937,87118288145,96863794837,1.05E+11,1.13E+11,1.19E+11,1.29E+11,1.31E+11,1.37E+11,1.51E+11,1.62E+11,1.73E+11,1.83E+11,1.85E+11,
"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19E+11,2.29E+11,2.45E+11,2.58E+11,2.74E+11,2.92E+11,3.12E+11,3.35E+11,3.53E+11,3.80E+11,4.09E+11,4.33E+11,4.51E+11,4.74E+11,5.07E+11,5.47E+11,6.02E+11,6.62E+11,7.23E+11,7.63E+11,8.12E+11,8.44E+11,8.78E+11,9.11E+11,9.48E+11,9.99E+11,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28E+12,5.61E+12,5.81E+12,5.91E+12,6.19E+12,6.47E+12,6.70E+12,6.99E+12,7.33E+12,7.64E+12,8.14E+12,8.57E+12,8.93E+12,9.12E+12,9.54E+12,9.92E+12,1.08E+13,1.14E+13,1.20E+13,1.17E+13,1.21E+13,1.26E+13,1.27E+13,1.32E+13,1.35E+13,1.40E+13,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2366643661,2748954780,3403238017,3573524893,3975668545,4363516718,4489058413,4558369853,4515614054,5022891985,5253276514,5215746473,5436965860,5756383486,5875729017,6118169293,5627900639,5890463355,6093233053,6758835465,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.30E+11,5.61E+11,5.79E+11,5.87E+11,6.14E+11,6.44E+11,6.75E+11,7.15E+11,7.65E+11,8.04E+11,8.73E+11,9.38E+11,1.01E+12,1.06E+12,1.12E+12,1.21E+12,1.37E+12,1.47E+12,1.54E+12,1.50E+12,1.49E+12,1.50E+12,1.50E+12,1.53E+12,1.57E+12,1.62E+12,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9021760299,9662615511,10967588447,11584233831,11633847538,13151235252,14334260682,15987496015,17906978657,19661083544,22375667557,25951784151,29435510172,30303859244,27388714096,28791076575,32579417514,34419811040,36191316443,37554573948,38107539022,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20262639542,19442704017,18161308671,21037115182,22170170867,24019382188,27497046129,28844139464,28148876686,30054968063,32605713536,36117148604,37227065858,37148739297,43350919345,50034195898,57158998048,65402691970,73880033926,80993822423,92272352853,1.05E+11,1.16E+11,1.30E+11,1.46E+11,1.62E+11,
European Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15E+12,7.47E+12,7.72E+12,7.89E+12,8.29E+12,8.70E+12,9.07E+12,9.47E+12,9.89E+12,1.03E+13,1.10E+13,1.16E+13,1.21E+13,1.25E+13,1.31E+13,1.36E+13,1.48E+13,1.57E+13,1.65E+13,1.62E+13,1.68E+13,1.75E+13,1.78E+13,1.85E+13,1.91E+13,1.97E+13,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.76E+11,3.82E+11,4.17E+11,4.60E+11,4.88E+11,5.17E+11,5.61E+11,6.20E+11,7.10E+11,7.80E+11,8.17E+11,8.62E+11,8.68E+11,8.38E+11,9.94E+11,1.09E+12,1.21E+12,1.31E+12,1.41E+12,1.49E+12,1.60E+12,1.54E+12,1.68E+12,1.80E+12,1.89E+12,1.95E+12,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90495172961,87976901536,86990843878,88406379842,93844504387,99832255555,1.03E+11,1.12E+11,1.21E+11,1.28E+11,1.38E+11,1.44E+11,1.49E+11,1.51E+11,1.63E+11,1.68E+11,1.81E+11,1.99E+11,2.12E+11,2.02E+11,2.08E+11,2.19E+11,2.20E+11,2.25E+11,2.27E+11,2.31E+11,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2774422625,2789366829,3026981940,3165011458,3397217826,3554774603,3793413022,3773453997,3863993002,4268359440,4291273561,4476848731,4691032329,4832419846,5228458755,5434468484,5705195352,5807206756,5982274649,5944159855,6194534373,6493459066,6737627631,7262738190,7795411533,8317644844,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03E+12,1.08E+12,1.12E+12,1.14E+12,1.19E+12,1.24E+12,1.28E+12,1.34E+12,1.41E+12,1.48E+12,1.60E+12,1.70E+12,1.77E+12,1.76E+12,1.83E+12,1.93E+12,2.07E+12,2.19E+12,2.26E+12,2.25E+12,2.34E+12,2.45E+12,2.47E+12,2.61E+12,2.66E+12,2.73E+12,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172033075.6,190962002.8,203143337.9,224907310.8,228465876.1,249753044.3,246399355.9,235414748.8,245003323.1,252194779.3,269703568.4,280669475.5,286687683.9,297743296.7,296044993.5,312172676.4,321237696.9,322994368,320900582.5,326447976.6,338796966.3,352882555.8,361410321.2,354167613.8,348240698,365266872.4,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12001641597,13159136565,13043199768,13880536066,14702249931,15755410729,16624602024,17879440850,18702044100,17292097219,17352568744,18126978169,18359414692,19146335796,19808459115,21243355034,21100167054,22887539530,22564432278,22765426236,24677227804,26972900730,28912213435,31035665725,32954439636,34645636089,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.58E+11,9.79E+11,1.01E+12,1.05E+12,1.12E+12,1.17E+12,1.25E+12,1.32E+12,1.36E+12,1.41E+12,1.53E+12,1.62E+12,1.70E+12,1.78E+12,1.90E+12,1.95E+12,2.09E+12,2.16E+12,2.23E+12,2.14E+12,2.24E+12,2.31E+12,2.39E+12,2.50E+12,2.63E+12,2.72E+12,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24881326646,20284799188,11431708015,8274514484,7571744572,7930637645,8979862445,10094315283,10520684603,10988169877,11444804530,12268128262,13138305730,14882108795,16186988638,18311718790,20645331672,23811056200,24839944428,24083564559,25902054154,28345977228,30701389771,32253882854,34349242638,35682235302,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18149263621,19743884357,20977364412,22518079717,23756204994,25249013427,26893237983,28501368103,30164895559,31974081280,33911619210,36071808657,38273705766,41066824046,44559025835,48706349584,53415669802,57220916134,63681669732,67274583969,73475667938,85526138706,95195498334,1.04E+11,1.10E+11,1.15E+11,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4388415282,4652989513,4914723002,5285461171,5612246486,5993287212,6374974320,6820061668,7145305327,7531199106,7895373101,8370723312,8938176089,9230235939,9705979391,10318557935,10901112899,11387934427,12184564691,12242699028,12632165581,13396928290,14181829674,14742317065,15066281201,15243609966,
"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898897392.9,957676028.6,1012601224,1067919915,1092330042,1124946114,1170952935,1249352524,1307113073,1412051532,1523613115,1648718166,1619622128,1765405089,1941832196,1985439195,2069441175,2201657684,2373579535,2545856592,2745086942,2680483729,2889890277,3076956544,3159527348,3344123959,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027435262,1115776892,1153764918,1206021538,1271101272,1354707277,1539453012,1667577859,1212000919,1243168169,1340458501,1401016271,1408509233,1444762892,1525482575,1641729067,1731252199,1834290810,1930259179,2009327661,2124006404,2370210331,2370469705,2428511295,2534805315,2684975037,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275747981.9,282013662.1,388662508.6,441812042.5,526426574.5,631378384,1070950355,2722904769,3406837252,4346684149,5255304481,8781778849,10652011228,12380575098,17554826863,21154488253,23484422402,27793851199,33383158834,34088542632,31425606407,34166939303,37688884732,36714650895,37118858266,34409854213,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36E+11,1.44E+11,1.49E+11,1.50E+11,1.56E+11,1.63E+11,1.71E+11,1.83E+11,1.93E+11,1.99E+11,2.11E+11,2.28E+11,2.47E+11,2.61E+11,2.79E+11,2.81E+11,3.14E+11,3.24E+11,3.42E+11,3.38E+11,3.14E+11,2.90E+11,2.79E+11,2.86E+11,2.88E+11,2.85E+11,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466051730.2,492625381.4,502361485.9,500737813.4,525474938.8,549866648.9,582622386.6,619905751.8,667627079.8,746119742.9,777389914.8,779013712.6,818160829.1,913449948,932490517.7,1090247224,1078593824,1175404170,1209835050,1138397889,1146410373,1179028541,1186874683,1234412549,1348951640,1448391593,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30540924246,32711934127,35076412186,37321243010,39652968927,42483173751,44538224712,47277452526,50176967623,52904716277,56061280974,58676333495,61880711809,64711947186,68587206931,73102061226,79401503040,86653373391,91252114941,92428786084,96242290216,1.02E+11,1.07E+11,1.13E+11,1.20E+11,1.26E+11,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1363140178,1492806455,1646409059,1824032364,2021626682,2166698383,2380181811,2571668067,2555161732,2671310482,2694483154,2817895210,2891224156,2919233054,3098305223,3135415508,3397519666,3732803351,3881258193,4040516375,4268627865,4593641614,4903585273,5242960577,5541811052,5769805304,
High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82E+13,1.90E+13,1.99E+13,2.07E+13,2.19E+13,2.31E+13,2.43E+13,2.55E+13,2.65E+13,2.78E+13,2.98E+13,3.10E+13,3.22E+13,3.35E+13,3.56E+13,3.76E+13,4.03E+13,4.27E+13,4.41E+13,4.32E+13,4.52E+13,4.72E+13,4.88E+13,5.07E+13,5.25E+13,5.42E+13,
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99454695334,1.09E+11,1.18E+11,1.28E+11,1.39E+11,1.45E+11,1.54E+11,1.65E+11,1.57E+11,1.63E+11,1.80E+11,1.85E+11,1.91E+11,2.01E+11,2.24E+11,2.48E+11,2.74E+11,2.99E+11,3.12E+11,3.06E+11,3.31E+11,3.54E+11,3.67E+11,3.84E+11,4.02E+11,4.16E+11,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10158204332,10837665416,11708152670,12733496747,12835000626,13635056695,14383135404,15359849531,15977059165,15915047569,17212835067,18084519376,19051516028,20314967764,22174477022,24272830901,26661586554,29064956818,30889137475,30366907263,31884663509,33791210423,35834494560,37429721100,39275306847,41144078465,
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36E+11,3.50E+11,3.57E+11,3.70E+11,3.80E+11,4.07E+11,4.37E+11,4.64E+11,4.85E+11,5.09E+11,5.36E+11,5.73E+11,6.01E+11,6.41E+11,6.95E+11,7.62E+11,8.34E+11,9.14E+11,9.88E+11,1.04E+12,1.11E+12,1.19E+12,1.29E+12,1.38E+12,1.49E+12,1.58E+12,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36707963405,39526778516,42828764961,44241626863,44395695503,47564558954,50285356716,54539852822,58260522999,62579293389,66004826366,75189970861,83267221867,89785126205,86237221790,84845080572,88627632084,90186781801,92268446101,93255069483,94641691630,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10153768315,10606881041,10955929715,11425067490,11786714053,11929418892,12082091567,12367846442,12260241654,12883151162,13577629101,14404994328,14811519348,15384147158,14715922850,15849403538,16607051385,17589763725,18405445928,18824011297,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85923187277,85188990289,86713401298,91168741667,94456532459,96066328911,1.01E+11,1.07E+11,1.11E+11,1.21E+11,1.35E+11,1.47E+11,1.56E+11,1.64E+11,1.72E+11,1.84E+11,1.90E+11,2.07E+11,2.06E+11,2.15E+11,2.27E+11,2.28E+11,2.41E+11,2.52E+11,2.60E+11,
IBRD only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.61E+12,1.01E+13,1.05E+13,1.13E+13,1.19E+13,1.27E+13,1.36E+13,1.45E+13,1.50E+13,1.58E+13,1.71E+13,1.82E+13,1.93E+13,2.08E+13,2.31E+13,2.57E+13,2.90E+13,3.25E+13,3.55E+13,3.70E+13,4.04E+13,4.42E+13,4.72E+13,5.01E+13,5.34E+13,5.62E+13,
IDA & IBRD total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08E+13,1.13E+13,1.18E+13,1.27E+13,1.33E+13,1.42E+13,1.52E+13,1.62E+13,1.68E+13,1.77E+13,1.91E+13,2.03E+13,2.15E+13,2.33E+13,2.59E+13,2.87E+13,3.24E+13,3.62E+13,3.95E+13,4.12E+13,4.49E+13,4.90E+13,5.23E+13,5.56E+13,5.93E+13,6.24E+13,
IDA total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20E+12,1.27E+12,1.32E+12,1.39E+12,1.45E+12,1.54E+12,1.65E+12,1.74E+12,1.83E+12,1.92E+12,2.05E+12,2.18E+12,2.30E+12,2.48E+12,2.81E+12,3.09E+12,3.40E+12,3.72E+12,3.99E+12,4.22E+12,4.52E+12,4.83E+12,5.16E+12,5.54E+12,5.96E+12,6.28E+12,
IDA blend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28E+11,6.66E+11,7.02E+11,7.36E+11,7.76E+11,8.21E+11,8.80E+11,9.25E+11,9.66E+11,1.01E+12,1.08E+12,1.14E+12,1.20E+12,1.30E+12,1.52E+12,1.66E+12,1.83E+12,1.99E+12,2.12E+12,2.24E+12,2.39E+12,2.56E+12,2.74E+12,2.93E+12,3.15E+12,3.32E+12,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25E+11,5.91E+11,6.48E+11,7.12E+11,7.82E+11,8.65E+11,9.48E+11,1.01E+12,8.86E+11,9.07E+11,9.73E+11,1.03E+12,1.09E+12,1.17E+12,1.26E+12,1.38E+12,1.50E+12,1.64E+12,1.77E+12,1.86E+12,2.00E+12,2.17E+12,2.34E+12,2.52E+12,2.69E+12,2.85E+12,
IDA only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.68E+11,5.97E+11,6.15E+11,6.43E+11,6.69E+11,7.16E+11,7.66E+11,8.13E+11,8.54E+11,9.04E+11,9.64E+11,1.04E+12,1.09E+12,1.18E+12,1.28E+12,1.41E+12,1.56E+12,1.71E+12,1.85E+12,1.96E+12,2.11E+12,2.25E+12,2.40E+12,2.59E+12,2.79E+12,2.93E+12,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98E+11,1.04E+12,1.12E+12,1.21E+12,1.31E+12,1.44E+12,1.58E+12,1.67E+12,1.79E+12,1.98E+12,2.11E+12,2.26E+12,2.38E+12,2.62E+12,2.90E+12,3.27E+12,3.69E+12,4.11E+12,4.35E+12,4.76E+12,5.31E+12,5.78E+12,6.22E+12,6.74E+12,7.36E+12,8.00E+12,
Not classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48262802778,50831490364,53728407053,56487873829,61010538691,68283650296,74481596729,83062816078,92974143936,1.01E+11,1.15E+11,1.26E+11,1.38E+11,1.45E+11,1.58E+11,1.68E+11,1.89E+11,2.06E+11,1.99E+11,1.89E+11,1.97E+11,2.08E+11,2.14E+11,2.22E+11,2.37E+11,3.18E+11,
"Iran, Islamic Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69E+11,4.30E+11,4.54E+11,4.58E+11,4.60E+11,4.81E+11,5.21E+11,5.37E+11,5.54E+11,5.74E+11,6.21E+11,6.51E+11,7.14E+11,7.91E+11,8.48E+11,9.12E+11,9.94E+11,1.11E+12,1.15E+12,1.18E+12,1.27E+12,1.35E+12,1.28E+12,1.28E+12,1.36E+12,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30E+11,48327715201,65539494549,87422977905,92724914782,96665644785,1.09E+11,1.35E+11,1.84E+11,2.19E+11,2.27E+11,2.38E+11,2.25E+11,1.54E+11,2.43E+11,2.62E+11,2.97E+11,3.10E+11,3.42E+11,3.56E+11,3.83E+11,4.21E+11,4.88E+11,5.29E+11,5.38E+11,5.61E+11,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5639087370,5813760747,5745666925,5959633320,6306114011,6445144368,6722397726,7305642666,7830116243,8149536164,8275169364,8988092963,9217739894,9346599077,10309512587,11006810105,11762002586,12687342963,13462187603,13046482252,12199641134,12582181171,12962840063,13723267860,14392205060,15615202511,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62421073741,68415557532,74893716333,79620535395,87073407519,1.09E+11,1.18E+11,1.25E+11,1.32E+11,1.38E+11,1.57E+11,1.61E+11,1.66E+11,1.59E+11,1.72E+11,1.72E+11,1.82E+11,1.98E+11,2.01E+11,2.06E+11,2.20E+11,2.37E+11,2.51E+11,2.76E+11,2.87E+11,3.07E+11,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05E+12,1.10E+12,1.14E+12,1.16E+12,1.21E+12,1.27E+12,1.31E+12,1.35E+12,1.42E+12,1.45E+12,1.54E+12,1.60E+12,1.63E+12,1.67E+12,1.70E+12,1.74E+12,1.88E+12,1.99E+12,2.08E+12,2.04E+12,2.08E+12,2.16E+12,2.16E+12,2.18E+12,2.21E+12,2.26E+12,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11416492149,12367234010,12896510896,14446725870,14958279095,15629104989,15896322986,15983995144,15780257830,16189602222,16703495558,17313921473,17930829730,18958890678,19738071700,20555266431,21801010302,22701697142,22958888391,22130923307,22072147411,22917372413,23194361076,23687654301,24279231892,24785002528,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14459860093,15213669678,18465992763,19781143608,21209010392,22989468230,23897349612,25105726185,26138546974,27443121836,29257610329,31501786317,33838094385,35949874207,40101333309,44770772414,49881018737,55395185189,60566820230,64368967101,66677702079,69797089967,72967337562,76243505211,80011548556,82799345520,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38E+12,2.54E+12,2.62E+12,2.68E+12,2.80E+12,2.94E+12,3.09E+12,3.17E+12,3.17E+12,3.21E+12,3.40E+12,3.49E+12,3.59E+12,3.69E+12,3.88E+12,4.05E+12,4.23E+12,4.42E+12,4.46E+12,4.24E+12,4.48E+12,4.57E+12,4.75E+12,4.97E+12,5.02E+12,5.18E+12,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38E+11,1.27E+11,1.23E+11,1.14E+11,1.02E+11,95512194577,97742099828,1.01E+11,1.00E+11,1.05E+11,1.17E+11,1.36E+11,1.52E+11,1.69E+11,1.91E+11,2.16E+11,2.46E+11,2.76E+11,2.90E+11,2.96E+11,3.21E+11,3.52E+11,3.76E+11,4.05E+11,4.30E+11,4.39E+11,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36005634329,37739210362,38290894122,39340394775,41235400562,43950253812,46608407120,47631244242,49732342814,51657477004,53149789909,56415816705,57595121145,60466241978,65300140077,71382429864,78337657727,85932013535,87821187275,91414381167,1.00E+11,1.09E+11,1.16E+11,1.24E+11,1.33E+11,1.42E+11,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9861724968,9389952233,8270129215,7157972084,5842017243,5640393525,6150250536,6875756859,7097851984,7469925417,8054497779,8676446671,8808112186,9615335191,10573964872,10895037131,11578209850,12901780542,14260084575,14783094423,14893084056,16105958461,16388179551,18470586534,19557845557,20454089363,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7075818112,7883964711,8566949228,9195480417,9878472842,10485865542,11914285530,13253748704,14645396027,15864723772,17557421178,19905653501,23268527269,26566671220,30059045877,32699568535,32976465254,35369652416,38652011936,42222349117,46113481996,50258384115,54373395080,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91784897.52,94839969.84,97852788.74,101052101.3,104981979.8,107171564.5,110977666.4,114758337.4,123610563.3,123571399.7,134282247.1,135322665.1,142604011.7,148365767.3,149961527.3,162451216.3,164794889.3,172906284.1,173041039.6,174860147.7,174150347.2,178593470.6,191318991,205649846.8,214373849.3,224257758,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378102942.7,382294761.9,407733918.2,446677850.7,480421494.8,518655766.2,559210332.5,608006288.3,610503373,640849522.1,688327881,739061115.5,764203527,759575626.4,816403230.1,920692613.4,1004828190,1029986946,1116268444,1090777985,1079267843,1127973938,1141852965,1232463032,1329336696,1394199261,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62E+11,4.13E+11,4.47E+11,4.88E+11,5.40E+11,6.03E+11,6.63E+11,7.11E+11,6.80E+11,7.66E+11,8.50E+11,9.09E+11,9.90E+11,1.02E+12,1.10E+12,1.17E+12,1.25E+12,1.35E+12,1.41E+12,1.40E+12,1.51E+12,1.56E+12,1.61E+12,1.65E+12,1.71E+12,1.75E+12,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6245979679,8111499382,8178290755,8840196573,9320544046,10200869013,10987727685,12102029030,12665779316,13188429922,13791318647,14726312525,15418779432,16206838730,16698019646,17538568481,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58504973655,80256216410,88878809036,95140584315,97463657961,1.02E+11,1.06E+11,1.06E+11,1.14E+11,1.17E+11,1.22E+11,1.47E+11,1.67E+11,1.89E+11,2.10E+11,2.28E+11,2.39E+11,2.24E+11,2.21E+11,2.47E+11,2.68E+11,2.76E+11,2.82E+11,2.91E+11,
Latin America & Caribbean (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49E+12,2.66E+12,2.79E+12,3.10E+12,3.31E+12,3.39E+12,3.56E+12,3.80E+12,3.92E+12,4.00E+12,4.25E+12,4.37E+12,4.45E+12,4.62E+12,5.04E+12,5.48E+12,6.00E+12,6.53E+12,6.97E+12,6.95E+12,7.45E+12,8.01E+12,8.37E+12,8.74E+12,9.01E+12,9.04E+12,
Lao PDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4438995340,4783820423,5164906643,5600437046,6186286789,6759358427,7359613614,7999989124,8407662411,9160022841,9911717634,10720650849,11529494834,12472842483,13630601101,15069161445,16870881574,18635633546,20488017274,22192247585,24378716192,26882227109,29574800180,32599670439,35677551381,38712066581,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13732020527,19609426624,20958960282,22959226341,25324393668,27542030590,29485348601,29304184462,30686430281,31014871478,32146967272,34152417933,35860945736,37754686318,41086953536,43567716441,45605188952,51196230460,56964406084,63311230878,69185884708,72014278181,74954316262,76850317287,79634279976,81537465624,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1179366883,1457750349,1917562920,2018505980,2126610150,1515161268,1597622188,1736129144,1933397444,2174105132,2375182613,2520063637,2706442396,2988830567,3287228377,3631054395,3721977675,3762023198,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87760272076,93059636020,93502458877,94027527245,1.08E+11,1.16E+11,1.34E+11,1.47E+11,1.61E+11,1.69E+11,1.68E+11,1.79E+11,69322560014,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708983398.3,752200143.5,823368275,864647358.3,895597921.5,944337200.5,1013667447,1035178156,1112892643,1156573710,1235182233,1222540852,1241872012,1327224740,1475753228,1511249567,1685761511,1727587694,1835057563,1842370111,1833194715,1875503372,1882382326,1913978677,1956763145,2024690870,
Latin America & Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65E+12,2.83E+12,2.98E+12,3.31E+12,3.54E+12,3.63E+12,3.82E+12,4.08E+12,4.22E+12,4.31E+12,4.58E+12,4.72E+12,4.80E+12,5.00E+12,5.45E+12,5.92E+12,6.50E+12,7.06E+12,7.50E+12,7.48E+12,8.03E+12,8.63E+12,9.02E+12,9.42E+12,9.71E+12,9.75E+12,
Least developed countries: UN classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32E+11,4.55E+11,4.71E+11,4.86E+11,5.10E+11,5.48E+11,5.90E+11,6.31E+11,6.65E+11,7.07E+11,7.59E+11,8.23E+11,8.68E+11,9.37E+11,1.03E+12,1.15E+12,1.28E+12,1.43E+12,1.57E+12,1.66E+12,1.78E+12,1.89E+12,2.02E+12,2.18E+12,2.34E+12,2.45E+12,
Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38E+11,2.48E+11,2.46E+11,2.54E+11,2.64E+11,2.80E+11,3.03E+11,3.18E+11,3.31E+11,3.48E+11,3.64E+11,3.91E+11,4.06E+11,4.27E+11,4.65E+11,5.09E+11,5.53E+11,6.05E+11,6.49E+11,6.90E+11,7.45E+11,8.04E+11,8.51E+11,9.16E+11,9.89E+11,1.04E+12,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40460953521,43730850593,46695733107,51105442460,55115801677,59359980685,62740466923,67901831507,71863678738,76101245954,82502947379,83079044368,87698790040,94760978602,1.03E+11,1.13E+11,1.25E+11,1.37E+11,1.48E+11,1.54E+11,1.69E+11,1.87E+11,2.08E+11,2.18E+11,2.33E+11,2.47E+11,
Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38E+12,3.56E+12,3.75E+12,3.94E+12,4.16E+12,4.46E+12,4.81E+12,5.09E+12,5.19E+12,5.53E+12,5.91E+12,6.30E+12,6.65E+12,7.21E+12,8.01E+12,8.83E+12,9.79E+12,1.08E+13,1.15E+13,1.22E+13,1.33E+13,1.43E+13,1.53E+13,1.64E+13,1.77E+13,1.89E+13,
