"country","Q.balance","UV.balance","prod_diversity","prod_ratio","energy_adequacy","polyunsatFA","calories","protein","vitaminA","iron","zinc","calories_percentseafood","protein_percentseafood","polyunsatFA_percentseafood","vitaminA_percentseafood","zinc_percentseafood","iron_percentseafood","Q.balance_norm","UV.balance_norm","prod_diversity_norm","prod_ratio_norm","energy_adequacy_norm","polyunsatFA_norm","calories_norm","protein_norm","vitaminA_norm","iron_norm","zinc_norm","calories_percentseafood_norm","protein_percentseafood_norm","polyunsatFA_percentseafood_norm","vitaminA_percentseafood_norm","zinc_percentseafood_norm","iron_percentseafood_norm","mean_reliance","mean_econ","mean_nutrition","econ_opportunity","mean_malnutrition","mariculture_opportunity"
"Albania",0.48177806,0.375072796,0.433887789242795,0.365384279856931,121,12.9762,3188.0968,94.2687,798.7169,28.2539,10.8684,0.00265180467544147,0.0136488145057691,0.00455342473143139,0.0025269328844801,0.0051176070074712,0.00291193782097339,0.175323923392976,0.113427469801542,0.620142665614276,0.468986549901253,0.870503597122302,0.421406852367308,0.828667737291244,0.884637444731685,0.539746373902859,0.908227372026729,0.639298844151643,0.156240146298309,0.124245024899865,0.227010151844898,0.142128729827867,0.136932290001404,0.0810509772123333,0.144601220014113,0.344470152177512,0.727498317370538,0.655529847822488,0.272501682629462,0.357544250155354
"Algeria",0.144852645,2.431826699,0.546374010454256,0.0106758678548409,135,21.7676,3233.9709,83.9557,495.2772,15.0781,9.7727,0.00234668221659014,0.0132327858620677,0.00271048420588397,0.00354343507030003,0.00393849908418349,0.0035695558458957,0.0527133469615657,0.735419770255496,0.780915812027755,0.0137029388193821,0.971223021582734,0.706910790492641,0.840591586857942,0.787858068676665,0.334691894933938,0.484688596553263,0.574847798594159,0.138262812578624,0.120457920226863,0.135130691170444,0.199302454316225,0.105382788865644,0.0993551398797149,0.132981967839586,0.39568796701605,0.671544536813049,0.60431203298395,0.328455463186951,0.355249821336829
"Angola",0.202797192,0.620934469,NA,NA,114,16.1764,2777.526,57.2553,968.9086,16.9219,9.8194,0.0073889860976999,0.0701907788449279,0.010818448418684,0.00329963383543092,0.0132765810538322,0.0115114945721225,0.0737999554286858,0.187779616336755,NA,NA,0.820143884892086,0.525334520632737,0.721949906190928,0.537295860549111,0.654756276589735,0.543957923214109,0.577594776624217,0.435347399298408,0.638945973047171,0.539351754581355,0.185589719777357,0.355242722709346,0.320411334859174,0.412481484045469,0.130789785882721,0.625861878384703,0.869210214117279,0.374138121615297,0.551943273259348
"Antigua and Barbuda",0.22943958,0.244924846,NA,NA,NA,17.4025,2024.0261,75.8889,531.9453,23.1234,15.0192,0.0321242893063484,0.166155261177853,0.0242226116937222,0.0167076765223793,0.0406397144987749,0.0500017298494166,0.0834953906934589,0.0740688364221232,NA,NA,NA,0.565152567648624,0.526096048434107,0.712157509114885,0.359470980005141,0.743306404224651,0.883456368930325,1,1,1,0.93973245474195,1,1,0.989955409123658,0.078782113557791,0.631606646392956,0.921217886442209,0.368393353607044,0.759855549724304
"Argentina",1.073186127,0.706951806,0.715033145440221,2.20860669811491e-05,130,29.8113,2941.361,100.9762,1339.7743,31.4478,18.1096,0.00206920027837453,0.0113056522229991,0.00135935299701791,0.000231320305218573,0.00295748774130848,0.0031378916808171,0.390543318466086,0.213792510364337,1,2.8348423633422e-05,0.935251798561151,0.968132896994307,0.764534804723216,0.947582045225144,0.905375008683604,1,1,0.121914014711478,0.102915241566365,0.0677702934526926,0.013010737786522,0.0791337764852257,0.0873401846992945,0.0786807081169297,0.401091044313514,0.931553793455346,0.598908955686486,0.0684462065446541,0.248678623449357
"Aruba",0.151807071,0.014442193,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0552441331315837,0.00436752925790849,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0198705541298307,NA,0.980129445870169,NA,NA
"Australia",0.394256248,0.969048299,0.642161961671773,0.479041648471404,130,30.1211,3711.4232,109.459,927.3746,15.1721,14.5842,0.0074199568510538,0.0429036442869019,0.0048326488740451,0.00676092487329284,0.0208062835122941,0.0242347466731698,0.143473848148158,0.293054302640116,0.917822627279292,0.614870705613229,0.935251798561151,0.978193765573968,0.964693627017294,1,0.626688977783761,0.487710245705079,0.857868886209229,0.437172147206803,0.39055145415508,0.240930820078624,0.380271937812249,0.556715676603841,0.674550770351667,0.446698801034711,0.492305370920199,0.835772471550069,0.507694629079801,0.164227528449931,0.372873652854814
"Bahamas",2.491753676,0.193924957,NA,0,NA,16.4049,2450.8285,63.1661,476.1618,13.7981,7.8604,0.0152497002544242,0.0945537242286606,0.0152541191960938,0.0166775453217793,0.0527277237799603,0.0234453294294142,0.906774440092169,0.0586457280785644,NA,0,NA,0.532755141905986,0.63703288670027,0.592764059519926,0.321774341999097,0.443542735762568,0.462362871680245,0.898488271335422,0.860721626497254,0.760491304723263,0.938037708792911,1,0.652578103705485,0.851719502509056,0.321806722723578,0.498372006261348,0.678193277276422,0.501627993738652,0.677180257841377
"Bahrain",0.835628504,0.546903345,0.596595875654047,0.000359530717799924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.304093689572089,0.16539152748724,0.852696401685445,0.000461473249452686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.330660772998557,NA,0.669339227001443,NA,NA
"Bangladesh",6.123694681,0.384475714,0.542472379354214,0.109572081272507,107,7.2868,2368.308,55.3022,168.4932,13.817,5.3506,0.00138097325178989,0.0106567189008756,0.00257735906021848,0.00470244496513806,0.00762529435951108,0.00144371426503583,1,0.116271048991677,0.775339328958604,0.140640512453393,0.76978417266187,0.236641501505071,0.615583702342021,0.518967556527676,0.113862112755207,0.444150280113305,0.314731919649422,0.0813647644911041,0.097008007884531,0.128493761537395,0.26449160327344,0.204030715343771,0.0401843923842524,0.135928874152416,0.508062722600919,0.430531606507796,0.491937277399081,0.569468393492204,0.399111515014567
