,country,calories_reliancenorm,protein_reliancenorm,polyunsatFA_reliancenorm,vitaminA_reliancenorm,zinc_reliancenorm,iron_reliancenorm,mean
145,French Guiana,NA,NA,NA,NA,NA,NA,NA
155,French Polynesia,1.594400954,1.352620236,1.100849068,2.059245801,1.522040366,1.384881529,1.502339659
35,Gabon,NA,NA,NA,NA,NA,NA,NA
47,Gambia,0.761646273,1.018418196,0.799308897,0.232332373,0.494097934,0.403625873,0.618238257
62,Georgia,0.264517436,0.19743206,0.308084164,0.579553314,0.107288935,0.118185399,0.262510218
191,Germany,0.184256169,0.193095514,0.121780607,0.149752936,0.212936108,0.208852651,0.178445664
48,Ghana,0.688404901,0.954747622,1.672496398,0.428888694,0.380449186,0.426185692,0.758528749
192,Gibraltar,NA,NA,NA,NA,NA,NA,NA
193,Greece,0.310168843,0.262127868,0.211056623,0.289960495,0.329410057,0.376865174,0.296598177
194,Greenland,NA,NA,NA,NA,NA,NA,NA
117,Grenada,1.362179474,1.216297859,1.278173723,1.942883149,0.985156181,0.6511302,1.239303431
118,Guadeloupe,NA,NA,NA,NA,NA,NA,NA
156,Guam,NA,NA,NA,NA,NA,NA,NA
134,Guatemala,0.024677451,0.02862448,0.017742232,0.000686196,0.016960572,0.012112787,0.01680062
49,Guinea,0.266080424,0.442217093,0.385192165,0.086992856,0.244085351,0.221891866,0.274409959
50,Guinea-Bissau,0.030319361,0.051869557,0.034653235,0.008861149,0.033628476,0.014753152,0.029014155
146,Guyana,NA,NA,NA,NA,NA,NA,NA
119,Haiti,0.192912876,0.236276823,0.142751238,0.030208754,0.097311964,0.099446413,0.133151345
195,Holy See,NA,NA,NA,NA,NA,NA,NA
135,Honduras,0.05218658,0.060672094,0.060328016,0.0019011,0.041953036,0.034225369,0.041877699
196,Hungary,0.066029404,0.071263214,0.038689879,0.070331574,0.066408029,0.069625891,0.063724665
197,Iceland,2.475625758,1.760409155,2.261860783,1.193005202,2.316260765,1.960437371,1.994599839
76,India,0.045606983,0.049894245,0.054369618,0.098760382,0.041700261,0.070973114,0.060217434
85,Indonesia,0.688255248,0.763809571,1.28220937,2.306231771,0.750266708,0.439702985,1.038412609
77,Iran (Islamic Republic of),0.142204854,0.107777247,0.124084747,0.166816149,0.065447583,0.056871028,0.110533601
95,Iraq,0.039427854,0.039539512,0.025733411,0.121870048,0.017351306,0.012661591,0.042763954
198,Ireland,0.377515427,0.315457554,0.350507372,0.252352245,0.367487381,0.497547397,0.360144563
199,Israel,0.332186009,0.309224918,0.161201907,0.301683587,0.244182158,0.228618406,0.262849498
200,Italy,0.395416493,0.368534395,0.210680219,0.434273305,0.559770357,0.769499136,0.456362318
120,Jamaica,0.794048459,0.796183291,0.778894347,0.516420551,0.767766329,0.492756603,0.691011597
201,Japan,1.437965946,1.145758861,0.836600548,1.264162967,1.901391307,2.322723579,1.484767201
96,Jordan,0.194394262,0.166796065,0.13537447,0.480196504,0.093088678,0.08585973,0.192618285
63,Kazakhstan,0.127765481,0.102158244,0.095375403,0.087471675,0.05466897,0.051749538,0.086531552
12,Kenya,0.005614926,0.006149434,0.007450403,0.002002342,0.003058496,0.003864672,0.004690046
157,Kiribati,NA,NA,NA,NA,NA,NA,NA
97,Kuwait,0.284118063,0.250431499,0.187284052,0.443399315,0.246968829,0.202514145,0.269119317
64,Kyrgyzstan,0.075536304,0.058569249,0.090243448,0.057774193,0.028087644,0.025518744,0.05595493
86,Lao People's Democratic Republic,0.022555798,0.023036063,0.046910091,0.039743163,0.02271613,0.015488054,0.028408217
202,Latvia,0.658495377,0.585090746,0.535786512,0.405203805,0.497718811,0.606265689,0.54809349
98,Lebanon,0.2436404,0.238440831,0.12222257,0.411506231,0.17404007,0.124629646,0.219079958
39,Lesotho,NA,NA,NA,NA,NA,NA,NA
51,Liberia,NA,NA,NA,NA,NA,NA,NA
3,Libya,0.08048439,0.102707455,0.126956135,0.09356453,0.063205125,0.057193931,0.087351928
203,Liechtenstein,NA,NA,NA,NA,NA,NA,NA
204,Lithuania,1.127174276,0.782714179,1.326858396,0.673561846,0.699738425,1.093550538,0.95059961
205,Luxembourg,0.50615785,0.439402694,0.412340305,0.418227462,0.654154425,0.772590523,0.53381221
13,Madagascar,0.127321649,0.184819776,0.374736663,0.161290192,0.089705029,0.185680594,0.187258984
14,Malawi,0.00911468,0.011796501,0.00868077,0.009373996,0.004872975,0.014620523,0.009743241
87,Malaysia,1.535304422,1.484820295,1.793126506,2.953480936,2.02274963,1.420707634,1.868364904
78,Maldives,6.974304256,4.102386318,10.51676735,9.288864213,3.478592519,2.881300075,6.207035788
52,Mali,0.032748921,0.036474244,0.033419328,0.030778015,0.012463802,0.03571822,0.030267088
206,Malta,0.774945575,0.643807272,0.723979616,0.974451358,0.828328762,1.072319767,0.836305392
158,Marshall Islands,NA,NA,NA,NA,NA,NA,NA
121,Martinique,NA,NA,NA,NA,NA,NA,NA
53,Mauritania,0.187465161,0.208120628,0.258361314,0.067809468,0.054830529,0.112265461,0.148142094
15,Mauritius,0.656295186,0.671631117,0.388558561,0.772428026,0.53758292,0.560548565,0.597840729
16,Mayotte,NA,NA,NA,NA,NA,NA,NA
136,Mexico,0.225461769,0.236608727,0.149502726,0.034109214,0.087641763,0.10135683,0.139113505
159,Micronesia (Federated States of),NA,NA,NA,NA,NA,NA,NA
207,Monaco,NA,NA,NA,NA,NA,NA,NA
70,Mongolia,0.013570503,0.009459837,0.0096322,0.001709865,0.003721484,0.003380276,0.006912361
208,Montenegro,0.204696384,0.175957333,0.166679106,0.230407425,0.191271504,0.260923338,0.204989182
122,Montserrat,NA,NA,NA,NA,NA,NA,NA
4,Morocco,0.367350939,0.324072615,0.429482335,0.470160892,0.297736535,0.124660374,0.335577281
17,Mozambique,0.162690377,0.255620877,0.123570794,0.25654192,0.114368995,0.279901863,0.198782471
88,Myanmar,NA,NA,NA,NA,NA,NA,NA
40,Namibia,0.358266955,0.412002994,0.593776038,0.509136471,0.24214688,0.195057324,0.385064444
160,Nauru,NA,NA,NA,NA,NA,NA,NA
79,Nepal,0.009026125,0.008486345,0.00540142,0.00467963,0.005924047,0.004401786,0.006319892
209,Netherlands,0.51639581,0.371695627,0.514876804,0.341720464,0.322015306,0.444431514,0.418522587
123,Netherlands Antilles,NA,NA,NA,NA,NA,NA,NA
161,New Caledonia,0.999163046,0.870304307,0.675846786,0.804339727,1.085566911,1.279114898,0.952389279
210,New Zealand,0.539842101,0.418396325,0.583939833,0.327828994,0.382583144,0.446872754,0.449910525
137,Nicaragua,0.151545604,0.160356701,0.140047013,0.001844854,0.106412693,0.08380839,0.107335876
54,Niger,0.004689906,0.004533407,0.004417137,0.00467963,0.001332503,0.002875423,0.003754668
55,Nigeria,0.349540018,0.48203208,0.527383732,0.101428727,0.206747192,0.151733649,0.303144233
162,Niue,NA,NA,NA,NA,NA,NA,NA
163,Northern Mariana Islands,NA,NA,NA,NA,NA,NA,NA
211,Norway,0.85647076,0.866714724,0.531846137,0.644844443,0.987522632,0.649558663,0.75615956
99,Oman,NA,NA,NA,NA,NA,NA,NA
80,Pakistan,0.020025075,0.017034107,0.023352843,0.007599674,0.016276795,0.012206727,0.016082537
164,Palau,NA,NA,NA,NA,NA,NA,NA
138,Panama,0.385908533,0.363089669,0.268659973,0.022396528,0.199601202,0.18438993,0.237340973
165,Papua New Guinea,NA,NA,NA,NA,NA,NA,NA
147,Paraguay,0.016057921,0.01721847,0.008541675,0.004600886,0.010360935,0.00990026,0.011113358
148,Peru,0.784487944,0.739723086,0.956778971,0.033737825,0.488008528,0.496281032,0.583169564
89,Philippines,1.003825202,1.013663749,2.412352729,0.892860269,1.302706103,0.568072244,1.198913383
212,Poland,0.237866395,0.214975726,0.265969458,0.172273767,0.163394519,0.19427708,0.208126158
213,Portugal,1.001952892,0.994144107,0.615970056,0.747732179,1.033287349,1.133770913,0.921142916
124,Puerto Rico,NA,NA,NA,NA,NA,NA,NA
100,Qatar,NA,NA,NA,NA,NA,NA,NA
230,Reunion,NA,NA,NA,NA,NA,NA,NA
18,Reunion,NA,NA,NA,NA,NA,NA,NA
71,Republic of Korea,1.253714608,1.076318603,0.703185921,0.629778847,1.481576952,1.689640466,1.139035899
214,Republic of Moldova,0.344307708,0.354827249,0.267313395,0.407720399,0.309443378,0.243860936,0.321245511
215,Romania,0.118364222,0.098609398,0.108530244,0.094457653,0.090214778,0.099416102,0.101598733
216,Russian Federation,0.404798486,0.369879044,0.349576832,0.406722378,0.339387964,0.359837564,0.371700378
19,Rwanda,0.031625759,0.042410704,0.051194813,0.022099102,0.0141065,0.049245533,0.035113735
56,"Saint Helena, Ascension and Tristan da Cunha",NA,NA,NA,NA,NA,NA,NA
125,Saint Kitts and Nevis,1.205914151,1.333005877,0.779842984,3.037990214,1.461349633,0.809141565,1.437874071
126,Saint Lucia,1.204864107,0.991339021,2.1661524,2.63793867,1.033714446,0.633713387,1.444620339
217,Saint Pierre and Miquelon,NA,NA,NA,NA,NA,NA,NA
127,Saint Vincent and the Grenadines,0.589891297,0.560098732,0.544926196,0.73650433,0.472398011,0.29459378,0.533068724
166,Samoa,NA,NA,NA,NA,NA,NA,NA
218,San Marino,NA,NA,NA,NA,NA,NA,NA
36,Sao Tome and Principe,NA,NA,NA,NA,NA,NA,NA
101,Saudi Arabia,0.157898306,0.151016578,0.131585803,0.320552788,0.11976756,0.067352435,0.158028912
57,Senegal,0.828334856,1.022832327,0.702761556,0.368107164,0.387116572,0.534072553,0.640537505
219,Serbia,0.133225923,0.124422529,0.129182651,0.183253742,0.10056287,0.110047311,0.130115838
220,Serbia and Montenegro,NA,NA,NA,NA,NA,NA,NA
20,Seychelles,NA,NA,NA,NA,NA,NA,NA
58,Sierra Leone,NA,NA,NA,NA,NA,NA,NA
90,Singapore,NA,NA,NA,NA,NA,NA,NA
221,Slovakia,0.183781994,0.192797273,0.161225388,0.180509409,0.165674224,0.163260864,0.174541525
222,Slovenia,0.212245601,0.190003811,0.143666672,0.226364326,0.211757779,0.270899112,0.209156217
167,Solomon Islands,NA,NA,NA,NA,NA,NA,NA
21,Somalia,NA,NA,NA,NA,NA,NA,NA
41,South Africa,0.172114084,0.177462867,0.140734511,0.13174356,0.087209101,0.085353457,0.132436263
22,South Sudan,NA,NA,NA,NA,NA,NA,NA
37,Southern Africa,NA,NA,NA,NA,NA,NA,NA
82,Southern Asia (excluding India),NA,NA,NA,NA,NA,NA,NA
223,Spain,0.767606932,0.703207661,0.346363539,1.023553049,1.029113858,1.179517402,0.841560407
81,Sri Lanka,0.837991704,1.071201821,4.394694712,2.412760226,0.553850564,1.685158073,1.82594285
5,Sudan,NA,NA,NA,NA,NA,NA,NA
23,Sudan (former),0.009516975,0.009252125,0.011555598,0.008715529,0.004447591,0.010427715,0.008985922
149,Suriname,0.443573642,0.548231237,0.247223948,0.186094536,0.4190818,0.254717573,0.349820456
42,Swaziland,0.032929152,0.043599063,0.052302238,0.081978116,0.019241106,0.039655038,0.044950786
224,Sweden,0.495998547,0.460201671,0.452583312,0.304396816,0.692171385,0.523223542,0.488095879
225,Switzerland,0.234896788,0.241878894,0.152217521,0.192043909,0.412532734,0.470840669,0.284068419
102,Syrian Arab Republic,0.209753647,0.17965464,0.123903226,0.237967895,0.254981562,0.23952957,0.207631757
65,Tajikistan,0.012511386,0.011222694,0.010436707,0.009004013,0.009843346,0.009809298,0.010471241
91,Thailand,0.586738395,0.612578527,0.775546147,0.782348897,0.916339184,0.649017764,0.720428153
226,The former Yugoslav Republic of Macedonia,0.144110571,0.142888445,0.096051135,0.125577979,0.111341805,0.09426931,0.119039874
92,Timor-Leste,NA,NA,NA,NA,NA,NA,NA
59,Togo,NA,NA,NA,NA,NA,NA,NA
168,Tokelau,NA,NA,NA,NA,NA,NA,NA
169,Tonga,NA,NA,NA,NA,NA,NA,NA
128,Trinidad and Tobago,0.595277265,0.644238271,0.48531594,1.515316507,0.648245871,0.289027697,0.696236925
6,Tunisia,0.406907,0.338565058,0.345658094,0.588484095,0.290038037,0.266578073,0.372705059
103,Turkey,0.163936031,0.124075732,0.112440856,0.214928424,0.083937885,0.100267907,0.133264472
66,Turkmenistan,NA,NA,NA,NA,NA,NA,NA
129,Turks and Caicos Islands,NA,NA,NA,NA,NA,NA,NA
170,Tuvalu,NA,NA,NA,NA,NA,NA,NA
24,Uganda,NA,NA,NA,NA,NA,NA,NA
227,Ukraine,0.41850951,0.366313657,0.381468508,0.382522617,0.342907699,0.412710484,0.384072079
104,United Arab Emirates,0.519607688,0.475684528,0.27021325,0.989905836,0.271950938,0.182972649,0.451722481
228,United Kingdom,0.330373266,0.321499072,0.211772637,0.289549622,0.452838094,0.315146654,0.320196557
25,United Republic of Tanzania,0.027589965,0.03397438,0.025996295,0.010937004,0.016895874,0.014376947,0.021628411
