"","country","year","Q.balance","UV.balance","energy_adequacy","gdp","calories","protein","fat","vitaminA","calcium","iron","zinc","thiamin","riboflavin","niacin","b6","magnesium","polyunsatFA","polyunsatFA_percentseafood","calories_percentseafood","protein_percentseafood","vitaminA_percentseafood","thiamin_percentseafood","niacin_percentseafood","riboflavin_percentseafood","B6_percentseafood","iron_percentseafood","calcium_percentseafood","zinc_percentseafood","native","fishmeal","habitat","spp_farmed","prod_ratio","aq_gdp","Q.balance_q","UV.balance_q","prod_ratio_q","spp_farmed_q","energy_adequacy_q","gdp_q","calories_q","protein_q","fat_q","vitaminA_q","calcium_q","iron_q","zinc_q","thiamin_q","riboflavin_q","niacin_q","b6_q","magnesium_q","polyunsatFA_q","polyunsatFA_percentseafood_q","calories_percentseafood_q","protein_percentseafood_q","vitaminA_percentseafood_q","thiamin_percentseafood_q","niacin_percentseafood_q","riboflavin_percentseafood_q","B6_percentseafood_q","iron_percentseafood_q","calcium_percentseafood_q","zinc_percentseafood_q","vitamins_all","native_q","fishmeal_q","habitat_q","aq_gdp_q","trade","fs","reliance","nutrition","ecol","totscore"
"58","Gambia",2011,6.519922974,0.71479985,127,1532.5,2757.3884,58.3756,71.3094,1402.1167,234.3202,25.0922,11.6194,1.2036,0.7986,17.04,1.8476,507.5048,19.8121,0.016032732,0.012927133,0.111877325,0.00413068,0.030005089,0.151212822,0.047843944,0.067498892,0.014501163,0.103661797,0.018466054,NA,NA,NA,5,0.000795180722891566,0.000383840322425871,5,2,1,2,4,1,2,1,2,5,1,4,3,1,1,1,2,4,3,5,4,5,3,5,5,5,5,4,5,4,4.5,NA,NA,NA,1,2.25,2.5,4.54545454545455,2.30769230769231,NA,2.90078671328671
"59","Georgia",2011,0.254426412,0.547173908,110,6322.5,3070.5839,97.3936,68.5747,328.3433,677.7904,23.5751,17.3103,2.9496,1.6518,30.3506,3.135,836.7611,16.231,0.006179627,0.004489554,0.021688704,0.010303985,0.00340506,0.018076665,0.009223499,0.012757851,0.004246075,0.003542944,0.004009738,NA,NA,NA,7,0.0244848758805138,NA,2,2,3,2,1,2,3,4,2,1,3,4,5,5,3,5,5,5,2,3,2,2,4,2,2,3,2,2,2,2,2.375,NA,NA,NA,NA,NA,1.5,2.36363636363636,3.61538461538462,NA,NA
"60","Germany",2011,1.464835749,1.028074749,138,42142.5,3846.2861,98.0915,179.1945,960.3207,1266.3981,12.7309,12.1866,1.7053,2.2981,19.5239,2.1181,383.1933,29.4277,0.002442705,0.00312731,0.021212317,0.002662485,0.004547968,0.020070109,0.004826905,0.015231363,0.007503499,0.002043267,0.007958118,10,10,7,25,0.167349329593652,0.00117521261411548,4,3,4,5,5,5,5,4,5,4,5,1,3,2,5,2,3,3,5,1,2,2,2,2,2,2,2,3,1,3,2.125,4,5,5,2,3.25,5,2,3.61538461538462,4.66666666666667,3.46634615384615
"61","Ghana",2011,0.490694167,0.636435767,134,3430.9,3256.5864,65.3372,46.0643,858.7975,526.3488,25.0868,13.1611,2.8476,1.5181,26.3997,4.0831,634.5641,11.595,0.033547339,0.011684035,0.104882857,0.007625291,0.014542198,0.120539158,0.031154837,0.034076858,0.015311675,0.024179422,0.014218629,NA,NA,NA,5,0.0526598869682502,0,3,2,3,2,5,1,4,2,1,3,3,4,4,5,3,4,5,5,1,5,4,5,4,4,5,5,4,4,4,3,4.125,NA,NA,NA,1,2.25,3,4.27272727272727,3.38461538461538,NA,3.22683566433566
"62","Greece",2011,1.80750316,1.163951228,138,26582.6,3884.5403,115.371,175.1819,907.5957,1492.675,16.277,13.3507,1.9436,3.0917,21.8436,2.3812,453.7422,29.9257,0.004233425,0.005264378,0.028795798,0.005155261,0.006780032,0.031637184,0.006657176,0.022158953,0.013539725,0.002919457,0.01231113,10,1.9,3.9,29,1.74383060423175,0.219163727841209,5,3,5,5,5,4,5,5,5,3,5,2,4,4,5,3,4,4,5,3,3,2,3,3,3,2,3,3,2,3,2.75,4,1,3,5,4.5,4.5,2.72727272727273,4.15384615384615,2.66666666666667,3.97027972027972
"63","Greenland",2011,0.335049876,1.030267914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Grenada",2011,8.555732434,0.274437386,NA,11221.4,2408.8593,64.2921,90.707,368.4729,278.2815,15.6457,7.4202,1.8181,1.4326,22.1559,1.5639,283.4006,15.9777,0.025637919,0.023119755,0.1336152,0.034542877,0.021651595,0.099529542,0.041386335,0.102947204,0.02339331,0.034088469,0.036818505,NA,NA,NA,2,0,NA,5,1,1,1,NA,3,1,2,3,1,1,2,1,3,2,3,1,2,2,5,5,5,5,5,5,5,5,4,5,5,4.875,NA,NA,NA,NA,NA,NA,4.90909090909091,1.84615384615385,NA,NA
"65","Guadeloupe",2011,0.674787601,1.366596488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.00142857142857143,NA,3,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Guam",2011,2.777777778,0.015211268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.263657957244656,NA,5,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Guatemala",2011,0.499318963,1.170630718,118,6798.8,2527.8026,63.2436,56.4395,2965.6509,487.6775,28.3422,11.5796,2.156,1.5005,20.2565,2.4724,531.7873,20.4056,0.000355878,0.000418841,0.003144514,1.22e-05,0.000300809,0.001573957,0.000741945,0.001453263,0.000435179,0.000712548,0.000633872,5,1,5,19,1.08183833904455,0.0951167441724599,3,3,5,4,2,2,2,1,1,5,2,5,3,4,2,3,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,4,3.75,2,1,3,2,2.4375
