country,year,Q.exp,Q.imp,V.exp,V.imp,Q.balance,V.balance,UV.balance,energy_adequacy,food_deficit,food_price,food_production,gdp,protein_supply,protein_animal,undernourish,food_price_volatility,food_supply_variability,total_population,number_undernourished,dietary_energy_supply,fat_supply,food_over_acquisition,food_production_variability,calories,protein,fat,vitaminA,calcium,iron,zinc,thiamin,riboflavin,niacin,B6,magnesium,polyunsatFA,calories_demersalfish,calories_pelagicfish,calories_othermarinefish,calories_crustaceans,calories_molluscs,calories_seafood,protein_demersalfish,protein_pelagicFish,protein_othermarinefish,protein_crustaceans,protein_molluscs,protein_seafood,fat_demersalfish,fat_pelagicfish,fat_othermarinefish,fat_crustaceans,fat_molluscs,fat_seafood,vitaminA_demersalfish,vitaminA_pelagicfish,vitaminA_othermarinefish,vitaminA_crustaceans,vitaminA_molluscs,vitaminA_seafood,calcium_demersalfish,calcium_pelagicfish,calcium_othermarinefish,calcium_crustaceans,calcium_molluscs,calcium_seafood,iron_demersalfish,iron_pelagicfish,iron_othermarinefish,iron_crustaceans,iron_molluscs,iron_seafood,zinc_demersalfish,zinc_pelagicfish,zinc_othermarinefish,zinc_crustaceans,zinc_molluscs,zinc_seafood,thiamin_demersalfish,thiamin_pelagicfish,thiamin_othermarinefish,thiamin_crustaceans,thiamin_molluscs,thiamin_seafood,riboflavin_demersalfish,riboflavin_pelagicfish,riboflavin_othermarinefish,riboflavin_crustaceans,riboflavin_molluscs,riboflavin_seafood,niacin_demersalfish,niacin_pelagicFish,niacin_othermarinefish,niacin_crustaceans,niacin_molluscs,niacin_seafood,B6_demersalfish,B6_pelagicFish,B6_othermarinefish,B6_crustaceans,B6_molluscs,B6_seafood,polyunsatFA_demersalfish,polyunsatFA_pelagicFish,polyunsatFA_othermarinefish,polyunsatFA_crustaceans,polyunsatFA_molluscs,polyunsatFA_seafood,calories_percentseafood,protein_percentseafood,fat_percentseafood,vitaminA_percentseafood,calcium_percentseafood,iron_percentseafood,zinc_percentseafood,thiamin_percentseafood,riboflavin_percentseafood,niacin_percentseafood,B6_percentseafood,polyunsatFA_percentseafood,native,ex.imp,fishmeal,intensity,nutri,hatchery,antibiotic,habitat,GMO,code,trace,employment,waste
Dominica,2011,66683,37559,4745,90128,1.775420006,0.052647346,0.02965346,NA,NA,NA,369,10189.4,88,49,,NA,74,0.1,ns,NA,82,NA,14.3,2530.9062,75.6218,64.7708,755.9732,817.2589,31.1047,9.9362,2.7137,2.0203,27.9371,2.4005,392.3055,10.1886,3.8584,28.7964,4.5997,0.36203,0.080031,37.696561,0.78876,5.2902,1.0004,0.075082,0.013422,7.167864,0.049567,0.81808,0.074104,0.0046171,0.0016919,0.94806,0.43101,0,1.5879,0,0.0048205,2.0237305,1.1206,7.09,0.79397,0.25459,0.086014,9.345174,0.047412,0.27269,0.058225,0.0047466,0.0028356,0.3859092,0.021551,0.13635,0.015879,0.0077671,0.0016068,0.1831539,0.0034481,0.013635,0.0042345,0.00056096,4.73E-05,0.02192582,0.0045256,0.029996,0.0026466,0.0002589,0.00017959,0.03760669,0.10775,0.92716,0.11645,0.0081986,0.0017014,1.16126,0.01237,0.10908,0.015879,0.00064726,4.73E-05,0.13802352,0.015085,0.20997,0.021173,0.0012945,0.00078452,0.24830702,0.014894492,0.094785683,0.014637151,0.002676987,0.011434778,0.012406781,0.018432992,0.008079677,0.018614409,0.041566949,0.057497821,0.024371064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,2011,50327,103591,449925,476501,0.485824058,0.94422677,1.943557043,107,129,4.05,264,11375.6,58,28,18.1,8.3,50,10,1.8,2496,88,10.2,11.9,2493.199,60.6523,90.336,2468.8125,462.2288,23.1526,10.2499,1.8132,1.4711,21.3745,1.8904,295.1208,22.846,3.0756,5.4281,0.49283,0.35054,0.48018,9.82725,0.62872,0.99721,0.10719,0.072699,0.080532,1.886351,0.03951,0.15421,0.0079397,0.0044705,0.010152,0.2162822,0.34356,0,0.17014,0,0.028923,0.542623,0.89326,1.3365,0.085068,0.24651,0.51608,3.077418,0.037792,0.051403,0.0062384,0.0045959,0.017014,0.1170433,0.017178,0.025701,0.0017014,0.0075205,0.0096411,0.061742,0.0027485,0.0025701,0.0004537,0.00054315,0.00028356,0.00659901,0.0036074,0.0056543,0.00028356,0.00025068,0.0010775,0.01087344,0.08589,0.17477,0.012477,0.0079384,0.010208,0.2912834,0.0098602,0.020561,0.0017014,0.00062671,0.00028356,0.03303287,0.012025,0.03958,0.0022685,0.0012534,0.0047071,0.059834,0.003941623,0.031101063,0.002394197,0.000219791,0.006657781,0.005055298,0.006023669,0.003639428,0.007391367,0.013627612,0.017474011,0.002619014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ecuador,2011,143768,105094,363490,275363,1.367994367,1.320039366,0.964945031,110,94,3.39,486,9927,66,41,14.4,5.2,28,15,2.2,2435,101,12.6,16.3,2463.7345,71.9176,96.5898,2868.4479,821.1647,24.1511,11.8872,1.7711,1.8971,20.8374,1.9638,253.0108,17.4473,0.75491,4.6259,0.087614,1.8791,0.064024,7.411548,0.15432,0.84983,0.019055,0.38971,0.010738,1.423653,0.0096978,0.13142,0.0014115,0.023965,0.0013535,0.1678478,0.084329,0,0.030247,0,0.0038564,0.1184324,0.21925,1.1389,0.015123,1.3214,0.068811,2.763484,0.0092762,0.043805,0.001109,0.024637,0.0022685,0.0810957,0.0042164,0.021903,0.00030247,0.040315,0.0012855,0.06802237,0.00067463,0.0021903,8.07E-05,0.0029116,3.78E-05,0.005894996,0.00088545,0.0048186,5.04E-05,0.0013438,0.00014367,0.007241931,0.021082,0.14894,0.0022181,0.042555,0.0013611,0.2161562,0.0024202,0.017522,0.00030247,0.0033596,3.78E-05,0.023642078,0.0029515,0.03373,0.00040329,0.0067192,0.00062762,0.04443161,0.003008258,0.019795613,0.001737738,4.13E-05,0.003365322,0.003357847,0.005722321,0.003328438,0.003817369,0.010373473,0.012038944,0.002546618,9.9,5,3,5,5,5,1,1,5,3,5,5,3
Egypt,2011,62374,53693,75000,414620,1.161678431,0.180888524,0.155713078,151,17,7,263,10071.2,102,24,<5.0,14.3,33,78.1,ns,3506,62,55.1,11.5,3537.702,88.2055,58.6383,504.4676,595.082,26.3524,9.2912,1.5725,1.216,21.2573,2.0325,390.1454,14.482,4.0478,6.8304,0.95579,0.36247,0.1138,12.31026,0.8235,0.95331,0.18359,0.07793,0.015959,2.054289,0.060267,0.24078,0.019215,0.0041856,0.0012704,0.325718,0.80956,1.5725,0.27877,0.030205,0.034405,2.72544,0.80956,1.0811,0.19912,0.19849,0.041022,2.329292,0.015292,0.050123,0.0045798,0.0025459,0.005227,0.0777677,0.01889,0.032432,0.004779,0.015275,0.0021173,0.0734933,0.0025186,0.004914,0.00075667,0.00020281,3.44E-05,0.008426485,0.0029234,0.0078624,0.00094584,0.00018555,0.00013233,0.01204952,0.098946,0.29975,0.028873,0.010788,0.0013895,0.4397465,0.011694,0.019656,0.0029868,0.00064726,6.62E-05,0.035050224,0.01898,0.055872,0.0048088,0.0012773,0.00025407,0.08119217,0.003479733,0.023289806,0.005554697,0.005402607,0.003914237,0.002951067,0.00790999,0.005358655,0.009909145,0.020686846,0.017244883,0.00560642,9.6,4.8,2.9,4.8,4.8,5,3.9,4.9,6.7,5.1,5.1,7,4.8
El Salvador,2011,224245,102457,1700967,457910,2.188674273,3.714631696,1.697206269,113,81,4.26,146,7596.5,70,24,12,7.6,16,6.2,0.7,2537,59,19.6,6.7,2435.6449,64.6329,54.3968,2104.3196,584.0895,35.1915,11.0461,2.0077,1.3204,19.7988,2.4558,535.9666,16.7538,0.02796,3.5846,2.6065,0.39077,0.19207,6.8019,0.0057156,0.65854,0.5669,0.081041,0.032213,1.3444096,0.00035918,0.10184,0.041992,0.0049836,0.0040606,0.15323538,0.0031233,0,0.89984,0,0.011569,0.9145323,0.0081205,0.88258,0.44992,0.27479,0.20643,1.8218405,0.00034356,0.033945,0.032994,0.0051233,0.0068055,0.07921136,0.00015616,0.016973,0.0089984,0.0083836,0.0038564,0.03836756,2.50E-05,0.0016973,0.0023996,0.00060548,0.00011342,0.004840786,3.28E-05,0.003734,0.0014997,0.00027945,0.00043101,0.005976955,0.00078082,0.11541,0.065988,0.0088493,0.0040833,0.19511142,8.96E-05,0.013578,0.0089984,0.00069863,0.00011342,0.023478088,0.00010932,0.026138,0.011998,0.0013973,0.0018828,0.04152542,0.002792648,0.020800701,0.002816993,0.000434598,0.003119112,0.002250866,0.003473403,0.00241111,0.004526625,0.009854709,0.009560261,0.002478567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equatorial Guinea,2011,47093,304952,79902,1372312,0.154427582,0.058224369,0.377033481,NA,NA,NA,61,36754.8,NA,NA,,NA,NA,0.7,,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eritrea,2011,50144,41766,271869,81839,1.200593784,3.321998069,2.766962575,NA,NA,NA,NA,1411.2,NA,NA,,NA,NA,5.7,,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,2011,708285,706501,2466234,4214774,1.00252512,0.585140271,0.583666443,128,NA,2.74,401,23954.9,96,52,,9.3,50,1.3,,NA,91,34.9,14.9,3398.536,101.5637,105.8146,1312.4755,1318.6014,16.059,13.3102,1.8089,2.1329,20.1036,2.3192,475.9986,15.4358,6.8681,6.1788,0.060493,0.70192,0.47147,14.280783,1.3973,0.86237,0.01162,0.15091,0.066115,2.488315,0.10226,0.21782,0.0012162,0.0081055,0.0052629,0.3346646,1.3736,1.4225,0.017644,0.058493,0.14254,3.014777,1.3736,0.97795,0.012603,0.38438,0.16995,2.918483,0.025946,0.045341,0.00028986,0.0049301,0.021655,0.09816196,0.032051,0.029338,0.00030247,0.029581,0.0087715,0.10004397,0.0042735,0.0044452,4.79E-05,0.00039274,0.00014254,0.00930187,0.0049603,0.0071123,5.99E-05,0.00035932,0.00054822,0.013040003,0.16789,0.27116,0.0018274,0.02089,0.0057563,0.4675237,0.019841,0.017781,0.00018904,0.0012534,0.00027411,0.03933855,0.032204,0.050542,0.00030436,0.0024734,0.0010526,0.08657636,0.00420204,0.024500043,0.003162745,0.002297016,0.002213317,0.006112582,0.007516339,0.00514228,0.006113743,0.02325572,0.016962121,0.005608803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,2011,17900,33122,68086,205875,0.540426303,0.33071524,0.611952524,96,276,6.2,106,1165.2,61,8,37.6,12.2,19,87.1,32.7,2079,26,8.7,2.8,2157.131,60.3694,46.1302,402.5123,431.5914,61.1311,11.7107,1.7802,0.98573,12.715,1.9075,701.1367,7.7357,0,0.017619,0,0,0,0.017619,0,0.0031354,0,0,0,0.0031354,0,0.00059808,0,0,0,0.00059808,0,0.0030712,0,0,0,0.0030712,0,0.004526,0,0,0,0.004526,0,0.00017781,0,0,0,0.00017781,0,8.24E-05,0,0,0,8.24E-05,0,1.94E-05,0,0,0,1.94E-05,0,2.26E-05,0,0,0,2.26E-05,0,0.0015195,0,0,0,0.0015195,0,6.47E-05,0,0,0,6.47E-05,0,0.00018541,0,0,0,0.00018541,8.17E-06,5.19E-05,1.30E-05,7.63E-06,1.05E-05,2.91E-06,7.04E-06,1.09E-05,2.30E-05,0.000119505,3.39E-05,2.40E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia PDR,2011,25,38047,90,22730,0.000657082,0.003959525,6.025921689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Falkland Islands,2011,141,99474,2262,187293,0.001417456,0.012077333,8.520430215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faroe Islands,2011,576181,187635,716951,435450,3.07075439,1.646459984,0.53617443,NA,NA,NA,38,NA,NA,NA,,NA,NA,0,,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,3,1,1,5,1,3,7,6,5,5,5
Fiji,2011,179198,207594,333020,996825,0.863213773,0.334080706,0.387019666,123,30,4.93,231,7486.8,74,31,<5.0,16.3,21,0.9,ns,2918,93,30.3,19.8,3272.101,75.8464,109.9421,460.8525,353.5148,26.4326,14.1497,1.6214,0.94476,19.1111,1.8275,307.3489,16.2147,2.7641,60.9121,2.1899,0.53507,0.74785,67.14902,0.56234,8.5014,0.42063,0.11504,0.10487,9.70428,0.041155,2.1473,0.044025,0.0061788,0.0083481,2.2470069,0.55282,14.0229,0.63871,0.044589,0.22609,15.485109,0.55282,9.6408,0.45622,0.29301,0.26957,11.21242,0.010442,0.44698,0.010493,0.0037582,0.034349,0.5060222,0.012899,0.28922,0.010949,0.022549,0.013913,0.34953,0.0017199,0.043822,0.0017336,0.00029938,0.00022609,0.04780097,0.0019963,0.070115,0.002167,0.0002739,0.00086959,0.07542179,0.067567,2.6731,0.066152,0.015925,0.0091307,2.8318747,0.0079852,0.17529,0.0068433,0.00095548,0.00043479,0.19150877,0.012961,0.49825,0.011018,0.0018855,0.0016696,0.5257841,0.020521683,0.127946481,0.020438093,0.033601009,0.031716975,0.019143868,0.024702291,0.029481294,0.079831693,0.148179576,0.104792761,0.032426385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finland,2011,845188,421943,1008404,1616691,2.003085725,0.623745663,0.311392396,128,NA,1.53,352,40251.4,112,69,,6.7,27,5.4,,NA,134,32.4,9.8,3286.51,106.1328,138.0147,1179.302,1495.871,12.482,13.3284,1.7397,2.0225,20.0939,2.1417,420.0539,17.3152,2.6517,33.2309,1.9358,1.3521,0.5365,39.707,0.53947,4.638,0.37183,0.29069,0.075235,5.915225,0.03948,1.1714,0.038917,0.015613,0.0059888,1.2713988,0.53033,7.6503,0.5646,0.11267,0.1622,9.0201,0.53033,5.2596,0.40329,0.74041,0.19339,7.12702,0.010017,0.24385,0.0092756,0.0094966,0.024642,0.2972812,0.012374,0.15779,0.0096789,0.056979,0.0099814,0.2468033,0.0016499,0.023907,0.0015325,0.00075651,0.0001622,0.02800811,0.0019151,0.038251,0.0019156,0.00069212,0.00062384,0.04339766,0.064819,1.4583,0.058477,0.04024,0.0065503,1.6283863,0.0076604,0.095628,0.0060493,0.0024144,0.00031192,0.11206402,0.012433,0.27182,0.0097394,0.0047644,0.0011978,0.2999546,0.012081813,0.055734184,0.009212053,0.007648677,0.004764462,0.023816792,0.018517099,0.016099391,0.021457434,0.081038838,0.052324798,0.017323196,10,1,3,2,2,5,1,3,6,7,5,5,7
France,2011,763492,961960,1600342,1702403,0.793683729,0.94004886,1.184412413,142,NA,1.71,610,37325.3,113,72,,4.6,41,63.2,,NA,164,53.7,14.3,3855.9836,111.3011,177.8239,1110.6785,1390.7032,15.2814,13.4948,1.714,2.3087,20.7952,2.0918,397.5816,29.5046,9.8196,16.1099,0.31456,2.3129,12.7134,41.27036,1.9977,2.2484,0.060423,0.49727,1.7828,6.586593,0.1462,0.5679,0.0063241,0.026708,0.14192,0.8890521,1.9639,3.7088,0.091748,0.19274,3.8436,9.800788,1.9639,2.5498,0.065534,1.2666,4.5827,10.428534,0.037096,0.11822,0.0015073,0.016245,0.58393,0.7569983,0.045825,0.076493,0.0015728,0.097471,0.23653,0.4578918,0.00611,0.01159,0.00024903,0.0012941,0.0038436,0.02308673,0.0070919,0.018544,0.00031129,0.001184,0.014783,0.04191419,0.24004,0.70698,0.0095025,0.068836,0.15522,1.1805785,0.028368,0.046359,0.00098301,0.0041301,0.0073915,0.08723161,0.046043,0.13178,0.0015827,0.0081501,0.028383,0.2159388,0.01070294,0.059178148,0.004999621,0.008824145,0.007498749,0.049537235,0.033930981,0.013469504,0.018154888,0.056771683,0.041701697,0.007318818,3.8,5.5,9.8,9.6,9.6,5.9,9.8,5.6,7.8,7.1,7.7,6.7,3.6
French Guiana,2011,27948,81720,103806,1155098,0.341997063,0.0898677,0.262773308,NA,NA,NA,76,NA,NA,NA,,NA,NA,0.2,,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Polynesia,2011,54482,269877,104259,631295,0.201877151,0.165150999,0.818076726,NA,NA,NA,NA,NA,NA,NA,,NA,30,0.3,ns,NA,NA,NA,3.3,2848.9893,80.1524,136.7533,508.0217,287.8461,14.3398,9.9812,1.3902,1.1398,21.5039,1.7636,254.2887,24.0932,0.38416,51.8797,16.4178,3.4405,4.9748,77.09696,0.078156,7.2408,3.1536,0.73972,0.69763,11.909906,0.0057198,1.8289,0.33007,0.03973,0.055533,2.2599528,0.076833,11.9435,4.7885,0.28671,1.504,18.599543,0.076833,8.2112,3.4204,1.8841,1.7932,15.385733,0.0014513,0.3807,0.078669,0.024166,0.22849,0.7134763,0.0017928,0.24634,0.082089,0.14499,0.092555,0.5677668,0.00023904,0.037324,0.012997,0.0019251,0.001504,0.05398914,0.00027745,0.059718,0.016247,0.0017612,0.0057847,0.08378835,0.0093907,2.2767,0.49596,0.1024,0.060739,2.9451897,0.0011098,0.14929,0.051306,0.0061438,0.0028923,0.2107419,0.0018013,0.42437,0.082602,0.012124,0.011107,0.5320043,0.027061162,0.14859076,0.016525764,0.03661171,0.053451247,0.049754969,0.056883621,0.03883552,0.073511449,0.136960723,0.119495294,0.022081098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,2011,22750,322641,98810,427638,0.070511807,0.231059915,3.276896795,122,26,5.02,157,17100.7,82,41,<5.0,15.3,27,1.6,ns,2747,55,22.2,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,2011,132048,20253,318844,68415,6.519922974,4.660439962,0.71479985,127,55,7.12,81,1532.5,67,17,8.8,2.6,101,1.7,0.1,2782,76,32.1,17.1,2757.3884,58.3756,71.3094,1402.1167,234.3202,25.0922,11.6194,1.2036,0.7986,17.04,1.8476,507.5048,19.8121,5.1415,26.5169,2.2261,1.7404,0.020227,35.645127,1.1977,4.7188,0.48233,0.12873,0.003346,6.530906,0.060488,0.90011,0.018551,0.0043151,0.00043479,0.98389889,0.42341,4.6222,0.6261,0.11507,0.0049151,5.7916951,10.7063,6.8117,1.2058,5.5413,0.024953,24.290053,0.012098,0.2676,0.071886,0.011507,0.00077507,0.36386607,0.053834,0.12407,0.010899,0.025459,0.00030247,0.21456447,0.004839,0.029193,0.0017392,0.00033801,4.92E-06,0.036114125,0.0018146,0.034058,0.002029,0.00028767,1.89E-05,0.038208174,0.20566,2.2868,0.068129,0.015879,0.00019849,2.57666649,0.019356,0.09731,0.0069567,0.0010788,9.45E-06,0.124710952,0.025526,0.27904,0.01076,0.0022798,3.63E-05,0.317642096,0.012927133,0.111877325,0.013797604,0.00413068,0.103661797,0.014501163,0.018466054,0.030005089,0.047843944,0.151212822,0.067498892,0.016032732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,2011,68587,269575,100891,724711,0.254426412,0.139215494,0.547173908,110,68,NA,152,6322.5,75,26,9,NA,87,4.4,0.4,2727,63,18.7,10.7,3070.5839,97.3936,68.5747,328.3433,677.7904,23.5751,17.3103,2.9496,1.6518,30.3506,3.135,836.7611,16.231,0.23425,10.0434,3.2908,0.0057534,0.21135,13.7855534,0.047656,1.4017,0.63211,0.001237,0.029638,2.112341,0.0034877,0.35405,0.066159,6.64E-05,0.0023592,0.426122338,0.046849,2.3122,0.95982,0.00047945,0.063896,3.38324445,0.046849,1.5896,0.68559,0.0031507,0.076184,2.4013737,0.00088493,0.0737,0.015769,4.04E-05,0.0097073,0.100101641,0.0010932,0.047688,0.016454,0.00024247,0.0039321,0.06940977,0.00014575,0.0072255,0.0026052,3.22E-06,6.39E-05,0.010043565,0.00016918,0.011561,0.0032565,2.95E-06,0.00024575,0.015235375,0.005726,0.44075,0.09941,0.00017123,0.0025804,0.54863763,0.00067671,0.028902,0.010284,1.03E-05,0.00012288,0.039995864,0.0010984,0.082154,0.016557,2.03E-05,0.00047185,0.100301524,0.004489554,0.021688704,0.006213988,0.010303985,0.003542944,0.004246075,0.004009738,0.00340506,0.009223499,0.018076665,0.012757851,0.006179627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,2011,625750,427181,2956770,1963378,1.464835749,1.505960645,1.028074749,138,NA,1.5,397,42142.5,103,62,,5.1,26,83,,NA,144,47.9,8.8,3846.2861,98.0915,179.1945,960.3207,1266.3981,12.7309,12.1866,1.7053,2.2981,19.5239,2.1181,383.1933,29.4277,5.1253,5.1678,0.22987,0.82274,0.68282,12.02853,1.0427,0.72125,0.044155,0.17689,0.095753,2.080748,0.07631,0.18217,0.0046214,0.0095007,0.0076221,0.2802242,1.0251,1.1897,0.067047,0.068562,0.20643,2.556839,1.0251,0.81792,0.04789,0.45055,0.24613,2.58759,0.019362,0.037922,0.0011015,0.0057788,0.031362,0.0955263,0.023918,0.024538,0.0011494,0.034673,0.012704,0.0969824,0.0031891,0.0037178,0.00018198,0.00046034,0.00020643,0.00775565,0.0037016,0.0059485,0.00022748,0.00042116,0.00079397,0.01109271,0.12529,0.22679,0.0069441,0.024486,0.0083367,0.3918468,0.014806,0.014871,0.00071836,0.0014692,0.00039699,0.03226155,0.024032,0.042271,0.0011566,0.0028992,0.0015244,0.0718832,0.00312731,0.021212317,0.001563799,0.002662485,0.002043267,0.007503499,0.007958118,0.004547968,0.004826905,0.020070109,0.015231363,0.002442705,10,7,10,9,9,8,10,7,10,5,7,6,10
Ghana,2011,52387,106761,250988,803688,0.490694167,0.312295319,0.636435767,134,42,6.21,274,3430.9,60,16,6.5,7.4,43,24.3,1.6,2973,47,36.7,9.7,3256.5864,65.3372,46.0643,858.7975,526.3488,25.0868,13.1611,2.8476,1.5181,26.3997,4.0831,634.5641,11.595,1.3539,36.0841,0.49604,0.11603,0,38.05007,0.31539,6.4213,0.10748,0.0085822,0,6.8527522,0.015929,1.2249,0.0041337,0.00028767,0,1.24525037,0.1115,6.2899,0.13951,0.0076712,0,6.5485812,2.8194,9.2693,0.26869,0.36942,0,12.72681,0.0031858,0.36415,0.016018,0.00076712,0,0.38412092,0.014177,0.16883,0.0024285,0.0016973,0,0.1871328,0.0012743,0.039726,0.00038753,2.25E-05,0,0.041410364,0.00047786,0.046347,0.00045212,1.92E-05,0,0.047296158,0.054158,3.1118,0.015181,0.0010586,0,3.1821976,0.0050972,0.13242,0.0015501,7.19E-05,0,0.139139218,0.0067219,0.37971,0.0023975,0.00015199,0,0.38898139,0.011684035,0.104882857,0.027032873,0.007625291,0.024179422,0.015311675,0.014218629,0.014542198,0.031154837,0.120539158,0.034076858,0.033547339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
