"","country","species","area","year","production"
"50751","Albania","European seabass","Mediterranean and Black Sea",2000,NA
"50752","Albania","Gilthead seabream","Mediterranean and Black Sea",2000,NA
"50753","Albania","Kuruma prawn","Mediterranean and Black Sea",2000,2
"50754","Argentina","Blue mussel","Atlantic, Southwest",2000,NA
"50755","Argentina","Longrayed whiptail","Atlantic, Southwest",2000,NA
"50756","Argentina","Pacific cupped oyster","Atlantic, Southwest",2000,10
"50757","Argentina","River Plata mussel","Atlantic, Southwest",2000,20
"50758","Australia","Abalones nei","Indian Ocean, Eastern",2000,40
"50759","Australia","Aquatic invertebrates nei","Indian Ocean, Eastern",2000,NA
"50760","Australia","Atlantic salmon","Pacific, Southwest",2000,10907
"50761","Australia","Australian mussel","Indian Ocean, Eastern",2000,2017
"50762","Australia","Brown tiger prawn","Pacific, Southwest",2000,NA
"50763","Australia","Chinook(=Spring=King) salmon","Pacific, Southwest",2000,NA
"50764","Australia","Cupped oysters nei","Indian Ocean, Eastern",2000,NA
"50765","Australia","Eastern king prawn","Pacific, Southwest",2000,NA
"50766","Australia","Flat and cupped oysters nei","Indian Ocean, Eastern",2000,NA
"50767","Australia","Flat oysters nei","Pacific, Western Central",2000,NA
"50768","Australia","Giant tiger prawn","Pacific, Western Central",2000,NA
"50769","Australia","Marine crustaceans nei","Pacific, Southwest",2000,NA
"50770","Australia","Marine fishes nei","Indian Ocean, Eastern",2000,82
"50771","Australia","Marine fishes nei","Pacific, Southwest",2000,NA
"50772","Australia","Pacific cupped oyster","Indian Ocean, Eastern",2000,4693
"50773","Australia","Rainbow trout","Pacific, Southwest",2000,NA
"50774","Australia","Southern Australia scallop","Pacific, Southwest",2000,NA
"50775","Australia","Southern bluefin tuna","Indian Ocean, Eastern",2000,2649
"50776","Australia","Sydney cupped oyster","Indian Ocean, Eastern",2000,NA
"50777","Australia","Sydney cupped oyster","Pacific, Southwest",2000,4961
"50778","Bahamas","Brine shrimp","Atlantic, Western Central",2000,NA
"50779","Bahamas","Cobia","Atlantic, Western Central",2000,NA
"50780","Bahamas","Florida pompano","Atlantic, Western Central",2000,NA
"50781","Bahamas","Red drum","Atlantic, Western Central",2000,NA
"50782","Bahrain","Barramundi(=Giant seaperch)","Indian Ocean, Western",2000,NA
"50783","Bahrain","Gilthead seabream","Indian Ocean, Western",2000,NA
"50784","Bahrain","Mangrove red snapper","Indian Ocean, Western",2000,NA
"50785","Bahrain","Orange-spotted grouper","Indian Ocean, Western",2000,NA
"50786","Bahrain","Sobaity seabream","Indian Ocean, Western",2000,12
"50787","Bahrain","White-spotted spinefoot","Indian Ocean, Western",2000,NA
"50788","Belize","Cobia","Atlantic, Western Central",2000,NA
"50789","Belize","Eucheuma seaweeds nei","Atlantic, Western Central",2000,NA
"50790","Belize","Palinurid spiny lobsters nei","Atlantic, Western Central",2000,247730
"50791","Bonaire/S.Eustatius/Saba","Cobia","Atlantic, Western Central",2000,NA
"50792","Bosnia and Herzegovina","Common dentex","Mediterranean and Black Sea",2000,88746
"50793","Bosnia and Herzegovina","European flat oyster","Mediterranean and Black Sea",2000,NA
"50794","Bosnia and Herzegovina","European seabass","Mediterranean and Black Sea",2000,11107
"50795","Bosnia and Herzegovina","Gilthead seabream","Mediterranean and Black Sea",2000,13
"50796","Bosnia and Herzegovina","Marine fishes nei","Mediterranean and Black Sea",2000,1674
"50797","Bosnia and Herzegovina","Mediterranean mussel","Mediterranean and Black Sea",2000,NA
"50798","Brazil","Cupped oysters nei","Atlantic, Southwest",2000,14160
"50799","Brazil","Elkhorn sea moss","Atlantic, Southwest",2000,NA
"50800","Brazil","Gracilaria seaweeds","Atlantic, Southwest",2000,212429
"50801","Brazil","Groupers nei","Atlantic, Southwest",2000,3
"50802","Brazil","Marine fishes nei","Atlantic, Southwest",2000,2898
"50803","Brazil","Marine molluscs nei","Atlantic, Southwest",2000,NA
"50804","Brazil","Mullets nei","Atlantic, Southwest",2000,86
"50805","Brazil","Pacific lion's paw","Atlantic, Southwest",2000,NA
"50806","Brazil","Scallops nei","Atlantic, Southwest",2000,NA
"50807","Brazil","Snooks(=Robalos) nei","Atlantic, Southwest",2000,NA
"50808","Brazil","South American rock mussel","Atlantic, Southwest",2000,NA
"50809","Brazil","Whiteleg shrimp","Atlantic, Southwest",2000,NA
"50810","Bulgaria","Mediterranean mussel","Mediterranean and Black Sea",2000,12
"50811","Cambodia","Barramundi(=Giant seaperch)","Pacific, Western Central",2000,NA
"50812","Cambodia","Blood cockle","Pacific, Western Central",2000,NA
"50813","Cambodia","Eucheuma seaweeds nei","Pacific, Western Central",2000,273
"50814","Cambodia","Green mussel","Pacific, Western Central",2000,NA
"50815","Cambodia","Marine fishes nei","Pacific, Western Central",2000,NA
"50816","Cambodia","Orange-spotted grouper","Pacific, Western Central",2000,16957
"50817","Cambodia","Snappers nei","Pacific, Western Central",2000,98
"50818","Canada","American cupped oyster","Atlantic, Northwest",2000,NA
"50819","Canada","Atlantic bluefin tuna","Atlantic, Northwest",2000,NA
"50820","Canada","Atlantic cod","Atlantic, Northwest",2000,NA
"50821","Canada","Atlantic salmon","Atlantic, Northwest",2000,NA
"50822","Canada","Atlantic salmon","Pacific, Northeast",2000,NA
"50823","Canada","Blue mussel","Atlantic, Northwest",2000,NA
"50824","Canada","Blue mussel","Pacific, Northeast",2000,NA
"50825","Canada","Butter clam","Atlantic, Northwest",2000,NA
"50826","Canada","Chinook(=Spring=King) salmon","Pacific, Northeast",2000,NA
"50827","Canada","Coho(=Silver) salmon","Pacific, Northeast",2000,NA
"50828","Canada","Japanese carpet shell","Pacific, Northeast",2000,2017
"50829","Canada","Marine molluscs nei","Atlantic, Northwest",2000,NA
"50830","Canada","Marine molluscs nei","Pacific, Northeast",2000,NA
"50831","Canada","Pacific cupped oyster","Pacific, Northeast",2000,NA
"50832","Canada","Rainbow trout","Pacific, Northeast",2000,NA
"50833","Canada","Salmonids nei","Atlantic, Northwest",2000,21287
"50834","Canada","Scallops nei","Atlantic, Northwest",2000,NA
"50835","Canada","Scallops nei","Pacific, Northeast",2000,NA
"50836","Channel Islands","Blue mussel","Atlantic, Northeast",2000,NA
"50837","Channel Islands","European flat oyster","Atlantic, Northeast",2000,NA
"50838","Channel Islands","Great Atlantic scallop","Atlantic, Northeast",2000,NA
"50839","Channel Islands","Grooved carpet shell","Atlantic, Northeast",2000,NA
"50840","Channel Islands","Pacific cupped oyster","Atlantic, Northeast",2000,908
"50841","Channel Islands","Tuberculate abalone","Atlantic, Northeast",2000,NA
"50842","Channel Islands","Turbot","Atlantic, Northeast",2000,NA
"50843","Chile","[Porphyra columbina]","Pacific, Southeast",2000,NA
"50844","Chile","Atlantic salmon","Pacific, Southeast",2000,NA
"50845","Chile","Chilean flat oyster","Pacific, Southeast",2000,NA
"50846","Chile","Chilean mussel","Pacific, Southeast",2000,800
"50847","Chile","Chinook(=Spring=King) salmon","Pacific, Southeast",2000,NA
"50848","Chile","Cholga mussel","Pacific, Southeast",2000,24122
"50849","Chile","Choro mussel","Pacific, Southeast",2000,NA
"50850","Chile","Coho(=Silver) salmon","Pacific, Southeast",2000,NA
"50851","Chile","Giant kelp","Pacific, Southeast",2000,224
"50852","Chile","Gracilaria seaweeds","Pacific, Southeast",2000,NA
"50853","Chile","Japanese abalone","Pacific, Southeast",2000,NA
"50854","Chile","Masu(=Cherry) salmon","Pacific, Southeast",2000,NA
"50855","Chile","Pacific cupped oyster","Pacific, Southeast",2000,NA
"50856","Chile","Peruvian calico scallop","Pacific, Southeast",2000,60819
"50857","Chile","Rainbow trout","Pacific, Southeast",2000,NA
"50858","Chile","Red abalone","Pacific, Southeast",2000,NA
"50859","Chile","Yellowtail amberjack","Pacific, Southeast",2000,NA
"50860","China","Abalones nei","Pacific, Northwest",2000,NA
"50861","China","Amberjacks nei","Pacific, Northwest",2000,NA
"50862","China","Aquatic invertebrates nei","Pacific, Northwest",2000,3058
"50863","China","Blood cockle","Pacific, Northwest",2000,NA
"50864","China","Bright green nori","Pacific, Northwest",2000,NA
"50865","China","Cobia","Pacific, Northwest",2000,NA
"50866","China","Constricted tagelus","Pacific, Northwest",2000,NA
"50867","China","Cupped oysters nei","Pacific, Northwest",2000,NA
"50868","China","Eucheuma seaweeds nei","Pacific, Northwest",2000,NA
"50869","China","Fusiform sargassum","Pacific, Northwest",2000,5000
"50870","China","Gracilaria seaweeds","Pacific, Northwest",2000,NA
"50871","China","Groupers nei","Pacific, Northwest",2000,2511
"50872","China","Indo-Pacific swamp crab","Pacific, Northwest",2000,NA
"50873","China","Japanese carpet shell","Pacific, Northwest",2000,83
"50874","China","Japanese isinglass","Pacific, Northwest",2000,NA
"50875","China","Japanese kelp","Pacific, Northwest",2000,NA
"50876","China","Japanese sea cucumber","Pacific, Northwest",2000,119
"50877","China","Japanese seabass","Pacific, Northwest",2000,3
"50878","China","Jellyfishes nei","Pacific, Northwest",2000,2
"50879","China","Large yellow croaker","Pacific, Northwest",2000,147
"50880","China","Lefteye flounders nei","Pacific, Northwest",2000,NA
"50881","China","Marine crabs nei","Pacific, Northwest",2000,NA
"50882","China","Marine fishes nei","Pacific, Northwest",2000,10618
"50883","China","Marine molluscs nei","Pacific, Northwest",2000,1512
"50884","China","Nori nei","Pacific, Northwest",2000,9
"50885","China","Pearl oyster shells nei","Pacific, Northwest",2000,NA
"50886","China","Pen shells nei","Pacific, Northwest",2000,NA
"50887","China","Porgies, seabreams nei","Pacific, Northwest",2000,NA
"50888","China","Portunus swimcrabs nei","Pacific, Northwest",2000,390
"50889","China","Red drum","Pacific, Northwest",2000,1815
"50890","China","Righteye flounders nei","Pacific, Northwest",2000,NA
"50891","China","Scallops nei","Pacific, Northwest",2000,NA
"50892","China","Sea mussels nei","Pacific, Northwest",2000,20
"50893","China","Sea snails","Pacific, Northwest",2000,27
"50894","China","Sea urchins nei","Pacific, Northwest",2000,NA
"50895","China","Seaweeds nei","Pacific, Northwest",2000,12
"50896","China","Snubnose pompano","Pacific, Northwest",2000,NA
"50897","China","Tiger pufferfish","Pacific, Northwest",2000,181
"50898","China","Turbot","Pacific, Northwest",2000,NA
"50899","China","Wakame","Pacific, Northwest",2000,NA
"50900","China, Hong Kong SAR","Areolate grouper","Pacific, Northwest",2000,NA
"50901","China, Hong Kong SAR","Barramundi(=Giant seaperch)","Pacific, Northwest",2000,NA
"50902","China, Hong Kong SAR","Cupped oysters nei","Pacific, Northwest",2000,15460
"50903","China, Hong Kong SAR","Goldlined seabream","Pacific, Northwest",2000,NA
"50904","China, Hong Kong SAR","Greasy grouper","Pacific, Northwest",2000,NA
"50905","China, Hong Kong SAR","Hong Kong grouper","Pacific, Northwest",2000,8242
"50906","China, Hong Kong SAR","Mangrove red snapper","Pacific, Northwest",2000,9
"50907","China, Hong Kong SAR","Marine fishes nei","Pacific, Northwest",2000,NA
"50908","China, Hong Kong SAR","Orange-spotted grouper","Pacific, Northwest",2000,NA
"50909","China, Hong Kong SAR","Russell's snapper","Pacific, Northwest",2000,NA
"50910","China, Hong Kong SAR","Silver seabream","Pacific, Northwest",2000,NA
"50911","China, Hong Kong SAR","Snappers nei","Pacific, Northwest",2000,NA
"50912","China, Hong Kong SAR","Snubnose pompano","Pacific, Northwest",2000,113
"50913","Colombia","Cobia","Atlantic, Western Central",2000,NA
"50914","Colombia","Cupped oysters nei","Atlantic, Western Central",2000,NA
"50915","Colombia","Tarpon","Atlantic, Western Central",2000,NA
"50916","Colombia","Whiteleg shrimp","Atlantic, Western Central",2000,NA
"50917","Colombia","Whiteleg shrimp","Pacific, Southeast",2000,NA
"50918","Cook Islands","Blacklip pearl oyster","Pacific, Eastern Central",2000,NA
"50919","Cook Islands","Giant clams nei","Pacific, Eastern Central",2000,NA
"50920","Costa Rica","Natantian decapods nei","Pacific, Eastern Central",2000,NA
"50921","Croatia","Atlantic bluefin tuna","Mediterranean and Black Sea",2000,NA
"50922","Croatia","Common dentex","Mediterranean and Black Sea",2000,NA
"50923","Croatia","European flat oyster","Mediterranean and Black Sea",2000,2626
"50924","Croatia","European seabass","Mediterranean and Black Sea",2000,NA
"50925","Croatia","Gilthead seabream","Mediterranean and Black Sea",2000,NA
"50926","Croatia","Great Mediterranean scallop","Mediterranean and Black Sea",2000,87
"50927","Croatia","Marine fishes nei","Mediterranean and Black Sea",2000,169
"50928","Croatia","Marine molluscs nei","Mediterranean and Black Sea",2000,NA
"50929","Croatia","Meagre","Mediterranean and Black Sea",2000,NA
"50930","Croatia","Mediterranean mussel","Mediterranean and Black Sea",2000,NA
"50931","Croatia","Pargo breams nei","Mediterranean and Black Sea",2000,2248
"50932","Croatia","Rainbow trout","Mediterranean and Black Sea",2000,15
"50933","Croatia","Sharpsnout seabream","Mediterranean and Black Sea",2000,NA
"50934","Croatia","Turbot","Mediterranean and Black Sea",2000,NA
"50935","Cuba","Mangrove cupped oyster","Atlantic, Western Central",2000,3
"50936","Cuba","Tropical spiny lobsters nei","Atlantic, Western Central",2000,3052
"50937","Cyprus","Atlantic bluefin tuna","Mediterranean and Black Sea",2000,NA
"50938","Cyprus","European seabass","Mediterranean and Black Sea",2000,NA
"50939","Cyprus","Gilthead seabream","Mediterranean and Black Sea",2000,NA
"50940","Cyprus","Indian white prawn","Mediterranean and Black Sea",2000,1180
"50941","Cyprus","Japanese seabream","Mediterranean and Black Sea",2000,NA
"50942","Cyprus","Marbled spinefoot","Mediterranean and Black Sea",2000,NA
"50943","Cyprus","Meagre","Mediterranean and Black Sea",2000,95
"50944","Cyprus","Red porgy","Mediterranean and Black Sea",2000,7
"50945","Cyprus","Sharpsnout seabream","Mediterranean and Black Sea",2000,1384
"50946","Cyprus","Shi drum","Mediterranean and Black Sea",2000,NA
"50947","Denmark","Atlantic cod","Atlantic, Northeast",2000,NA
"50948","Denmark","Atlantic salmon","Atlantic, Northeast",2000,NA
"50949","Denmark","Blue mussel","Atlantic, Northeast",2000,NA
"50950","Denmark","Brown seaweeds","Atlantic, Northeast",2000,531
"50951","Denmark","European eel","Atlantic, Northeast",2000,NA
"50952","Denmark","European flounder","Atlantic, Northeast",2000,800
"50953","Denmark","Marine fishes nei","Atlantic, Northeast",2000,NA
"50954","Denmark","Rainbow trout","Atlantic, Northeast",2000,NA
"50955","Denmark","Sea belt","Atlantic, Northeast",2000,40
"50956","Denmark","Turbot","Atlantic, Northeast",2000,66
"50957","Dominican Republic","American cupped oyster","Atlantic, Western Central",2000,NA
"50958","Dominican Republic","Cobia","Atlantic, Western Central",2000,NA
"50959","Dominican Republic","European seabass","Atlantic, Western Central",2000,NA
"50960","Dominican Republic","Florida pompano","Atlantic, Western Central",2000,NA
"50961","Dominican Republic","Gilthead seabream","Atlantic, Western Central",2000,38347
"50962","Dominican Republic","Penaeus shrimps nei","Atlantic, Western Central",2000,1416
"50963","Ecuador","Marine fishes nei","Pacific, Southeast",2000,4
"50964","Ecuador","Pacific cupped oyster","Pacific, Southeast",2000,44735
"50965","Ecuador","Red drum","Pacific, Southeast",2000,NA
"50966","Ecuador","Scallops nei","Pacific, Southeast",2000,9
"50967","El Salvador","Black ark","Pacific, Eastern Central",2000,1
"50968","El Salvador","Cupped oysters nei","Pacific, Eastern Central",2000,NA
"50969","El Salvador","Grand ark","Pacific, Eastern Central",2000,NA
"50970","Estonia","Rainbow trout","Atlantic, Northeast",2000,NA
"50971","Falkland Is.(Malvinas)","Blue mussel","Atlantic, Southwest",2000,34424
"50972","Falkland Is.(Malvinas)","Pacific cupped oyster","Atlantic, Southwest",2000,2
"50973","Faroe Islands","Atlantic salmon","Atlantic, Northeast",2000,NA
"50974","Faroe Islands","Rainbow trout","Atlantic, Northeast",2000,25388
"50975","Fiji, Republic of","Anadara clams nei","Pacific, Western Central",2000,NA
"50976","Fiji, Republic of","Eucheuma seaweeds nei","Pacific, Western Central",2000,NA
"50977","Fiji, Republic of","Green mussel","Pacific, Western Central",2000,NA
"50978","Fiji, Republic of","Pearl oyster shells nei","Pacific, Western Central",2000,1961
"50979","France","Atlantic salmon","Atlantic, Northeast",2000,NA
"50980","France","Blue mussel","Atlantic, Northeast",2000,NA
"50981","France","Blue mussel","Mediterranean and Black Sea",2000,4964
"50982","France","Clams, etc. nei","Atlantic, Northeast",2000,NA
"50983","France","Clams, etc. nei","Mediterranean and Black Sea",2000,NA
"50984","France","Coho(=Silver) salmon","Atlantic, Northeast",2000,NA
"50985","France","Common edible cockle","Atlantic, Northeast",2000,NA
"50986","France","Common edible cockle","Mediterranean and Black Sea",2000,NA
"50987","France","European flat oyster","Atlantic, Northeast",2000,NA
"50988","France","European flat oyster","Mediterranean and Black Sea",2000,41
"50989","France","European seabass","Atlantic, Northeast",2000,NA
"50990","France","European seabass","Mediterranean and Black Sea",2000,922
"50991","France","Finfishes nei","Atlantic, Northeast",2000,NA
"50992","France","Gilthead seabream","Atlantic, Northeast",2000,NA
"50993","France","Gilthead seabream","Mediterranean and Black Sea",2000,NA
"50994","France","Great Atlantic scallop","Atlantic, Northeast",2000,NA
"50995","France","Grooved carpet shell","Atlantic, Northeast",2000,NA
"50996","France","Grooved carpet shell","Mediterranean and Black Sea",2000,NA
"50997","France","Harpoon seaweeds","Atlantic, Northeast",2000,NA
"50998","France","Japanese carpet shell","Atlantic, Northeast",2000,22
"50999","France","Japanese carpet shell","Mediterranean and Black Sea",2000,NA
"51000","France","Marine fishes nei","Atlantic, Northeast",2000,NA
"51001","France","Marine fishes nei","Mediterranean and Black Sea",2000,NA
"51002","France","Marine molluscs nei","Atlantic, Northeast",2000,127
"51003","France","Meagre","Mediterranean and Black Sea",2000,3383
"51004","France","Mediterranean mussel","Atlantic, Northeast",2000,NA
"51005","France","Mediterranean mussel","Mediterranean and Black Sea",2000,NA
"51006","France","Pacific cupped oyster","Atlantic, Northeast",2000,NA
"51007","France","Pacific cupped oyster","Mediterranean and Black Sea",2000,98
"51008","France","Periwinkles nei","Atlantic, Northeast",2000,NA
"51009","France","Rainbow trout","Atlantic, Northeast",2000,NA
"51010","France","Sea trout","Atlantic, Northeast",2000,4
"51011","France","Seaweeds nei","Atlantic, Northeast",2000,NA
"51012","France","Senegalese sole","Atlantic, Northeast",2000,NA
"51013","France","Tuberculate abalone","Atlantic, Northeast",2000,NA
"51014","France","Turbot","Atlantic, Northeast",2000,NA
"51015","France","Wakame nei","Atlantic, Northeast",2000,NA
"51016","France","White seabream","Mediterranean and Black Sea",2000,1158
"51017","French Polynesia","Barramundi(=Giant seaperch)","Pacific, Eastern Central",2000,NA
"51018","French Polynesia","Blacklip pearl oyster","Pacific, Eastern Central",2000,6
"51019","French Polynesia","Blue shrimp","Pacific, Eastern Central",2000,NA
"51020","French Polynesia","Marine fishes nei","Pacific, Eastern Central",2000,NA
"51021","French Polynesia","Orbicular batfish","Pacific, Eastern Central",2000,151
"51022","French Polynesia","Pearl oyster shells nei","Pacific, Eastern Central",2000,52
"51023","French Polynesia","Sea mussels nei","Pacific, Eastern Central",2000,NA
"51024","French Polynesia","Sixfinger threadfin","Pacific, Eastern Central",2000,NA
"51025","Germany","Bastard halibut","Atlantic, Northeast",2000,2086
"51026","Germany","Blue mussel","Atlantic, Northeast",2000,NA
"51027","Germany","Clams, etc. nei","Atlantic, Northeast",2000,NA
"51028","Germany","Common edible cockle","Atlantic, Northeast",2000,NA
"51029","Germany","Pacific cupped oyster","Atlantic, Northeast",2000,NA
"51030","Germany","Turbot","Atlantic, Northeast",2000,266
"51031","Greece","Atlantic bluefin tuna","Mediterranean and Black Sea",2000,NA
"51032","Greece","Common dentex","Mediterranean and Black Sea",2000,1
"51033","Greece","Common pandora","Mediterranean and Black Sea",2000,16371
"51034","Greece","European eel","Mediterranean and Black Sea",2000,NA
"51035","Greece","European flat oyster","Mediterranean and Black Sea",2000,92
"51036","Greece","European seabass","Mediterranean and Black Sea",2000,1730
"51037","Greece","Flathead grey mullet","Mediterranean and Black Sea",2000,9650
"51038","Greece","Gilthead seabream","Mediterranean and Black Sea",2000,820
"51039","Greece","Kuruma prawn","Mediterranean and Black Sea",2000,NA
"51040","Greece","Marine fishes nei","Mediterranean and Black Sea",2000,253
"51041","Greece","Meagre","Mediterranean and Black Sea",2000,10
"51042","Greece","Mediterranean mussel","Mediterranean and Black Sea",2000,NA
"51043","Greece","Red porgy","Mediterranean and Black Sea",2000,NA
"51044","Greece","Sciaenas nei","Mediterranean and Black Sea",2000,54
"51045","Greece","Sharpsnout seabream","Mediterranean and Black Sea",2000,84
"51046","Greece","Shi drum","Mediterranean and Black Sea",2000,8
"51047","Greece","Venus clams nei","Mediterranean and Black Sea",2000,61
"51048","Greece","White seabream","Mediterranean and Black Sea",2000,64143
"51049","Guadeloupe","Red drum","Atlantic, Western Central",2000,NA
"51050","Iceland","Abalones nei","Atlantic, Northeast",2000,NA
"51051","Iceland","Atlantic cod","Atlantic, Northeast",2000,NA
"51052","Iceland","Atlantic halibut","Atlantic, Northeast",2000,16125
"51053","Iceland","Atlantic salmon","Atlantic, Northeast",2000,NA
"51054","Iceland","Atlantic wolffish","Atlantic, Northeast",2000,429
"51055","Iceland","Blue mussel","Atlantic, Northeast",2000,1740
"51056","Iceland","European seabass","Atlantic, Northeast",2000,NA
"51057","Iceland","Haddock","Atlantic, Northeast",2000,29.9
"51058","Iceland","Rainbow trout","Atlantic, Northeast",2000,NA
"51059","Iceland","Spotted wolffish","Atlantic, Northeast",2000,NA
"51060","Iceland","Turbot","Atlantic, Northeast",2000,40
"51061","India","Elkhorn sea moss","Indian Ocean, Eastern",2000,NA
"51062","India","Green mussel","Indian Ocean, Western",2000,NA
"51063","India","Indian backwater oyster","Indian Ocean, Western",2000,NA
"51064","India","Rooster venus","Indian Ocean, Western",2000,400
"51065","Indonesia","Barramundi(=Giant seaperch)","Pacific, Western Central",2000,NA
"51066","Indonesia","Eucheuma seaweeds nei","Pacific, Western Central",2000,65
"51067","Indonesia","Groupers nei","Pacific, Western Central",2000,2039
"51068","Indonesia","Marine fishes nei","Pacific, Western Central",2000,2
"51069","Indonesia","Marine molluscs nei","Pacific, Western Central",2000,NA
"51070","Indonesia","Milkfish","Pacific, Western Central",2000,NA
"51071","Indonesia","Pearl oyster shells nei","Pacific, Western Central",2000,NA
"51072","Indonesia","Penguin wing oyster","Pacific, Western Central",2000,NA
"51073","Indonesia","Red seaweeds","Pacific, Western Central",2000,NA
"51074","Indonesia","Sea cucumbers nei","Pacific, Western Central",2000,200
"51075","Indonesia","Tropical spiny lobsters nei","Pacific, Western Central",2000,NA
"51076","Ireland","Abalones nei","Atlantic, Northeast",2000,NA
"51077","Ireland","Aquatic invertebrates nei","Atlantic, Northeast",2000,85
"51078","Ireland","Atlantic salmon","Atlantic, Northeast",2000,221
"51079","Ireland","Babberlocks","Atlantic, Northeast",2000,2000
"51080","Ireland","Blue mussel","Atlantic, Northeast",2000,NA
"51081","Ireland","Brown seaweeds","Atlantic, Northeast",2000,NA
"51082","Ireland","Dulse","Atlantic, Northeast",2000,NA
"51083","Ireland","European flat oyster","Atlantic, Northeast",2000,23
"51084","Ireland","Great Atlantic scallop","Atlantic, Northeast",2000,NA
"51085","Ireland","Japanese carpet shell","Atlantic, Northeast",2000,NA
"51086","Ireland","Marine molluscs nei","Atlantic, Northeast",2000,NA
"51087","Ireland","Pacific cupped oyster","Atlantic, Northeast",2000,NA
"51088","Ireland","Rainbow trout","Atlantic, Northeast",2000,12
"51089","Ireland","Stony sea urchin","Atlantic, Northeast",2000,33
"51090","Ireland","Tangle","Atlantic, Northeast",2000,17.97
"51091","Ireland","Turbot","Atlantic, Northeast",2000,NA
"51092","Israel","Cupped oysters nei","Mediterranean and Black Sea",2000,NA
"51093","Israel","European seabass","Mediterranean and Black Sea",2000,NA
"51094","Israel","Gilthead seabream","Mediterranean and Black Sea",2000,5
"51095","Israel","Marine fishes nei","Mediterranean and Black Sea",2000,NA
"51096","Israel","Red drum","Mediterranean and Black Sea",2000,NA
"51097","Israel","Striped bass, hybrid","Mediterranean and Black Sea",2000,37
"51098","Israel","Tilapias nei","Mediterranean and Black Sea",2000,4800
"51099","Italy","Atlantic bluefin tuna","Mediterranean and Black Sea",2000,NA
"51100","Italy","Common sole","Mediterranean and Black Sea",2000,28
"51101","Italy","Cupped oysters nei","Mediterranean and Black Sea",2000,NA
"51102","Italy","European eel","Mediterranean and Black Sea",2000,NA
"51103","Italy","European seabass","Mediterranean and Black Sea",2000,NA
"51104","Italy","Flathead grey mullet","Mediterranean and Black Sea",2000,NA
"51105","Italy","Gilthead seabream","Mediterranean and Black Sea",2000,27
"51106","Italy","Grooved carpet shell","Mediterranean and Black Sea",2000,NA
"51107","Italy","Japanese carpet shell","Mediterranean and Black Sea",2000,NA
"51108","Italy","Kuruma prawn","Mediterranean and Black Sea",2000,NA
"51109","Italy","Marine fishes nei","Mediterranean and Black Sea",2000,NA
"51110","Italy","Meagre","Mediterranean and Black Sea",2000,NA
"51111","Italy","Mediterranean mussel","Mediterranean and Black Sea",2000,NA
"51112","Italy","Porgies, seabreams nei","Mediterranean and Black Sea",2000,NA
"51113","Italy","Sharpsnout seabream","Mediterranean and Black Sea",2000,NA
"51114","Italy","Shi drum","Mediterranean and Black Sea",2000,425
"51115","Italy","Venus clams nei","Mediterranean and Black Sea",2000,NA
"51116","Italy","White seabream","Mediterranean and Black Sea",2000,NA
"51117","Jamaica","Mangrove cupped oyster","Atlantic, Western Central",2000,8
"51118","Japan","Aquatic invertebrates nei","Pacific, Northwest",2000,NA
"51119","Japan","Bastard halibut","Pacific, Northwest",2000,NA
"51120","Japan","Blackhead seabream","Pacific, Northwest",2000,NA
"51121","Japan","Clams, etc. nei","Pacific, Northwest",2000,NA
"51122","Japan","Coho(=Silver) salmon","Pacific, Northwest",2000,NA
"51123","Japan","Crimson seabream","Pacific, Northwest",2000,NA
"51124","Japan","Filefishes nei","Pacific, Northwest",2000,NA
"51125","Japan","Flathead grey mullet","Pacific, Northwest",2000,2
"51126","Japan","Gazami crab","Pacific, Northwest",2000,127
"51127","Japan","Japanese amberjack","Pacific, Northwest",2000,NA
"51128","Japan","Japanese jack mackerel","Pacific, Northwest",2000,415
"51129","Japan","Japanese kelp","Pacific, Northwest",2000,NA
"51130","Japan","Kuruma prawn","Pacific, Northwest",2000,NA
"51131","Japan","Laver (Nori)","Pacific, Northwest",2000,NA
"51132","Japan","Marine crustaceans nei","Pacific, Northwest",2000,NA
"51133","Japan","Marine fishes nei","Pacific, Northwest",2000,NA
"51134","Japan","Octopuses, etc. nei","Pacific, Northwest",2000,NA
"51135","Japan","Pacific bluefin tuna","Pacific, Northwest",2000,NA
"51136","Japan","Pacific cupped oyster","Pacific, Northwest",2000,614
"51137","Japan","Pearl oyster shells nei","Pacific, Northwest",2000,NA
"51138","Japan","Sea squirts nei","Pacific, Northwest",2000,NA
"51139","Japan","Seaweeds nei","Pacific, Northwest",2000,NA
"51140","Japan","Silver seabream","Pacific, Northwest",2000,NA
"51141","Japan","Spiny lobsters nei","Pacific, Northwest",2000,8
"51142","Japan","Tiger pufferfish","Pacific, Northwest",2000,NA
"51143","Japan","Wakame","Pacific, Northwest",2000,NA
"51144","Japan","White trevally","Pacific, Northwest",2000,630
"51145","Japan","Yesso scallop","Pacific, Northwest",2000,NA
"51146","Kenya","Penaeus shrimps nei","Indian Ocean, Western",2000,NA
"51147","Kenya","Spiny eucheuma","Indian Ocean, Western",2000,NA
"51148","Kiribati","Eucheuma seaweeds nei","Pacific, Western Central",2000,NA
"51149","Korea, Dem. People's Rep","Gelidium seaweeds","Pacific, Northwest",2000,NA
"51150","Korea, Dem. People's Rep","Gracilaria seaweeds","Pacific, Northwest",2000,NA
"51151","Korea, Dem. People's Rep","Japanese kelp","Pacific, Northwest",2000,NA
