"","country","year","Q.balance","UV.balance","energy_adequacy","gdp","polyunsatFA_percentseafood","calories_percentseafood","protein_percentseafood","vitaminA_percentseafood","thiamin_percentseafood","niacin_percentseafood","riboflavin_percentseafood","B6_percentseafood","iron_percentseafood","calcium_percentseafood","zinc_percentseafood","native","fishmeal","habitat","spp_farmed","prod_ratio","Q.balance_q","UV.balance_q","prod_ratio_q","spp_farmed_q","energy_adequacy_q","gdp_q","vitaminA_percentseafood_q","thiamin_percentseafood_q","niacin_percentseafood_q","riboflavin_percentseafood_q","B6_percentseafood_q","iron_percentseafood_q","calcium_percentseafood_q","zinc_percentseafood_q","vitamins_all","polyunsatFA_percentseafood_q","calories_percentseafood_q","protein_percentseafood_q","native_q","fishmeal_q","habitat_q","trade","fs","nutrition","ecol","totscore"
"135","Saint Vincent and the Grenadines",2011,3.969114878,2.755048962,120,9871.6,0.010930262,0.010012001,0.061529093,0.013094446,0.008784797,0.037032068,0.018270218,0.039893428,0.010583941,0.014925191,0.017655057,NA,NA,NA,NA,NA,5,5,NA,NA,3,3,4,3,3,4,4,3,4,4,3.625,4,4,4,NA,NA,NA,NA,3,3.875,NA,NA
"136","Samoa",2011,1.118307652,1.023639668,127,5671.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0.000436604959832344,4,3,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,3,NA,NA,NA
"137","Sao Tome and Principe",2011,0.673080868,0.471634364,121,2839.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"138","Saudi Arabia",2011,1.631346912,1.00160224,130,47474,0.00263938,0.002679948,0.016589777,0.005699167,0.00243316,0.011344011,0.005641684,0.009062239,0.002419787,0.003526054,0.004476105,9.7,1.3,4.9,19,0.249313751337603,4,3,4,4,4,5,3,1,1,2,1,1,2,2,1.625,2,2,1,3,1,3,3.66666666666667,4.5,1.875,2.33333333333333,3.34722222222222
"139","Senegal",2011,0.269532161,3.678674347,109,2159,0.014096162,0.014059013,0.112362235,0.006544645,0.030397213,0.165726229,0.048173133,0.070003032,0.019187752,0.072478777,0.014467811,7,7.7,6,11,0.000783501196345877,2,5,1,3,1,1,3,5,5,5,5,4,5,3,4.375,4,5,5,2,4,4,2.66666666666667,1,3.79166666666667,3.33333333333333,2.48611111111111
"140","Seychelles",2011,0.177102053,9.843241056,NA,22556.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,5,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,NA,NA,NA,NA
"141","Sierra Leone",2011,0.708356598,1.055401292,106,1374.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.000371287128712871,3,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33333333333333,1,NA,NA,NA
"142","Singapore",2011,0.559339507,0.513559733,NA,74949.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1.2230180042722,3,1,5,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"143","Slovenia",2011,0.814998806,1.125875338,127,28513.5,0.002881701,0.003602364,0.020872681,0.004024573,0.004988749,0.021789327,0.006095956,0.015486109,0.009732657,0.002821205,0.00791408,NA,NA,NA,28,1.57166811086979,3,3,5,5,4,4,3,3,2,2,2,3,2,2,2.375,2,2,2,NA,NA,NA,3.66666666666667,4,2.125,NA,3.26388888888889
"144","Solomon Islands",2011,0.301029904,0.907809903,115,1976.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.208115381394001,2,3,4,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.5,NA,NA,NA
"145","Somalia",2011,6.597698869,0.732914792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","South Africa",2011,1.111196301,0.778605878,125,12290.9,0.002822887,0.002921227,0.019495008,0.002342293,0.002541571,0.018572423,0.004051328,0.012579293,0.003066514,0.018428043,0.003259289,2.4,9.6,7.1,27,0.0112295053458266,4,2,2,5,3,3,2,2,2,1,2,1,4,1,1.875,2,2,2,1,4,5,2.66666666666667,3,1.625,3.33333333333333,2.43055555555556
"147","Spain",2011,0.923345622,0.862202822,127,32530.1,0.006947444,0.013028301,0.077250183,0.018197938,0.015372611,0.062768166,0.022534013,0.048783017,0.042376803,0.013750998,0.038461347,10,9.6,6.8,80,0.269311168373956,4,3,4,5,4,4,5,4,4,4,4,5,4,5,4.375,3,4,4,4,4,5,3.66666666666667,4,4.125,4.33333333333333,3.93055555555556
"148","Sri Lanka",2011,7.254664223,0.725660514,108,8949.3,0.088149854,0.014222915,0.117675818,0.042896908,0.006980789,0.061475911,0.009730927,0.03418845,0.060543076,0.268030073,0.020699205,10,1,1,18,0.0278190301818759,5,2,3,4,1,2,5,3,4,3,4,5,5,4,4.125,5,5,5,4,1,1,3.33333333333333,1.5,4.375,2,3.06944444444444
"149","Saint Pierre and Miquelon",2011,0.882950251,1.361923569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Sudan",2011,0.010053414,3.368559949,NA,3478.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,5,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Sudan (former)",2011,1.146941449,1.802489541,107,NA,0.000231785,0.000161528,0.001016383,0.000154955,0.000243038,0.001717278,0.000222038,0.000656393,0.000374639,0.000205849,0.000166221,NA,NA,NA,3,0.0281658404686796,4,4,3,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,3.66666666666667,NA,1,NA,NA
