"","","country","year","Q.balance","UV.balance","energy_adequacy","gdp","polyunsatFA_percentseafood","calories_percentseafood","protein_percentseafood","vitaminA_percentseafood","thiamin_percentseafood","niacin_percentseafood","riboflavin_percentseafood","B6_percentseafood","iron_percentseafood","calcium_percentseafood","zinc_percentseafood","native","fishmeal","habitat","spp_farmed","prod_ratio","vitamins_all","trade","fs","nutrition","ecol"
"32",43,"Comoros",2011,0.571796058963148,0.588752137998616,NA,0.00547339593993422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",44,"Congo",2011,0.99420339634877,0.728525566803621,0.833333333333333,0.0375677058403614,0.109412839629524,0.0862538766839066,0.192377902254055,0.0183093461654381,0.225108867177975,0.227776569260513,0.100024646947469,0.144918548801322,0.1255819331919,0.204682476678672,0.156824150328101,NA,NA,NA,0.0113636363636364,0.230313976199293,0.150403317318924,0.651014313117228,0.435450519586847,0.144661014283534,NA
"34",45,"Democratic Republic of the Congo",2011,0.815905876556485,0.927586421964939,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",46,"Cook Islands",2011,0.937401730709289,0.929704198968846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0454545454545455,0.153236743760366,NA,0.673447557812834,NA,NA,NA
"36",47,"Costa Rica",2011,0.904337697031557,0.899063417540001,1,0.0932956704966206,0.0113360614645263,0.0208624497195297,0.0389139654313057,0.000694952445306125,0.0177677174438341,0.0193686190341543,0.0133060473245195,0.0399994429983374,0.0332410384677007,0.010975601397589,0.0324433602644728,1,0.222222222222222,0.294117647058824,0.147727272727273,0.715411430597802,0.0209745974219892,0.83960418172312,0.54664783524831,0.0217190232719341,0.505446623093682
"37",48,"Croatia",2011,0.915594940578332,0.690555028525026,1,0.149468577973233,0.043635809571751,0.0754752405899467,0.119966237804963,0.0714644127063551,0.136565948365235,0.195536918923881,0.0647409440567603,0.141158702708551,0.251347696155249,0.0234464480696714,0.153086354054741,NA,NA,NA,0.261363636363636,0.589006434328033,0.129668428130055,0.731718801143797,0.574734288986616,0.116038610273373,NA
"38",49,"Cuba",2011,0.83666962863559,0.819273797836578,1,0.13713602141718,0.00631776277729471,0.0107457629363943,0.0204934183055616,0.00306601404537253,0.013144269275767,0.0128886487356325,0.00946279810799325,0.0165965089229262,0.0134507091270385,0.00659281327934956,0.0136823169861487,NA,NA,NA,0.136363636363636,0.707279075152627,0.0111105098100285,0.787740833874931,0.56856801070859,0.0114946384090435,NA
"39",50,"Curaçcao",2011,0.961080166903586,0.460852046348881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",51,"Cyprus",2011,0.956918033652524,0.722234392135428,1,0.242441402753402,0.0193737433440086,0.0545426259838629,0.0846134271565525,0.0486441339425299,0.0863832228100272,0.100509165524543,0.0406844373544571,0.0942871605411598,0.143170633181935,0.0221274511171615,0.140258118413182,NA,NA,NA,0.159090909090909,0.799104557291863,0.0845080403606245,0.826085661026605,0.621220701376701,0.0758721926699473,NA
"41",54,"Denmark",2011,0.896538244807222,0.730689979700642,1,0.319826996643453,0.0540947109666685,0.0701996352811455,0.0896426752100046,0.0318174196035727,0.135551463365552,0.173709204141262,0.0498355239561588,0.122723214447793,0.176357708062306,0.012091049783144,0.122414210652029,1,0.255555555555556,0.735294117647059,0.261363636363636,0.502028807385956,0.103062474251477,0.709752343964607,0.659913498321727,0.094403346860876,0.663616557734205
"42",55,"Djibouti",2011,0.829146669254958,0.803807312824791,1,0.0162239335791755,0.0104350918568848,0.00966158237508065,0.0203018986433457,0.00196239213961401,0.0195023094608013,0.0449001054232301,0.0136837879646749,0.0214116562750913,0.0097205944940235,0.0274793886042047,0.00655811087391245,NA,NA,NA,NA,NA,0.018152293154444,NA,0.508111966789588,0.0168742652828058,NA
"43",56,"Dominica",2011,0.950863631075169,0.169771711140906,NA,0.0717024605937215,0.115430574729535,0.125767260004491,0.210233741446796,0.0161641282145691,0.0813448730712206,0.112459198229667,0.0706924637822025,0.18062922987872,0.119827672027169,0.0426247899439792,0.141738826078692,NA,NA,NA,0.0227272727272727,0.385306639485432,0.0956851476532774,0.501980660567169,NA,0.110628432491549,NA
"44",57,"Dominican Republic",2011,0.93820612064492,0.84318491134689,1,0.0805878338850175,0.0123030833389681,0.0332318222168272,0.068904476307902,0.00128472797236608,0.0365807791683138,0.036651497323226,0.0280176729628979,0.0548203771011273,0.0488086253249492,0.0248014759728014,0.0462820011368213,NA,NA,NA,0.25,0.578188172811242,0.0346558946203129,0.786526401601017,0.540293916942509,0.0356078671660182,NA
"45",58,"Ecuador",2011,0.973178262888508,0.991579164829094,1,0.0697369219395013,0.0119598505003753,0.0253462774439752,0.043815358392705,0.000203886627747634,0.0334455528413973,0.0278220538750874,0.0144278087319155,0.0377360579411235,0.0324103895072606,0.0125170783702428,0.0439639275978713,0.988888888888889,0.222222222222222,0,0.170454545454545,0.672360815329492,0.0253158444365807,0.879039414349031,0.534868460969751,0.0257862038027001,0.403703703703704
"46",59,"Egypt",2011,0.987171793689644,0.561133744600627,1,0.0708170693249379,0.0264665155922558,0.0293295393209262,0.0515696910548685,0.0326689535879432,0.053913059152705,0.0558052911194275,0.0375913384164752,0.0541001475472886,0.0284806888172734,0.014565119093,0.0607922377936618,0.955555555555555,0.211111111111111,0.573529411764706,0.170454545454545,0.771746815067693,0.0422396044409718,0.773350784452655,0.535408534662469,0.0404802346814387,0.580065359477124
"47",60,"El Salvador",2011,0.932951499109292,0.875169112851036,1,0.0522800323295154,0.0116372175109964,0.0235246939171935,0.0460458553076575,0.00258547863606035,0.0241975677099856,0.0264144934110352,0.0171247024473036,0.0299446891376707,0.0217163927534804,0.011598451431008,0.0266644688091347,NA,NA,NA,0.113636363636364,0.541857867308892,0.0200307805419598,0.783326159756407,0.526140016164758,0.021950364642866,NA
"48",61,"Equatorial Guinea",2011,0.840100534954649,0.769817587748187,NA,0.270693773721857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0227272727272727,0.286169223421604,NA,0.632029115374813,NA,NA,NA
"49",62,"Eritrea",2011,0.984351310734388,0.75982870821319,NA,0.0059483012397725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0113636363636364,0,NA,0.581393339649193,NA,NA,NA
"50",63,"Estonia",2011,0.999784127443355,0.872940944162201,1,0.174814588431637,0.0264778135072562,0.0354319581905479,0.0542554557788144,0.0138632370404706,0.0517316880588223,0.0627754075491171,0.0231596017781226,0.0532113275466665,0.0590225239048017,0.00821886616467373,0.0577641375020349,NA,NA,NA,0.147727272727273,0.341846709986366,0.0412183486930887,0.738190593863974,0.587407294215818,0.040537456092848,NA
"51",66,"Falkland Islands",2011,0.438572591188056,0.494415191741904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",67,"Faroe Islands",2011,0.903965713832875,0.852913075228692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.222222222222222,0.294117647058824,0.0113636363636364,0.585209980184392,NA,0.780696256415319,NA,NA,0.505446623093682
"53",68,"Fiji",2011,0.987409154398788,0.775986529557683,1,0.0514583113296375,0.15362123018848,0.173308646895889,0.283824369965256,0.203422653963712,0.297103942677913,0.401730849180655,0.303466678582964,0.329293790888405,0.184911342395436,0.118299102730083,0.189964452662128,NA,NA,NA,NA,NA,0.253524101635162,NA,0.525729155664819,0.23990427819372,NA
"54",69,"Finland",2011,0.94053608609004,0.724678807761639,1,0.296885475163726,0.0820163012936127,0.102004309619421,0.123570436299615,0.0462698932370412,0.162195120561948,0.219558130302546,0.0815028570043836,0.164368606789061,0.230054153416276,0.0177373687555274,0.142385806351136,1,0.222222222222222,0.294117647058824,0.0454545454545455,0.527819280319918,0.13300899205224,0.731011391390532,0.648442737581863,0.124696634875506,0.505446623093682
"55",70,"France",2011,0.98022087185647,0.960060707430892,1,0.274967172358414,0.0345850749925065,0.090354885463194,0.131213300483853,0.05338786788941,0.135682078473085,0.153714147387337,0.0689451690155896,0.130976479708943,0.478526651090388,0.0279391871130248,0.260954743250325,0.311111111111111,0.977777777777778,0.676470588235294,0.647727272727273,0.642112860520621,0.163765790491013,0.860798146602661,0.637483586179207,0.142389053169787,0.655119825708061
"56",71,"French Guiana",2011,0.908157454724339,0.684617906529889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0568181818181818,0.234349927911539,NA,0.609041763055256,NA,NA,NA
"57",72,"French Polynesia",2011,0.863035132823944,0.952614902606207,NA,NA,0.104573738295742,0.228557509286942,0.329638269465517,0.221653769914007,0.391407989827749,0.371290776363704,0.279434416151177,0.375509001525641,0.480630071735537,0.199391210133746,0.437514426516993,NA,NA,NA,0.102272727272727,0.604933707216615,0.344603957771069,0.806861247548922,NA,0.31087283447425,NA
"58",73,"Gabon",2011,0.772996473759427,0.719913036875438,1,0.123472381710004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0227272727272727,0.321847461689493,NA,0.604918990774786,0.561736190855002,NA,NA
"59",74,"Gambia",2011,0.839515683416526,0.92076821702018,1,0.00685691343015709,0.0758981508181478,0.109146005212664,0.24816360903299,0.0249668773547634,0.302384549365932,0.409960944459711,0.181835618362801,0.21206609880892,0.140060462209815,0.386730326594469,0.141993150472233,NA,NA,NA,0.0454545454545455,0.219752527512123,0.22499975345358,0.66001214264961,0.503428456715079,0.203018708426586,NA
"60",75,"Georgia",2011,0.882838405956702,0.857705207336393,1,0.0427369826135222,0.0291841169198324,0.0378610234756419,0.0480165165352998,0.0623489485905106,0.034218012764935,0.0487230965576998,0.0349842199876131,0.0399958344322617,0.0409911215601292,0.013179798626125,0.0307901440135917,NA,NA,NA,0.0681818181818182,0.453207765080778,0.0381538970666083,0.731250459457958,0.521368491306761,0.0382084394057855,NA
"61",76,"Germany",2011,0.967323586871621,0.993466143804542,1,0.311050986402278,0.0114671940834919,0.0263520896142383,0.046959315838621,0.0160763122396479,0.045740168624749,0.0541319008727679,0.0182664950368012,0.0477709489716223,0.0724594861315947,0.00758439757681429,0.0611624550948637,1,1,0.882352941176471,0.272727272727273,0.584131559154874,0.0403990205686076,0.848307096610346,0.655525493201139,0.0370882512804738,0.96078431372549
"62",77,"Ghana",2011,0.939059918550061,0.893366140088732,1,0.0210771061937689,0.15893572578702,0.0986436776815879,0.232641446500223,0.0461282807429365,0.146496376262485,0.326734204103751,0.118376517863489,0.107008940206736,0.147890418367057,0.0901759589028224,0.109320481328338,NA,NA,NA,0.0454545454545455,0.505372062932231,0.136516397222202,0.779266040523675,0.510538553096884,0.143850184340586,NA
"63",78,"Greece",2011,0.949330623415958,0.964173022000719,1,0.194497690267363,0.0199570817668558,0.0444071328145181,0.0637886193176206,0.0311711649978967,0.0682425829022586,0.0855168031688523,0.0252259657460474,0.069546790662194,0.130772484502012,0.0108535244924071,0.0946473361358248,1,0.1,0.426470588235294,0.318181818181818,0.743782441007244,0.0644970815759366,0.885762028807974,0.597248845133681,0.0585572260460443,0.508823529411765
"64",79,"Greenland",2011,0.906400750649391,0.992963264574227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",80,"Grenada",2011,0.816255396726654,0.694866964018495,NA,0.0794327803008682,0.121436793826383,0.195258487611035,0.296404422897171,0.209126078089148,0.218169319581889,0.269728889844247,0.157281035633104,0.323492558849135,0.225963102952642,0.127147314722421,0.283166581316225,NA,NA,NA,0.0113636363636364,0,0.226759360123601,0.503707453581716,NA,0.2206522350294,NA
"66",81,"Guadeloupe",2011,0.966329437051955,0.926297140219385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0227272727272727,0.259659921036274,NA,0.717428832769205,NA,NA,NA
"67",82,"Guam",2011,0.912548788600767,0.0122433598034219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909090909090909,0.615095693714595,NA,0.513295947372928,NA,NA,NA
"68",83,"Guatemala",2011,0.940551379958,0.962822675354383,1,0.0463047648582063,0.00157344919617776,0.00346955859434615,0.00686314629777575,2.76733557709144e-05,0.00292269953763804,0.00394635929259079,0.00273373542445845,0.00446155502699423,0.00417593733113737,0.00261939078606024,0.00482180957752189,0.444444444444444,0,0.588235294117647,0.204545454545455,0.711261602461302,0.00321364504152149,0.871545219257895,0.523152382429103,0.00341957403822469,0.344226579520697
"69",84,"Guinea",2011,0.990019714957509,0.486208908388697,1,0.00424568334303369,0.0365168620030182,0.0380851455840713,0.107692326504343,0.00931951424044244,0.110555365133999,0.144200880001775,0.0563807355224204,0.0791331979104705,0.0769850758221731,0.0928864624375773,0.0701174937621023,NA,NA,NA,0.0227272727272727,0.268755750190544,0.07994734060387,0.581661457845583,0.502122841671517,0.0747157326293084,NA
"70",85,"Guinea-Bissau",2011,0.956981700630731,0.96289826279121,1,0.00596852591342491,0.00318163604372258,0.00427857114180482,0.0125300320377613,0.000907795067186185,0.0116681854856714,0.0165018125240132,0.0049938063987999,0.00925401367712553,0.00509234260463379,0.0239175144122776,0.00961363438443031,NA,NA,NA,NA,NA,0.0102436380692672,NA,0.502984262956713,0.00926721307067515,NA
"71",86,"Guyana",2011,0.918053179836046,0.93760806015995,1,0.0408995335591006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102272727272727,0.323660042946908,NA,0.726440427647635,0.52044976677955,NA,NA
"72",87,"Haiti",2011,0.887193917848083,0.702824264935682,0.333333333333333,0.00708013390232082,0.0134614396471781,0.0275934040376855,0.0574864282761839,0.00320609451343568,0.0263815801405596,0.0363305333589298,0.0259854205619118,0.0493440448860355,0.0344872824025331,0.0188255765932438,0.027921883010979,NA,NA,NA,0.0454545454545455,0.480025442477831,0.0278103019334536,0.690014541753865,0.170206733617827,0.0291839715844251,NA
"73",88,"Honduras",2011,0.968076285374835,0.9432970232748,1,0.0285886998006746,0.00562323257916266,0.00741418542900797,0.0146759905347064,0.000158470836001057,0.00663604591252088,0.00826502896947163,0.00657471459244353,0.0096571577754831,0.0118506684756286,0.00513852023784845,0.0120068467739068,0.444444444444444,0,0,0.0568181818181818,0.807123313162788,0.00753593169666301,0.906165540604141,0.514294349900337,0.00800007837419828,0.148148148148148
"74",90,"Iceland",2011,0.895340458684099,0.622203386699393,1,0.291690730283003,0.214982553373735,0.354919307930395,0.429052575170946,0.128393646594752,0.600974415317188,0.585667278514088,0.217992324125546,0.518316077100157,0.680391293005132,0.094996144180858,0.665843385481526,0.266666666666667,0.4,0.735294117647059,0.136363636363636,0.339258288432664,0.436571820539906,0.618934044605385,0.645845365141502,0.408320818254029,0.467320261437909
"75",91,"India",2011,0.888796786671647,0.186603822254426,1,0.0304778341322079,0.00505660634698944,0.00647071482381204,0.0120484733000617,0.0105864150006883,0.00782789364659828,0.0062822252610478,0.00790844225767073,0.00124349363827561,0.0246049034120859,0.0398640587342477,0.0119341771669326,1,0,0,0.295454545454545,0.695076450029617,0.0137814511396934,0.590159019651897,0.515238917066104,0.0121661275989464,0.333333333333333
"76",92,"Indonesia",2011,0.991231069216701,0.864414408027674,1,0.0618215839215343,0.121820572098918,0.0986222184628224,0.186092918932817,0.248244467708633,0.166424152640791,0.228738820815464,0.119780115113211,0.18576727159761,0.152581936911195,0.082365227109738,0.215638639421572,1,0.422222222222222,0.205882352941176,0.488636363636364,0.728798315576094,0.174942578914777,0.86148126427349,0.530910791960767,0.164188758255706,0.542701525054466
