"","year","country","Q.exp","Q.imp","V.exp","V.imp","Q.balance","V.balance","UV.balance","energy_adequacy","food_deficit","food_price","food_production","gdp","protein","protein_animal","undernourish","food_price_volatility","food_supply_variability","total_population","number_undernourished","dietary_energy_supply","fat_supply","food_over_acquisition","food_production_variability","native","ex.imp","fishmeal","intensity","nutri","hatchery","antibiotic","habitat","GMO","code","trace","employment","waste"
"13",2000,"Bangladesh",775537,63812,361600,148854,12.1534664326459,2.42922595294718,0.199879266249664,102,189,8.11,102,1645.7,48,7,"26.9",3.3,57,129.9,"34.9",2229,27,10,3.9,5,5,3,1,1,3,1,1,6,4,1,5,1
"24",2000,"Brazil",330609,2710870,307561,1119416,0.121956788779986,0.274751298891565,2.25285776741158,121,97,2.28,441,11377.1,79,40,"12.9",6,20,172,"22.1",2866,94,29.3,12.4,1.2,5,3.2,3.1,3.1,5.1,1.3,1.2,5.9,7,5.1,5.1,1.3
"31",2000,"Cambodia",145264,129601,172199,200098,1.1208555489541,0.860573319073654,0.767782538862103,97,243,7.09,140,1370.8,48,12,"35.2",17.5,77,12,"4.2",2049,28,7.4,4.6,5,5,3,1,1,3,10,1,7,3,5,3,1
"37",2000,"Chile",282625,154551,1095802,249594,1.82868438250157,4.39033790876383,2.40081774130866,119,34,2.19,386,14887.9,78,38,"5.1",4,20,15.3,"0.8",2810,81,21,12.2,3.1,3,3.2,3.2,3.2,3.5,3.2,3.2,5.2,4.2,4.7,5,3.9
"38",2000,"China",198904,342531,194056,306441,0.580689047122742,0.633257299121201,1.09052736961189,116,131,2.26,247,3848.5,82,27,"16.5",10.8,16,1301.8,"214.7",2787,73,23.4,1.7,2.6,3.4,9.9,6.9,6.9,4.9,9.8,5.2,7.1,6,5.8,6.1,1.9
"41",2000,"Colombia",165273,244141,137564,188267,0.67695716819379,0.730685675131595,1.07936766085388,121,70,2.64,253,8308.2,63,29,"10.2",8.8,29,39.2,"4.0",2757,70,28.9,4.8,10,5,3,3,3,5,1,3,5,3,5,5,3
"46",2000,"Costa Rica",348677,707677,403501,404522,0.492706418323614,0.997476033441939,2.02448353897186,118,36,6.6,532,9574.1,72,35,"5.6",5.6,35,3.8,"0.2",2788,75,20.7,6,10,5,3,1,1,5,5,3,5,5,5,3,5
"57",2000,"Ecuador",104794,89618,118062,124825,1.16934098060657,0.94582014820749,0.808848884879467,104,110,5.33,437,7387.6,56,28,"17.2",22.2,31,12.3,"2.1",2273,80,9.8,28.8,9.9,5,3,5,5,5,1,1,5,3,5,5,3
"58",2000,"Egypt",34668,64638,38925,306562,0.536340852130326,0.126972684155244,0.236738789616554,147,19,5.62,228,7556.3,94,18,"<5.0",3.7,15,65.1,"ns",3354,57,53.8,4.7,9.6,4.8,2.9,4.8,4.8,5,3.9,4.9,6.7,5.1,5.1,7,4.8
"82",2000,"Guatemala",20503,27379,90032,124788,0.748858614266409,0.72147962945155,0.963439046712871,105,138,5.39,211,6051,56,14,"22.3",8,72,10.9,"2.4",2152,42,14,5.8,5,5,1,3,3,5,1,5,5,1,1,3,5
"87",2000,"Honduras",210033,67409,223987,108927,3.11580056075598,2.05630376307068,0.659960008021747,113,128,5.42,172,3478.4,60,22,"19.2",21.6,23,6.1,"1.2",2391,67,23.7,18.6,5,5,1,5,5,3,1,1,5,2,2,3,1
"90",2000,"India",163337,854496,289426,68089,0.191150104857132,4.25070128802009,22.237504348727,108,120,4.91,151,2521.3,57,10,"17.3",3.9,25,1025,"177.3",2380,46,16.2,2.3,10,1,1,1,1,3,1,1,7,4,5,7,1
"91",2000,"Indonesia",118996,140452,209321,365883,0.847236066414149,0.572098184392278,0.675252396671017,109,113,5.87,162,5805.8,53,12,"16.1",12.5,34,206,"33.2",2463,43,18.3,9.7,10,2.6,4.8,6.6,6.6,3,3.4,2.4,7.5,4.5,2.9,6.8,2.4
"116",2000,"Madagascar",25690,30431,311524,41936,0.84420492261181,7.42855780236551,8.79947226484176,96,234,7.5,161,1446,47,13,"34.7",7.6,5,15.3,"5.3",2008,28,8.6,1.7,10,1,1,3,3,5,1,1,7,3,3,6,1
"118",2000,"Malaysia",466215,162576,367495,225421,2.8676741954532,1.63026071217855,0.568495791733726,127,14,2.69,363,16146.2,76,42,"<5.0",3.8,20,22.9,"ns",2880,85,34.5,15.8,10,4.3,8.3,5.9,5.9,2.9,8.3,4.3,9.3,4.6,4.6,5.1,6
"127",2000,"Mexico",133934,149655,93659,82429,0.894951722294611,1.13623845976537,1.26960866319372,130,33,3.3,256,14845,84,35,"5.0",4.4,16,102.3,"5.1",2997,83,37.3,6.2,9.5,5,3.4,3.4,3.4,4.9,3.4,3.2,5.1,5,5.1,3.2,5.3
"132",2000,"Morocco",156742,89239,224548,120284,1.75642936384316,1.86681520401716,1.06284672896408,135,43,5.51,187,4478.1,83,15,"6.2",11.1,60,28.4,"1.8",3097,61,42.6,26,8.3,3,4.3,4.6,8.1,5,5.2,4.5,5.7,5,6,7.8,5.9
"135",2000,"Namibia",144835,221373,170873,429444,0.654257745976248,0.397893555387897,0.608160251575137,96,243,2.89,207,6110.3,62,24,"34.2",7.3,35,1.9,"0.6",2160,47,5.1,35.6,4.4,1,10,7.1,3.4,4,8.8,7.8,8,3,5,4.6,9.4
"141",2000,"Nicaragua",104507,49371,127864,99236,2.1167689534342,1.28848401789673,0.608703191629073,97,281,3.78,161,3474.9,52,14,"37.8",7.7,31,5,"1.9",2094,46,9.4,4.2,10,5,3,1,10,5,5,3,5,3,5,3,3
"143",2000,"Nigeria",60328,107781,63684,127637,0.55972759577291,0.498946230325062,0.891409024841956,122,61,6.26,207,2836,59,7,"9.7",11.5,16,119.9,"11.7",2624,61,29.2,1.7,5.9,7.4,6.3,3,8.5,3,4,4,8,3.8,5,3,3
"146",2000,"Pakistan",48379,21848,93534,60999,2.21434456243134,1.53336939949835,0.692471002712747,111,159,6.25,179,3501.8,62,22,"22.1",8.5,19,140.5,"31.1",2397,65,22.1,2,4,3,3,5,8,3,4,5,5,5,5,3,3
"152",2000,"Peru",279560,413260,381652,559221,0.676474858442627,0.682470794194066,1.0088635012471,105,153,3.71,193,6506.2,62,21,"22.3",4,39,25.6,"5.7",2300,43,12.8,5.8,10,5,3.1,1.1,9.9,5,3.1,3.1,3.1,3.1,5.1,5,3.1
"153",2000,"Philippines",114088,20086,171382,40910,5.67997610275814,4.18924468345148,0.737546181121646,109,154,9.04,178,4227.3,53,21,"22.1",3.3,41,76,"16.8",2348,48,18.7,8.7,10,4,5.5,5.5,10,1,4,2.5,7.7,4.5,3,6.7,2.5
"167",2000,"Saudi Arabia",162988,52009,108120,89738,3.13384221961584,1.20484075865297,0.384461205835903,136,11,2.38,132,35342.2,84,33,"<5.0",5.6,61,19.7,"ns",3068,86,41.3,6.8,9.7,1.5,1.3,1.5,9.9,3.3,1.4,4.9,6.9,3.4,5,6.7,1.5
"168",2000,"Senegal",24708,152651,92952,89471,0.161859404786081,1.03890646131149,6.41857334570421,97,213,7.6,106,1923.9,60,17,"30.9",14.9,32,9.6,"3.0",2142,63,7.4,12.8,7,3.2,7.7,5.7,5.3,4.1,6.7,6,7,4,5.1,5.7,6.7
"178",2000,"South Africa",256490,158432,277475,402380,1.61892799434458,0.689584472389284,0.42595129295325,120,35,2.13,208,9926.9,74,25,"5.3",7.1,13,44.2,"2.3",2856,71,25,12.8,2.4,3.4,9.6,6.9,5.2,6.8,8.2,7.1,7.2,6,5.3,5,9
"180",2000,"Sri Lanka",348563,125746,165057,192808,2.77196093712722,0.856069250238579,0.308831642889522,102,265,8.42,96,5449.1,53,14,"30.7",5.9,44,18.7,"5.7",2332,44,15.8,5.5,10,1,1,1,10,1,5,1,10,3,1,5,1
"191",2000,"Thailand",765690,1205639,897992,413109,0.635090603406161,2.17374107075856,3.42272592146728,107,149,3.6,315,9228.2,59,24,"19.2",3.7,47,61.6,"11.8",2587,52,15.7,8.3,9.3,1.9,2.6,2,9.5,1.6,2.5,1.8,6.9,3.5,4.1,5.9,2.2
"197",2000,"Turkey",252598,480768,316229,241126,0.525405185037274,1.3114678632748,2.49610757682523,158,5,4,430,13011.5,106,27,"<5.0",19.8,36,62.2,"ns",3646,96,64.8,17.7,6.4,3,3.2,3.1,8.9,6.4,4.1,5.1,5.1,4.5,4.2,5,6
"228",2001,"Bangladesh",521038,73064,501363,154517,7.13125479032081,3.24471093795505,0.454998598894414,104,158,8.03,105,1697,49,7,"23.1",4.1,58,132.4,"30.5",2285,26,11.2,5.3,5,5,3,1,1,3,1,1,6,4,1,5,1
"239",2001,"Brazil",397418,2475812,345045,1064154,0.160520265674453,0.324243483555952,2.01995356906237,122,92,2.27,457,11352.6,79,41,"12.3",8.4,24,174.5,"21.4",2879,99,29.4,7.7,1.2,5,3.2,3.1,3.1,5.1,1.3,1.2,5.9,7,5.1,5.1,1.3
"246",2001,"Cambodia",109163,137299,137065,201651,0.795074982337817,0.679713961249882,0.854905482312208,99,221,6.9,144,1451.2,52,15,"32.0",16.2,52,12.2,"3.9",2114,30,8.4,3.6,5,5,3,1,1,3,10,1,7,3,5,3,1
"252",2001,"Chile",333113,160023,1082050,262524,2.08165701180455,4.12171839527053,1.98001802021049,119,33,2.12,394,15198,79,38,"<5.0",5.3,17,15.5,"ns",2834,82,21.3,12.6,3.1,3,3.2,3.2,3.2,3.5,3.2,3.2,5.2,4.2,4.7,5,3.9
"253",2001,"China",255894,340443,236562,289688,0.751650055956504,0.816609593769849,1.08642258095848,116,130,2.25,254,4123.8,83,27,"16.2",9.1,12,1309.6,"212.7",2802,75,23.7,1.5,2.6,3.4,9.9,6.9,6.9,4.9,9.8,5.2,7.1,6,5.8,6.1,1.9
"256",2001,"Colombia",181620,195179,106151,201746,0.930530436163727,0.526161609152102,0.565442664424062,122,68,2.64,256,8327.1,63,29,"9.9",7.5,21,39.9,"3.9",2786,72,29.2,3.8,10,5,3,3,3,5,1,3,5,3,5,5,3
"261",2001,"Costa Rica",306831,742431,228339,441184,0.413278809747977,0.51755956698339,1.25232543932994,119,34,6.55,531,9504.4,72,36,"5.2",4.8,34,3.9,"0.2",2801,77,21.2,6.9,10,5,3,1,1,5,5,3,5,5,5,3,5
"272",2001,"Ecuador",138803,85436,108701,111913,1.62464300763144,0.971299134148848,0.597853885183612,104,114,5.09,449,7550.3,57,29,"17.8",14.6,38,12.5,"2.2",2275,81,9.4,28.1,9.9,5,3,5,5,5,1,1,5,3,5,5,3
"273",2001,"Egypt",36795,75174,41954,288205,0.489464442493415,0.145569993580958,0.29740667746854,148,19,5.54,229,7681.2,94,18,"<5.0",4.7,16,66.1,"ns",3378,57,53.9,4.4,9.6,4.8,2.9,4.8,4.8,5,3.9,4.9,6.7,5.1,5.1,7,4.8
"297",2001,"Guatemala",21281,28820,86401,135871,0.738410825815406,0.63590464484695,0.861180013368221,106,137,5.51,209,6043.2,56,15,"22.1",4,50,11.2,"2.5",2174,45,13.8,8.2,5,5,1,3,3,5,1,5,5,1,1,3,5
"302",2001,"Honduras",266827,64867,234357,119374,4.11344751568594,1.96321644579222,0.477267897136361,114,127,5.34,166,3501.2,60,22,"19.0",3.9,38,6.2,"1.2",2406,68,23.3,20.5,5,5,1,5,5,3,1,1,5,2,2,3,1
"305",2001,"India",164927,932045,285148,104692,0.176951756621193,2.72368471325412,15.392244560108,107,118,4.8,152,2597.6,57,10,"17.0",4.6,19,1042.3,"177.0",2370,46,15.8,1.8,10,1,1,1,1,3,1,1,7,4,5,7,1
"306",2001,"Indonesia",140142,147628,194502,342673,0.94929146232422,0.567602349762018,0.59792210536932,108,122,5.69,164,5935.7,53,12,"17.2",13.4,39,209,"35.9",2442,44,17.2,7.6,10,2.6,4.8,6.6,6.6,3,3.4,2.4,7.5,4.5,2.9,6.8,2.4
"331",2001,"Madagascar",41909,30396,297401,31586,1.37876694301882,9.4155955170012,6.82899714464121,96,234,7.09,155,1486.7,46,12,"34.8",11.7,4,15.7,"5.5",2002,27,8.3,3.2,10,1,1,3,3,5,1,1,7,3,3,6,1
"333",2001,"Malaysia",450031,164748,374062,218006,2.7316325539612,1.71583350916947,0.628134815087521,125,15,2.66,377,15890.4,76,42,"<5.0",3.6,37,23.4,"ns",2858,86,33,14.7,10,4.3,8.3,5.9,5.9,2.9,8.3,4.3,9.3,4.6,4.6,5.1,6
"342",2001,"Mexico",175482,177267,104771,118762,0.989930443906649,0.882192957343258,0.891166609506202,132,31,3.26,263,14552.6,86,37,"<5.0",7.3,22,103.8,"ns",3035,83,37.9,4,9.5,5,3.4,3.4,3.4,4.9,3.4,3.2,5.1,5,5.1,3.2,5.3
"347",2001,"Morocco",252038,89977,224865,115829,2.80113806861754,1.94135320170251,0.693058733324287,134,45,5.41,181,4763.9,83,16,"6.5",9,51,28.7,"1.9",3086,61,41.7,17.3,8.3,3,4.3,4.6,8.1,5,5.2,4.5,5.7,5,6,7.8,5.9
"350",2001,"Namibia",156622,181357,156126,461722,0.863611550698346,0.338138533576481,0.391540077599762,99,213,2.94,201,6076.5,66,27,"30.4",8.3,63,1.9,"0.6",2229,50,6,34.2,4.4,1,10,7.1,3.4,4,8.8,7.8,8,3,5,4.6,9.4
"356",2001,"Nicaragua",97781,66848,115560,115178,1.46273635710866,1.00331660560176,0.685917595967179,100,256,3.93,171,3525.9,54,15,"34.8",10.5,26,5.1,"1.8",2173,48,10.7,9,10,5,3,1,10,5,5,3,5,3,5,3,3
"358",2001,"Nigeria",48523,107912,53107,121344,0.44965342130625,0.43765657964135,0.973319803438728,121,57,6.72,206,2887.3,59,8,"9.2",17.8,23,122.9,"11.3",2619,61,29.3,2.4,5.9,7.4,6.3,3,8.5,3,4,4,8,3.8,5,3,3
"361",2001,"Pakistan",39647,21968,90647,57509,1.80476147123088,1.57622285207533,0.873369072423911,109,162,6.14,177,3494.6,61,22,"22.4",7.9,19,143.8,"32.2",2377,65,21.4,1.6,4,3,3,5,8,3,4,5,5,5,5,3,3
"367",2001,"Peru",344617,452375,438807,440021,0.76179497098646,0.997241040768509,1.30906750339552,106,149,3.65,201,6460,63,22,"21.6",3.8,39,26,"5.6",2321,44,12.8,5.9,10,5,3.1,1.1,9.9,5,3.1,3.1,3.1,3.1,5.1,5,3.1
"368",2001,"Philippines",125460,22706,206201,35812,5.52541178543116,5.75787445548978,1.04207155576559,110,147,8.84,184,4258.3,54,22,"21.3",4.3,41,77.7,"16.5",2375,49,19,8.7,10,4,5.5,5.5,10,1,4,2.5,7.7,4.5,3,6.7,2.5
"382",2001,"Saudi Arabia",149529,76156,122343,102399,1.96345658910657,1.19476752702663,0.608502135293088,137,9,2.41,132,34541.6,84,33,"<5.0",6,55,20.2,"ns",3089,89,43.3,6.4,9.7,1.5,1.3,1.5,9.9,3.3,1.4,4.9,6.9,3.4,5,6.7,1.5
"383",2001,"Senegal",25574,159788,77672,98177,0.160049565674519,0.79114252829074,4.94310949833897,98,201,7.72,113,1960.8,58,17,"29.4",11.7,13,9.9,"2.9",2164,64,7.5,15.4,7,3.2,7.7,5.7,5.3,4.1,6.7,6,7,4,5.1,5.7,6.7
"393",2001,"South Africa",239606,164018,329956,363108,1.46085185772293,0.908699340141225,0.622033873823208,121,33,2.12,211,9988.4,75,25,"<5.0",6,22,44.9,"ns",2878,72,25.4,10.1,2.4,3.4,9.6,6.9,5.2,6.8,8.2,7.1,7.2,6,5.3,5,9
