"","year","country","Q.exp","Q.imp","V.exp","V.imp","Q.balance","V.balance","UV.balance","energy_adequacy","food_deficit","food_price","food_production","gdp","protein","protein_animal","undernourish","food_price_volatility","food_supply_variability","total_population","number_undernourished","dietary_energy_supply","fat_supply","food_over_acquisition","food_production_variability","native","ex.imp","fishmeal","intensity","nutri","hatchery","antibiotic","habitat","GMO","code","trace","employment","waste"
"2207",2010,"Ecuador",138071,98513,279000,237140,1.40155106432654,1.17652019903854,0.83944155085343,108,104,3.33,478,9352.3,65,40,"15.8",4.4,19,14.8,"2.3",2402,100,11.8,13.8,9.9,5,3,5,5,5,1,1,5,3,5,5,3
"2208",2010,"Egypt",68717,62152,81683,391007,1.10562813746943,0.208904188416064,0.18894615769657,150,22,6.71,271,10101.6,101,23,"<5.0",11.7,34,76.8,"ns",3484,61,53.7,8.4,9.6,4.8,2.9,4.8,4.8,5,3.9,4.9,6.7,5.1,5.1,7,4.8
"2232",2010,"Guatemala",35802,68672,233204,378980,0.521347856477167,0.615346456277376,1.18029919684599,117,96,6.21,261,6667.6,62,18,"15.2",5.3,32,14,"2.1",2423,57,26,11.8,5,5,1,3,3,5,1,5,5,1,1,3,5
"2237",2010,"Honduras",88486,119004,231048,371696,0.743554838492824,0.621604752270673,0.835990461081065,118,104,5,213,4336.8,65,25,"15.0",5.1,25,7.5,"1.1",2592,72,26.6,9.4,5,5,1,5,5,3,1,1,5,2,2,3,1
"2240",2010,"India",466876,1541567,2301590,168995,0.302858065851176,13.6192786768839,44.9691793368859,108,115,4.83,169,4452.9,59,12,"16.2",3.5,54,1190.1,"192.6",2428,51,14.1,5.7,10,1,1,1,1,3,1,1,7,4,5,7,1
"2241",2010,"Indonesia",196809,241180,422316,749881,0.816025375238411,0.563177357474053,0.690146868667551,115,113,6.17,220,8465.3,58,16,"15.9",9.7,16,237.5,"37.6",2600,53,22,3,10,2.6,4.8,6.6,6.6,3,3.4,2.4,7.5,4.5,2.9,6.8,2.4
"2266",2010,"Madagascar",37121,38655,306830,89359,0.96031561246928,3.43367763739523,3.57557202320822,98,216,7.08,154,1390.4,48,11,"31.7",29.4,20,20.5,"6.5",2065,26,9.8,2,10,1,1,3,3,5,1,1,7,3,3,6,1
"2268",2010,"Malaysia",614607,196880,696807,476289,3.1217340511987,1.46299200695376,0.468647227137108,121,26,2.81,461,21101.9,78,42,"<5.0",1.8,29,27.8,"ns",2837,86,25.6,8.6,10,4.3,8.3,5.9,5.9,2.9,8.3,4.3,9.3,4.6,4.6,5.1,6
"2277",2010,"Mexico",211871,137265,274364,242889,1.54351801260336,1.12958594254989,0.731825565575801,130,29,3.52,278,15359.4,87,41,"<5.0",5.7,21,116.4,"ns",3054,90,38.5,3.9,9.5,5,3.4,3.4,3.4,4.9,3.4,3.2,5.1,5,5.1,3.2,5.3
"2282",2010,"Morocco",58210,125939,98426,218845,0.462207894298033,0.449752107656104,0.973051549323175,139,39,5.7,256,6496.6,92,22,"5.4",11.8,18,31.3,"1.7",3279,64,44.9,19.6,8.3,3,4.3,4.6,8.1,5,5.2,4.5,5.7,5,6,7.8,5.9
