"","year","country","Q.exp","Q.imp","V.exp","V.imp","Q.balance","V.balance","UV.balance"
"1",2000,"Albania",57643,161220,59104,394697,0.357542488524997,0.149745247620326,0.418818049396267
"2",2000,"Algeria",88433,460763,116845,219699,0.191927303190577,0.53184129194944,2.77105593163751
"3",2000,"Angola",151913,435098,108134,641549,0.349146629035298,0.168551427872228,0.482752556821014
"4",2000,"Antigua and Barbuda",43554,327694,46142,1123367,0.132910581212961,0.0410747333685252,0.309040356258104
"5",2000,"Argentina",470459,303100,1316663,1161548,1.55215770372814,1.13354161859863,0.730300546056605
"6",2000,"Armenia",21479,223495,37941,516635,0.0961050582787087,0.0734386946296709,0.764150149274095
"7",2000,"Aruba",26472,318462,33161,322958,0.0831245172108446,0.102678986122034,1.23524309755195
"8",2000,"Australia",309939,449276,352521,581371,0.689863246645714,0.606361514420224,0.878959007264851
"9",2000,"Austria",683557,539244,224000,1035085,1.2676209656482,0.216407348188796,0.170719287589359
"10",2000,"Azerbaijan",68379,96553,79667,171437,0.708201713048792,0.464701318851823,0.656170848346716
"11",2000,"Bahamas",495528,282191,99455,426474,1.75600214039427,0.233202961962511,0.132803347215824
"12",2000,"Bahrain",841266,772097,121263,483899,1.08958589400037,0.250595682156814,0.229991672558061
"13",2000,"Bangladesh",775537,63812,361600,148854,12.1534664326459,2.42922595294718,0.199879266249664
"14",2000,"Barbados",33808,170845,190767,627115,0.197886973572537,0.304197794662861,1.53723001151137
"15",2000,"Belarus",675433,687658,690847,625928,0.98222226746435,1.10371640188648,1.12369311758302
"16",2000,"Belgium",506997,598863,583280,971277,0.846599305684272,0.600528994303376,0.709342649198127
"17",2000,"Belize",7306,40770,36419,57218,0.179200392445426,0.636495508406446,3.55186447820022
"18",2000,"Benin",3073,24437,6469,36730,0.125751933543397,0.176123060168799,1.40055946024893
"19",2000,"Bermuda",25628,141567,13209,529053,0.181030889967295,0.0249672528083198,0.137917085933955
"20",2000,"Bhutan",0,84585,0,448982,0,0,NA
"21",2000,"Bolivia (Plurinat.State)",4844,104231,36,19726,0.0464736978442114,0.00182500253472574,0.0392695786946736
"22",2000,"Bosnia and Herzegovina",42627,228344,58507,217919,0.186678870476124,0.268480490457464,1.43819431611465
"23",2000,"Botswana",2321979,221843,74130,166609,10.4667670379503,0.444933947145712,0.0425092051377925
"24",2000,"Brazil",330609,2710870,307561,1119416,0.121956788779986,0.274751298891565,2.25285776741158
"25",2000,"Brunei Darussalam",102370,875203,252878,496490,0.11696714933564,0.509331507180406,4.35448337480525
"26",2000,"Bulgaria",498175,337066,784479,658092,1.47797463998149,1.19205065553145,0.806543375836528
"27",2000,"Burkinaaso",22619,102352,95148,124259,0.220992261997811,0.765723207172116,3.46493221187853
"28",2000,"Burundi",2908,56397,68165,172819,0.0515630264021136,0.394430010589113,7.64947362695813
"29",2000,"Céte d'Ivoire",16806,91049,61017,268323,0.184581928412174,0.227401303652687,1.23198032228213
"30",2000,"Cabo Verde",2497,180583,6967,265760,0.0138274366911614,0.0262153822998194,1.89589602797288
"31",2000,"Cambodia",145264,129601,172199,200098,1.1208555489541,0.860573319073654,0.767782538862103
"32",2000,"Cameroon",19008,237094,57851,1663996,0.0801707339704927,0.0347663095343979,0.433653377143757
"33",2000,"Canada",171120,346273,401989,403775,0.494176560112974,0.995576744474026,2.01461749672309
"34",2000,"Cayman Islands",6256,245546,21932,378953,0.0254779145251806,0.0578752510205751,2.27158510023947
"35",2000,"Central African Republic",873,173333,2178,393202,0.00503654814720798,0.00553913764426427,1.09978848258105
"36",2000,"Chad",4404,128239,30988,288248,0.0343421268100968,0.107504648774666,3.13040160177439
"37",2000,"Chile",282625,154551,1095802,249594,1.82868438250157,4.39033790876383,2.40081774130866
"38",2000,"China",198904,342531,194056,306441,0.580689047122742,0.633257299121201,1.09052736961189
"39",2000,"China, Hong Kong SAR",53231,533312,231616,149338,0.0998121174846994,1.5509515327646,15.538709846551
"40",2000,"China, Macao SAR",332259,637870,189832,454569,0.520888268769498,0.417608767865825,0.801724271603097
"41",2000,"Colombia",165273,244141,137564,188267,0.67695716819379,0.730685675131595,1.07936766085388
"42",2000,"Comoros",427,45397,2030,27148,0.00940590787937529,0.0747753057315456,7.94982331216622
"43",2000,"Congo",41402,106291,33232,218487,0.389515575166289,0.152100582643361,0.390486523108678
"44",2000,"Congo, Dem. Rep. of the",18865,249476,75216,222334,0.0756184963683881,0.338301834177409,4.47379742291244
"45",2000,"Cook Islands",157246,185088,200223,312100,0.849574256569848,0.641534764498558,0.755125004715599
"46",2000,"Costa Rica",348677,707677,403501,404522,0.492706418323614,0.997476033441939,2.02448353897186
"47",2000,"Croatia",1391613,533955,887081,3048576,2.6062364806023,0.290982084750388,0.111648381455831
"48",2000,"Cuba",2421983,215347,614487,384407,11.2468852596043,1.5985322847919,0.142131109893456
"49",2000,"Curaçao",43268,239888,355005,19850,0.18036750483559,17.8843828715365,99.1552380116288
"50",2000,"Cyprus",236883,251423,176108,905029,0.942169173066903,0.194588239713866,0.206532165641178
"51",2000,"Czech Republic",239106,147417,464738,246003,1.62197032906653,1.88915582330297,1.16472896541222
"52",2000,"Czechoslovakia",1,43,5,189,0.0232558139534884,0.0264550264550265,1.13756613756614
"53",2000,"Denmark",1192591,504219,510806,1241660,2.36522423788076,0.411389591353511,0.173932595804157
"54",2000,"Djibouti",13141,109275,31741,126335,0.120256234271334,0.251244706534215,2.08924475355957
"55",2000,"Dominica",78058,36367,223,61411,2.1463964583276,0.00363127127061927,0.0016917989482002
