"","country","species","area","year","value","value.kg","relative.value"
"16225","Albania","European seabass","Mediterranean and Black Sea",2000,NA,NA,NA
"16226","Albania","Gilthead seabream","Mediterranean and Black Sea",2000,0,NA,0
"16227","Albania","Kuruma prawn","Mediterranean and Black Sea",2000,16.71,8.355,1
"16228","Argentina","Blue mussel","Atlantic, Southwest",2000,NA,NA,NA
"16229","Argentina","Longrayed whiptail","Atlantic, Southwest",2000,NA,NA,NA
"16230","Argentina","Pacific cupped oyster","Atlantic, Southwest",2000,35,3.5,0.466666666666667
"16231","Argentina","River Plata mussel","Atlantic, Southwest",2000,40,2,0.533333333333333
"16232","Australia","Abalones nei","Indian Ocean, Eastern",2000,1164.69,29.11725,0.00679856632899833
"16233","Australia","Aquatic invertebrates nei","Indian Ocean, Eastern",2000,NA,NA,NA
"16234","Australia","Atlantic salmon","Pacific, Southwest",2000,49415.82,4.5306518749427,0.288451630881902
"16235","Australia","Australian mussel","Indian Ocean, Eastern",2000,3065.68,1.51992067426872,0.0178950869531666
"16236","Australia","Brown tiger prawn","Pacific, Southwest",2000,0,NA,0
"16237","Australia","Chinook(=Spring=King) salmon","Pacific, Southwest",2000,0,NA,0
"16238","Australia","Cupped oysters nei","Indian Ocean, Eastern",2000,NA,NA,NA
"16239","Australia","Eastern king prawn","Pacific, Southwest",2000,0,NA,0
"16240","Australia","Flat and cupped oysters nei","Indian Ocean, Eastern",2000,NA,NA,NA
"16241","Australia","Flat oysters nei","Pacific, Western Central",2000,NA,NA,NA
"16242","Australia","Giant tiger prawn","Pacific, Western Central",2000,0,NA,0
"16243","Australia","Marine crustaceans nei","Pacific, Southwest",2000,NA,NA,NA
"16244","Australia","Marine fishes nei","Indian Ocean, Eastern",2000,382.02,4.65878048780488,0.00222993956246206
"16245","Australia","Marine fishes nei","Pacific, Southwest",2000,NA,NA,NA
"16246","Australia","Pacific cupped oyster","Indian Ocean, Eastern",2000,14511.96,3.09225655231195,0.0847096846575231
"16247","Australia","Rainbow trout","Pacific, Southwest",2000,0,NA,0
"16248","Australia","Southern Australia scallop","Pacific, Southwest",2000,0,NA,0
"16249","Australia","Southern bluefin tuna","Indian Ocean, Eastern",2000,86248.7,32.5589656474141,0.50345371535763
"16250","Australia","Sydney cupped oyster","Indian Ocean, Eastern",2000,NA,NA,NA
"16251","Australia","Sydney cupped oyster","Pacific, Southwest",2000,16525.19,3.3310199556541,0.0964613762583176
"16252","Bahamas","Brine shrimp","Atlantic, Western Central",2000,0,NA,NA
"16253","Bahamas","Cobia","Atlantic, Western Central",2000,0,NA,NA
"16254","Bahamas","Florida pompano","Atlantic, Western Central",2000,NA,NA,NA
"16255","Bahamas","Red drum","Atlantic, Western Central",2000,0,NA,NA
"16256","Bahrain","Barramundi(=Giant seaperch)","Indian Ocean, Western",2000,NA,NA,NA
"16257","Bahrain","Gilthead seabream","Indian Ocean, Western",2000,0,NA,0
"16258","Bahrain","Mangrove red snapper","Indian Ocean, Western",2000,NA,NA,NA
"16259","Bahrain","Orange-spotted grouper","Indian Ocean, Western",2000,NA,NA,NA
"16260","Bahrain","Sobaity seabream","Indian Ocean, Western",2000,55.2,4.6,1
"16261","Bahrain","White-spotted spinefoot","Indian Ocean, Western",2000,NA,NA,NA
"16262","Belize","Cobia","Atlantic, Western Central",2000,NA,NA,NA
"16263","Belize","Eucheuma seaweeds nei","Atlantic, Western Central",2000,NA,NA,NA
"16264","Belize","Palinurid spiny lobsters nei","Atlantic, Western Central",2000,NA,NA,NA
"16265","Bonaire/S.Eustatius/Saba","Cobia","Atlantic, Western Central",2000,NA,NA,NA
"16266","Bosnia and Herzegovina","Common dentex","Mediterranean and Black Sea",2000,NA,NA,NA
"16267","Bosnia and Herzegovina","European flat oyster","Mediterranean and Black Sea",2000,NA,NA,NA
"16268","Bosnia and Herzegovina","European seabass","Mediterranean and Black Sea",2000,NA,NA,NA
"16269","Bosnia and Herzegovina","Gilthead seabream","Mediterranean and Black Sea",2000,NA,NA,NA
"16270","Bosnia and Herzegovina","Marine fishes nei","Mediterranean and Black Sea",2000,NA,NA,NA
"16271","Bosnia and Herzegovina","Mediterranean mussel","Mediterranean and Black Sea",2000,NA,NA,NA
"16272","Brazil","Cupped oysters nei","Atlantic, Southwest",2000,1786.5,0.126165254237288,0.0250928075712438
"16273","Brazil","Elkhorn sea moss","Atlantic, Southwest",2000,NA,NA,NA
"16274","Brazil","Gracilaria seaweeds","Atlantic, Southwest",2000,NA,NA,NA
"16275","Brazil","Groupers nei","Atlantic, Southwest",2000,6,2,8.42747525482578e-05
"16276","Brazil","Marine fishes nei","Atlantic, Southwest",2000,13,0.00448585231193927,0.000182595297187892
"16277","Brazil","Marine molluscs nei","Atlantic, Southwest",2000,0.6,NA,8.42747525482578e-06
"16278","Brazil","Mullets nei","Atlantic, Southwest",2000,21.6,0.251162790697674,0.000303389109173728
"16279","Brazil","Pacific lion's paw","Atlantic, Southwest",2000,NA,NA,NA
"16280","Brazil","Scallops nei","Atlantic, Southwest",2000,8,NA,0.00011236633673101
"16281","Brazil","Snooks(=Robalos) nei","Atlantic, Southwest",2000,10,NA,0.000140457920913763
"16282","Brazil","South American rock mussel","Atlantic, Southwest",2000,5880,NA,0.0825892574972927
"16283","Brazil","Whiteleg shrimp","Atlantic, Southwest",2000,63470,NA,0.891486424039654
"16284","Bulgaria","Mediterranean mussel","Mediterranean and Black Sea",2000,8,0.666666666666667,1
"16285","Cambodia","Barramundi(=Giant seaperch)","Pacific, Western Central",2000,NA,NA,NA
"16286","Cambodia","Blood cockle","Pacific, Western Central",2000,NA,NA,NA
"16287","Cambodia","Eucheuma seaweeds nei","Pacific, Western Central",2000,NA,NA,NA
"16288","Cambodia","Green mussel","Pacific, Western Central",2000,NA,NA,NA
"16289","Cambodia","Marine fishes nei","Pacific, Western Central",2000,NA,NA,NA
"16290","Cambodia","Orange-spotted grouper","Pacific, Western Central",2000,NA,NA,NA
"16291","Cambodia","Snappers nei","Pacific, Western Central",2000,NA,NA,NA
"16292","Canada","American cupped oyster","Atlantic, Northwest",2000,6111.48,NA,0.0156403902814138
"16293","Canada","Atlantic bluefin tuna","Atlantic, Northwest",2000,0,NA,0
"16294","Canada","Atlantic cod","Atlantic, Northwest",2000,0,NA,0
"16295","Canada","Atlantic salmon","Atlantic, Northwest",2000,124099.77,NA,0.317593911234871
"16296","Canada","Atlantic salmon","Pacific, Northeast",2000,146923.36,NA,0.376003634448065
"16297","Canada","Blue mussel","Atlantic, Northwest",2000,18640.74,NA,0.0477050483245239
"16298","Canada","Blue mussel","Pacific, Northeast",2000,0,NA,0
"16299","Canada","Butter clam","Atlantic, Northwest",2000,73268.07,NA,0.187506333975722
"16300","Canada","Chinook(=Spring=King) salmon","Pacific, Northeast",2000,NA,NA,NA
"16301","Canada","Coho(=Silver) salmon","Pacific, Northeast",2000,3065.68,NA,0.00784563341087996
"16302","Canada","Japanese carpet shell","Pacific, Northeast",2000,0,0,0
"16303","Canada","Marine molluscs nei","Atlantic, Northwest",2000,0,NA,0
"16304","Canada","Marine molluscs nei","Pacific, Northeast",2000,NA,NA,NA
"16305","Canada","Pacific cupped oyster","Pacific, Northeast",2000,0,NA,0
"16306","Canada","Rainbow trout","Pacific, Northeast",2000,18640.74,NA,0.0477050483245239
"16307","Canada","Salmonids nei","Atlantic, Northwest",2000,0,0,0
"16308","Canada","Scallops nei","Atlantic, Northwest",2000,NA,NA,NA
"16309","Canada","Scallops nei","Pacific, Northeast",2000,NA,NA,NA
"16310","Channel Islands","Blue mussel","Atlantic, Northeast",2000,NA,NA,NA
"16311","Channel Islands","European flat oyster","Atlantic, Northeast",2000,0,NA,0
"16312","Channel Islands","Great Atlantic scallop","Atlantic, Northeast",2000,0,NA,0
"16313","Channel Islands","Grooved carpet shell","Atlantic, Northeast",2000,7131.6,NA,1
"16314","Channel Islands","Pacific cupped oyster","Atlantic, Northeast",2000,0,0,0
"16315","Channel Islands","Tuberculate abalone","Atlantic, Northeast",2000,NA,NA,NA
"16316","Channel Islands","Turbot","Atlantic, Northeast",2000,NA,NA,NA
"16317","Chile","[Porphyra columbina]","Pacific, Southeast",2000,NA,NA,NA
"16318","Chile","Atlantic salmon","Pacific, Southeast",2000,0,NA,0
"16319","Chile","Chilean flat oyster","Pacific, Southeast",2000,800,NA,0.00434180796357049
"16320","Chile","Chilean mussel","Pacific, Southeast",2000,NA,NA,NA
"16321","Chile","Chinook(=Spring=King) salmon","Pacific, Southeast",2000,15883.52,NA,0.086203992031914
"16322","Chile","Cholga mussel","Pacific, Southeast",2000,0,0,0
"16323","Chile","Choro mussel","Pacific, Southeast",2000,0,NA,0
"16324","Chile","Coho(=Silver) salmon","Pacific, Southeast",2000,134.4,NA,0.000729423737879843
"16325","Chile","Giant kelp","Pacific, Southeast",2000,0,0,0
"16326","Chile","Gracilaria seaweeds","Pacific, Southeast",2000,NA,NA,NA
"16327","Chile","Japanese abalone","Pacific, Southeast",2000,94319.6,NA,0.511896988000979
"16328","Chile","Masu(=Cherry) salmon","Pacific, Southeast",2000,NA,NA,NA
"16329","Chile","Pacific cupped oyster","Pacific, Southeast",2000,73057.52,NA,0.396502152668388
"16330","Chile","Peruvian calico scallop","Pacific, Southeast",2000,NA,NA,NA
"16331","Chile","Rainbow trout","Pacific, Southeast",2000,NA,NA,NA
"16332","Chile","Red abalone","Pacific, Southeast",2000,60,NA,0.000325635597267787
"16333","Chile","Yellowtail amberjack","Pacific, Southeast",2000,0,NA,0
"16334","China","Abalones nei","Pacific, Northwest",2000,NA,NA,NA
"16335","China","Amberjacks nei","Pacific, Northwest",2000,7645,NA,0.0525729309302404
"16336","China","Aquatic invertebrates nei","Pacific, Northwest",2000,NA,NA,NA
"16337","China","Blood cockle","Pacific, Northwest",2000,NA,NA,NA
"16338","China","Bright green nori","Pacific, Northwest",2000,0,NA,0
"16339","China","Cobia","Pacific, Northwest",2000,NA,NA,NA
"16340","China","Constricted tagelus","Pacific, Northwest",2000,0,NA,0
"16341","China","Cupped oysters nei","Pacific, Northwest",2000,0,NA,0
"16342","China","Eucheuma seaweeds nei","Pacific, Northwest",2000,34931.25,NA,0.240214283002872
"16343","China","Fusiform sargassum","Pacific, Northwest",2000,NA,NA,NA
"16344","China","Gracilaria seaweeds","Pacific, Northwest",2000,18706.95,NA,0.128643451964089
"16345","China","Groupers nei","Pacific, Northwest",2000,NA,NA,NA
"16346","China","Indo-Pacific swamp crab","Pacific, Northwest",2000,539.5,NA,0.00371001912843227
"16347","China","Japanese carpet shell","Pacific, Northwest",2000,0,0,0
"16348","China","Japanese isinglass","Pacific, Northwest",2000,0,NA,0
"16349","China","Japanese kelp","Pacific, Northwest",2000,380.8,NA,0.00261867522540687
"16350","China","Japanese sea cucumber","Pacific, Northwest",2000,15,0.126050420168067,0.000103151597639451
"16351","China","Japanese seabass","Pacific, Northwest",2000,12.45,4.15,8.56158260407446e-05
"16352","China","Jellyfishes nei","Pacific, Northwest",2000,2555.73,1277.865,0.017575175509005
"16353","China","Large yellow croaker","Pacific, Northwest",2000,0,0,0
"16354","China","Lefteye flounders nei","Pacific, Northwest",2000,NA,NA,NA
"16355","China","Marine crabs nei","Pacific, Northwest",2000,51156.89,NA,0.351794328917711
"16356","China","Marine fishes nei","Pacific, Northwest",2000,4339.44,0.408687135053682,0.0298413445907027
"16357","China","Marine molluscs nei","Pacific, Northwest",2000,28.61,0.0189219576719577,0.000196744480564313
"16358","China","Nori nei","Pacific, Northwest",2000,0,0,0
"16359","China","Pearl oyster shells nei","Pacific, Northwest",2000,NA,NA,NA
"16360","China","Pen shells nei","Pacific, Northwest",2000,0,NA,0
"16361","China","Porgies, seabreams nei","Pacific, Northwest",2000,1985.1,NA,0.013651082431605
"16362","China","Portunus swimcrabs nei","Pacific, Northwest",2000,14520,37.2307692307692,0.0998507465149889
"16363","China","Red drum","Pacific, Northwest",2000,36,0.0198347107438017,0.000247563834334683
"16364","China","Righteye flounders nei","Pacific, Northwest",2000,NA,NA,NA
"16365","China","Scallops nei","Pacific, Northwest",2000,1718.14,NA,0.0118152590645498
"16366","China","Sea mussels nei","Pacific, Northwest",2000,140.74,7.037,0.000967837056785092
"16367","China","Sea snails","Pacific, Northwest",2000,0,0,0
"16368","China","Sea urchins nei","Pacific, Northwest",2000,21.6,NA,0.00014853830060081
"16369","China","Seaweeds nei","Pacific, Northwest",2000,NA,NA,NA
"16370","China","Snubnose pompano","Pacific, Northwest",2000,6683.84,NA,0.0459632516244314
"16371","China","Tiger pufferfish","Pacific, Northwest",2000,NA,NA,NA
"16372","China","Turbot","Pacific, Northwest",2000,0,NA,0
"16373","China","Wakame","Pacific, Northwest",2000,NA,NA,NA
"16374","China, Hong Kong SAR","Areolate grouper","Pacific, Northwest",2000,NA,NA,NA
"16375","China, Hong Kong SAR","Barramundi(=Giant seaperch)","Pacific, Northwest",2000,57047.4,NA,0.532624131353618
"16376","China, Hong Kong SAR","Cupped oysters nei","Pacific, Northwest",2000,NA,NA,NA
"16377","China, Hong Kong SAR","Goldlined seabream","Pacific, Northwest",2000,NA,NA,NA
"16378","China, Hong Kong SAR","Greasy grouper","Pacific, Northwest",2000,49452,NA,0.461709535293442
"16379","China, Hong Kong SAR","Hong Kong grouper","Pacific, Northwest",2000,234,0.028391167192429,0.00218474543514247
"16380","China, Hong Kong SAR","Mangrove red snapper","Pacific, Northwest",2000,0,0,0
"16381","China, Hong Kong SAR","Marine fishes nei","Pacific, Northwest",2000,0,NA,0
"16382","China, Hong Kong SAR","Orange-spotted grouper","Pacific, Northwest",2000,0,NA,0
"16383","China, Hong Kong SAR","Russell's snapper","Pacific, Northwest",2000,0,NA,0
"16384","China, Hong Kong SAR","Silver seabream","Pacific, Northwest",2000,NA,NA,NA
"16385","China, Hong Kong SAR","Snappers nei","Pacific, Northwest",2000,372.9,NA,0.00348158791779755
"16386","China, Hong Kong SAR","Snubnose pompano","Pacific, Northwest",2000,0,0,0
"16387","Colombia","Cobia","Atlantic, Western Central",2000,NA,NA,NA
"16388","Colombia","Cupped oysters nei","Atlantic, Western Central",2000,0,NA,NA
"16389","Colombia","Tarpon","Atlantic, Western Central",2000,0,NA,NA
"16390","Colombia","Whiteleg shrimp","Atlantic, Western Central",2000,0,NA,NA
"16391","Colombia","Whiteleg shrimp","Pacific, Southeast",2000,NA,NA,NA
"16392","Cook Islands","Blacklip pearl oyster","Pacific, Eastern Central",2000,NA,NA,NA
"16393","Cook Islands","Giant clams nei","Pacific, Eastern Central",2000,441828.03,NA,1
"16394","Costa Rica","Natantian decapods nei","Pacific, Eastern Central",2000,0,NA,NA
"16395","Croatia","Atlantic bluefin tuna","Mediterranean and Black Sea",2000,NA,NA,NA
"16396","Croatia","Common dentex","Mediterranean and Black Sea",2000,17502.19,NA,0.754044620069381
"16397","Croatia","European flat oyster","Mediterranean and Black Sea",2000,NA,NA,NA
"16398","Croatia","European seabass","Mediterranean and Black Sea",2000,0,NA,0
"16399","Croatia","Gilthead seabream","Mediterranean and Black Sea",2000,220.27,NA,0.00948986432341795
"16400","Croatia","Great Mediterranean scallop","Mediterranean and Black Sea",2000,385.89,4.43551724137931,0.0166252496652461
"16401","Croatia","Marine fishes nei","Mediterranean and Black Sea",2000,NA,NA,NA
"16402","Croatia","Marine molluscs nei","Mediterranean and Black Sea",2000,0,NA,0
"16403","Croatia","Meagre","Mediterranean and Black Sea",2000,NA,NA,NA
"16404","Croatia","Mediterranean mussel","Mediterranean and Black Sea",2000,4878.16,NA,0.210165145266829
"16405","Croatia","Pargo breams nei","Mediterranean and Black Sea",2000,217.5,0.0967526690391459,0.00937052476662008
"16406","Croatia","Rainbow trout","Mediterranean and Black Sea",2000,0,0,0
"16407","Croatia","Sharpsnout seabream","Mediterranean and Black Sea",2000,NA,NA,NA
"16408","Croatia","Turbot","Mediterranean and Black Sea",2000,7.07,NA,0.000304595908505765
"16409","Cuba","Mangrove cupped oyster","Atlantic, Western Central",2000,24110.8,8036.93333333333,1
"16410","Cuba","Tropical spiny lobsters nei","Atlantic, Western Central",2000,NA,NA,NA
"16411","Cyprus","Atlantic bluefin tuna","Mediterranean and Black Sea",2000,847.2,NA,0.0557670370207027
"16412","Cyprus","European seabass","Mediterranean and Black Sea",2000,NA,NA,NA
"16413","Cyprus","Gilthead seabream","Mediterranean and Black Sea",2000,7392.55,NA,0.48661545033923
"16414","Cyprus","Indian white prawn","Mediterranean and Black Sea",2000,NA,NA,NA
"16415","Cyprus","Japanese seabream","Mediterranean and Black Sea",2000,NA,NA,NA
"16416","Cyprus","Marbled spinefoot","Mediterranean and Black Sea",2000,18.17,NA,0.00119604233081465
"16417","Cyprus","Meagre","Mediterranean and Black Sea",2000,1.05,0.0110526315789474,6.91163702452051e-05
"16418","Cyprus","Red porgy","Mediterranean and Black Sea",2000,6932.8,990.4,0.456352353939008
"16419","Cyprus","Sharpsnout seabream","Mediterranean and Black Sea",2000,NA,NA,NA
"16420","Cyprus","Shi drum","Mediterranean and Black Sea",2000,NA,NA,NA
"16421","Denmark","Atlantic cod","Atlantic, Northeast",2000,NA,NA,NA
"16422","Denmark","Atlantic salmon","Atlantic, Northeast",2000,0,NA,0
"16423","Denmark","Blue mussel","Atlantic, Northeast",2000,1157.95,NA,0.121701924613017
"16424","Denmark","Brown seaweeds","Atlantic, Northeast",2000,NA,NA,NA
"16425","Denmark","European eel","Atlantic, Northeast",2000,6400,NA,0.672647625133479
"16426","Denmark","European flounder","Atlantic, Northeast",2000,NA,NA,NA
"16427","Denmark","Marine fishes nei","Atlantic, Northeast",2000,0,NA,0
"16428","Denmark","Rainbow trout","Atlantic, Northeast",2000,1164.69,NA,0.122410306643236
"16429","Denmark","Sea belt","Atlantic, Northeast",2000,792,19.8,0.083240143610268
"16430","Denmark","Turbot","Atlantic, Northeast",2000,NA,NA,NA
"16431","Dominican Republic","American cupped oyster","Atlantic, Western Central",2000,NA,NA,NA
"16432","Dominican Republic","Cobia","Atlantic, Western Central",2000,NA,NA,NA
"16433","Dominican Republic","European seabass","Atlantic, Western Central",2000,NA,NA,NA
"16434","Dominican Republic","Florida pompano","Atlantic, Western Central",2000,153057.88,NA,0.997203218640779
"16435","Dominican Republic","Gilthead seabream","Atlantic, Western Central",2000,424.8,0.0110777896576003,0.00276765840006802
"16436","Dominican Republic","Penaeus shrimps nei","Atlantic, Western Central",2000,4.47,0.00315677966101695,2.91229591532581e-05
"16437","Ecuador","Marine fishes nei","Pacific, Southeast",2000,16602,4150.5,0.996608338085662
"16438","Ecuador","Pacific cupped oyster","Pacific, Southeast",2000,NA,NA,NA
"16439","Ecuador","Red drum","Pacific, Southeast",2000,49.5,NA,0.00297145601344659
"16440","Ecuador","Scallops nei","Pacific, Southeast",2000,7,0.777777777777778,0.000420205900891437
"16441","El Salvador","Black ark","Pacific, Eastern Central",2000,NA,NA,NA
"16442","El Salvador","Cupped oysters nei","Pacific, Eastern Central",2000,NA,NA,NA
"16443","El Salvador","Grand ark","Pacific, Eastern Central",2000,NA,NA,NA
"16444","Estonia","Rainbow trout","Atlantic, Northeast",2000,2953.24,NA,1
"16445","Falkland Is.(Malvinas)","Blue mussel","Atlantic, Southwest",2000,3.61,0.000104868696258424,0.0168999578671411
"16446","Falkland Is.(Malvinas)","Pacific cupped oyster","Atlantic, Southwest",2000,210,105,0.983100042132859
"16447","Faroe Islands","Atlantic salmon","Atlantic, Northeast",2000,63470,NA,1
"16448","Faroe Islands","Rainbow trout","Atlantic, Northeast",2000,NA,NA,NA
"16449","Fiji, Republic of","Anadara clams nei","Pacific, Western Central",2000,NA,NA,NA
"16450","Fiji, Republic of","Eucheuma seaweeds nei","Pacific, Western Central",2000,0,NA,0
"16451","Fiji, Republic of","Green mussel","Pacific, Western Central",2000,15688,NA,1
"16452","Fiji, Republic of","Pearl oyster shells nei","Pacific, Western Central",2000,NA,NA,NA
"16453","France","Atlantic salmon","Atlantic, Northeast",2000,40000,NA,0.0817990690938741
"16454","France","Blue mussel","Atlantic, Northeast",2000,29784,NA,0.0609075868472986
"16455","France","Blue mussel","Mediterranean and Black Sea",2000,NA,NA,NA
"16456","France","Clams, etc. nei","Atlantic, Northeast",2000,0,NA,0
"16457","France","Clams, etc. nei","Mediterranean and Black Sea",2000,NA,NA,NA
"16458","France","Coho(=Silver) salmon","Atlantic, Northeast",2000,0,NA,0
"16459","France","Common edible cockle","Atlantic, Northeast",2000,390188.03,NA,0.797925440639315
"16460","France","Common edible cockle","Mediterranean and Black Sea",2000,NA,NA,NA
"16461","France","European flat oyster","Atlantic, Northeast",2000,248.64,NA,0.000508463013487521
"16462","France","European flat oyster","Mediterranean and Black Sea",2000,0,0,0
"16463","France","European seabass","Atlantic, Northeast",2000,342.17,NA,0.000699729686796272
"16464","France","European seabass","Mediterranean and Black Sea",2000,NA,NA,NA
"16465","France","Finfishes nei","Atlantic, Northeast",2000,NA,NA,NA
"16466","France","Gilthead seabream","Atlantic, Northeast",2000,NA,NA,NA
"16467","France","Gilthead seabream","Mediterranean and Black Sea",2000,NA,NA,NA
"16468","France","Great Atlantic scallop","Atlantic, Northeast",2000,NA,NA,NA
"16469","France","Grooved carpet shell","Atlantic, Northeast",2000,0,NA,0
"16470","France","Grooved carpet shell","Mediterranean and Black Sea",2000,0,NA,0
"16471","France","Harpoon seaweeds","Atlantic, Northeast",2000,110,NA,0.000224947440008154
"16472","France","Japanese carpet shell","Atlantic, Northeast",2000,NA,NA,NA
"16473","France","Japanese carpet shell","Mediterranean and Black Sea",2000,500,NA,0.00102248836367343
"16474","France","Marine fishes nei","Atlantic, Northeast",2000,NA,NA,NA
"16475","France","Marine fishes nei","Mediterranean and Black Sea",2000,1103.48,NA,0.0022565909190927
"16476","France","Marine molluscs nei","Atlantic, Northeast",2000,9472.4,74.5858267716535,0.0193708375521203
"16477","France","Meagre","Mediterranean and Black Sea",2000,0,0,0
"16478","France","Mediterranean mussel","Atlantic, Northeast",2000,0,NA,0
"16479","France","Mediterranean mussel","Mediterranean and Black Sea",2000,NA,NA,NA
"16480","France","Pacific cupped oyster","Atlantic, Northeast",2000,225.4,NA,0.00046093775434398
"16481","France","Pacific cupped oyster","Mediterranean and Black Sea",2000,0,0,0
"16482","France","Periwinkles nei","Atlantic, Northeast",2000,0,NA,0
"16483","France","Rainbow trout","Atlantic, Northeast",2000,24,NA,4.90794414563244e-05
"16484","France","Sea trout","Atlantic, Northeast",2000,0,0,0
"16485","France","Seaweeds nei","Atlantic, Northeast",2000,NA,NA,NA
"16486","France","Senegalese sole","Atlantic, Northeast",2000,NA,NA,NA
"16487","France","Tuberculate abalone","Atlantic, Northeast",2000,0,NA,0
"16488","France","Turbot","Atlantic, Northeast",2000,0,NA,0
"16489","France","Wakame nei","Atlantic, Northeast",2000,17005,NA,0.0347748292485332
"16490","France","White seabream","Mediterranean and Black Sea",2000,NA,NA,NA
"16491","French Polynesia","Barramundi(=Giant seaperch)","Pacific, Eastern Central",2000,100.6,NA,0.00233831787083839
"16492","French Polynesia","Blacklip pearl oyster","Pacific, Eastern Central",2000,0,0,0
"16493","French Polynesia","Blue shrimp","Pacific, Eastern Central",2000,0,NA,0
"16494","French Polynesia","Marine fishes nei","Pacific, Eastern Central",2000,950.51,NA,0.0220933848847972
"16495","French Polynesia","Orbicular batfish","Pacific, Eastern Central",2000,251.27,1.66403973509934,0.00584044862232169
"16496","French Polynesia","Pearl oyster shells nei","Pacific, Eastern Central",2000,NA,NA,NA
"16497","French Polynesia","Sea mussels nei","Pacific, Eastern Central",2000,NA,NA,NA
"16498","French Polynesia","Sixfinger threadfin","Pacific, Eastern Central",2000,41720,NA,0.969727848622043
"16499","Germany","Bastard halibut","Atlantic, Northeast",2000,0,0,0
"16500","Germany","Blue mussel","Atlantic, Northeast",2000,0,NA,0
"16501","Germany","Clams, etc. nei","Atlantic, Northeast",2000,NA,NA,NA
"16502","Germany","Common edible cockle","Atlantic, Northeast",2000,0,NA,0
"16503","Germany","Pacific cupped oyster","Atlantic, Northeast",2000,1111.19,NA,1
"16504","Germany","Turbot","Atlantic, Northeast",2000,0,0,0
"16505","Greece","Atlantic bluefin tuna","Mediterranean and Black Sea",2000,4.42,NA,3.17385524534511e-05
"16506","Greece","Common dentex","Mediterranean and Black Sea",2000,33560.56,33560.56,0.240987238445067
"16507","Greece","Common pandora","Mediterranean and Black Sea",2000,NA,NA,NA
"16508","Greece","European eel","Mediterranean and Black Sea",2000,328.44,NA,0.0023584185900026
"16509","Greece","European flat oyster","Mediterranean and Black Sea",2000,12110,131.630434782609,0.0869578891880754
"16510","Greece","European seabass","Mediterranean and Black Sea",2000,77200,44.6242774566474,0.554347567739011
"16511","Greece","Flathead grey mullet","Mediterranean and Black Sea",2000,1547.92,0.16040621761658,0.0111150995732457
"16512","Greece","Gilthead seabream","Mediterranean and Black Sea",2000,NA,NA,NA
"16513","Greece","Kuruma prawn","Mediterranean and Black Sea",2000,52.6,NA,0.00037770313553202
"16514","Greece","Marine fishes nei","Mediterranean and Black Sea",2000,24,0.0948616600790514,0.000172336031421454
"16515","Greece","Meagre","Mediterranean and Black Sea",2000,12.5,1.25,8.9758349698674e-05
"16516","Greece","Mediterranean mussel","Mediterranean and Black Sea",2000,NA,NA,NA
"16517","Greece","Red porgy","Mediterranean and Black Sea",2000,294.84,NA,0.00211714814601256
"16518","Greece","Sciaenas nei","Mediterranean and Black Sea",2000,367.81,6.8112962962963,0.00264112148821354
"16519","Greece","Sharpsnout seabream","Mediterranean and Black Sea",2000,58.31,0.694166666666667,0.000418704749674375
"16520","Greece","Shi drum","Mediterranean and Black Sea",2000,366.31,45.78875,0.0026303504862497
"16521","Greece","Venus clams nei","Mediterranean and Black Sea",2000,13335.1,218.608196721311,0.0957549255253431
"16522","Greece","White seabream","Mediterranean and Black Sea",2000,0,0,0
"16523","Guadeloupe","Red drum","Atlantic, Western Central",2000,NA,NA,NA
"16524","Iceland","Abalones nei","Atlantic, Northeast",2000,NA,NA,NA
"16525","Iceland","Atlantic cod","Atlantic, Northeast",2000,1824.69,NA,0.00626729186282473
"16526","Iceland","Atlantic halibut","Atlantic, Northeast",2000,NA,NA,NA
"16527","Iceland","Atlantic salmon","Atlantic, Northeast",2000,4719,NA,0.0162084246094788
"16528","Iceland","Atlantic wolffish","Atlantic, Northeast",2000,13920,32.4475524475524,0.0478112461462058
"16529","Iceland","Blue mussel","Atlantic, Northeast",2000,0,0,0
"16530","Iceland","European seabass","Atlantic, Northeast",2000,270361.2,NA,0.928613928274681
"16531","Iceland","Haddock","Atlantic, Northeast",2000,NA,NA,NA
"16532","Iceland","Rainbow trout","Atlantic, Northeast",2000,NA,NA,NA
"16533","Iceland","Spotted wolffish","Atlantic, Northeast",2000,320,NA,0.00109910910680933
"16534","Iceland","Turbot","Atlantic, Northeast",2000,0,0,0
"16535","India","Elkhorn sea moss","Indian Ocean, Eastern",2000,NA,NA,NA
"16536","India","Green mussel","Indian Ocean, Western",2000,NA,NA,NA
"16537","India","Indian backwater oyster","Indian Ocean, Western",2000,2682.72,NA,1
"16538","India","Rooster venus","Indian Ocean, Western",2000,0,0,0
"16539","Indonesia","Barramundi(=Giant seaperch)","Pacific, Western Central",2000,910.85,NA,0.0683939932525836
"16540","Indonesia","Eucheuma seaweeds nei","Pacific, Western Central",2000,11826.2,181.941538461538,0.888006854041504
"16541","Indonesia","Groupers nei","Pacific, Western Central",2000,60.64,0.0297400686611084,0.00455334220874641
"16542","Indonesia","Marine fishes nei","Pacific, Western Central",2000,NA,NA,NA
"16543","Indonesia","Marine molluscs nei","Pacific, Western Central",2000,NA,NA,NA
"16544","Indonesia","Milkfish","Pacific, Western Central",2000,NA,NA,NA
"16545","Indonesia","Pearl oyster shells nei","Pacific, Western Central",2000,NA,NA,NA
